Date,Close,Open,High,Low,Volumn
2016-03-31 07:00:00+07:00,10.13,10.19,10.19,9.97,104162
2016-04-01 07:00:00+07:00,10.13,10.24,10.35,10.13,125723
2016-04-04 07:00:00+07:00,10.13,10.24,10.24,9.97,69304
2016-04-05 07:00:00+07:00,9.97,10.08,10.08,9.97,59056
2016-04-06 07:00:00+07:00,9.91,9.97,9.97,9.86,164962
2016-04-07 07:00:00+07:00,10.08,9.97,10.13,9.97,32738
2016-04-08 07:00:00+07:00,10.24,10.13,10.24,10.08,51607
2016-04-11 07:00:00+07:00,10.19,10.19,10.19,10.13,49001
2016-04-12 07:00:00+07:00,10.13,10.19,10.19,10.13,71515
2016-04-13 07:00:00+07:00,10.02,10.13,10.13,9.97,94770
2016-04-14 07:00:00+07:00,9.86,9.97,10.08,9.86,89740
2016-04-15 07:00:00+07:00,9.91,10.13,10.13,9.86,66580
2016-04-19 07:00:00+07:00,9.86,10.08,10.08,9.8,27773
2016-04-20 07:00:00+07:00,9.8,9.97,9.97,9.8,73200
2016-04-21 07:00:00+07:00,9.8,9.8,9.8,9.69,76583
2016-04-22 07:00:00+07:00,10.08,9.69,10.08,9.69,126434
2016-04-25 07:00:00+07:00,9.97,9.97,10.13,9.91,19229
2016-04-26 07:00:00+07:00,9.97,9.97,10.02,9.91,117712
2016-04-27 07:00:00+07:00,9.86,10.02,10.02,9.86,241006
2016-04-28 07:00:00+07:00,9.8,9.97,9.97,9.8,39419
2016-04-29 07:00:00+07:00,9.91,9.8,9.91,9.74,75474
2016-05-04 07:00:00+07:00,9.91,9.8,9.97,9.74,48056
2016-05-05 07:00:00+07:00,9.86,9.8,9.91,9.74,151701
2016-05-06 07:00:00+07:00,9.86,9.91,9.91,9.8,111028
2016-05-09 07:00:00+07:00,9.97,9.86,9.97,9.8,233846
2016-05-10 07:00:00+07:00,9.91,10.02,10.02,9.8,92709
2016-05-11 07:00:00+07:00,9.91,9.91,9.97,9.8,362991
2016-05-12 07:00:00+07:00,10.41,9.97,10.58,9.97,569423
2016-05-13 07:00:00+07:00,10.35,10.41,10.63,10.3,303678
2016-05-16 07:00:00+07:00,10.52,10.3,10.52,10.3,193462
2016-05-17 07:00:00+07:00,10.52,10.52,10.63,10.41,266987
2016-05-18 07:00:00+07:00,10.69,10.46,10.96,10.35,520514
2016-05-19 07:00:00+07:00,10.74,10.69,10.74,10.52,102855
2016-05-20 07:00:00+07:00,10.58,10.52,10.74,10.46,50349
2016-05-23 07:00:00+07:00,10.24,10.46,10.46,10.24,144346
2016-05-24 07:00:00+07:00,10.24,10.24,10.35,10.24,204898
2016-05-25 07:00:00+07:00,10.19,10.24,10.35,10.19,174731
2016-05-26 07:00:00+07:00,10.13,10.24,10.3,10.08,373996
2016-05-27 07:00:00+07:00,10.24,10.13,10.24,10.13,170308
2016-05-30 07:00:00+07:00,10.24,10.3,10.3,10.19,90100
2016-05-31 07:00:00+07:00,10.19,10.41,10.41,10.19,190183
2016-06-01 07:00:00+07:00,10.24,10.35,10.35,10.19,72389
2016-06-02 07:00:00+07:00,10.24,10.19,10.3,10.19,49600
2016-06-03 07:00:00+07:00,10.24,10.24,10.35,10.19,94742
2016-06-06 07:00:00+07:00,10.35,10.24,10.52,10.24,142834
2016-06-07 07:00:00+07:00,10.35,10.35,10.35,10.3,28025
2016-06-08 07:00:00+07:00,10.41,10.35,10.46,10.3,42707
2016-06-09 07:00:00+07:00,10.46,10.41,10.46,10.35,83647
2016-06-10 07:00:00+07:00,10.52,10.41,10.58,10.41,82355
2016-06-13 07:00:00+07:00,10.52,10.46,10.63,10.41,138648
2016-06-14 07:00:00+07:00,10.58,10.52,10.63,10.46,113252
2016-06-15 07:00:00+07:00,10.58,10.58,10.58,10.52,51430
2016-06-16 07:00:00+07:00,10.58,10.58,10.63,10.52,135735
2016-06-17 07:00:00+07:00,10.58,10.52,10.58,10.52,118867
2016-06-20 07:00:00+07:00,10.63,10.52,10.63,10.52,49716
2016-06-21 07:00:00+07:00,10.63,10.58,10.63,10.52,130676
2016-06-22 07:00:00+07:00,10.63,10.52,10.63,10.52,108886
2016-06-23 07:00:00+07:00,10.63,10.52,10.63,10.52,62511
2016-06-24 07:00:00+07:00,10.63,10.52,10.63,9.97,153703
2016-06-27 07:00:00+07:00,10.58,10.19,10.58,10.19,102503
2016-06-28 07:00:00+07:00,10.52,10.3,10.52,10.3,18644
2016-06-29 07:00:00+07:00,10.52,10.35,10.52,10.35,65672
2016-06-30 07:00:00+07:00,10.52,10.52,10.52,10.41,20698
2016-07-01 07:00:00+07:00,10.52,10.35,10.52,10.3,160733
2016-07-04 07:00:00+07:00,10.24,10.35,10.35,10.19,289840
2016-07-05 07:00:00+07:00,10.24,10.24,10.35,10.13,224536
2016-07-06 07:00:00+07:00,10.24,10.24,10.24,10.13,119879
2016-07-07 07:00:00+07:00,10.35,10.24,10.46,10.24,46124
2016-07-08 07:00:00+07:00,10.35,10.35,10.35,10.24,213318
2016-07-11 07:00:00+07:00,10.24,10.3,10.35,10.24,256181
2016-07-12 07:00:00+07:00,10.24,10.24,10.24,10.13,26771
2016-07-13 07:00:00+07:00,10.52,10.24,10.74,10.24,437147
2016-07-14 07:00:00+07:00,10.52,10.52,10.8,10.52,855293
2016-07-15 07:00:00+07:00,10.52,10.69,10.69,10.46,218899
2016-07-18 07:00:00+07:00,10.46,10.41,10.46,10.24,59135
2016-07-19 07:00:00+07:00,10.24,10.46,10.46,10.02,465733
2016-07-20 07:00:00+07:00,10.24,10.24,10.24,10.13,109114
2016-07-21 07:00:00+07:00,10.13,10.3,10.35,10.13,115206
2016-07-22 07:00:00+07:00,10.02,10.13,10.13,10.02,70617
2016-07-25 07:00:00+07:00,10.02,10.02,10.13,9.97,73600
2016-07-26 07:00:00+07:00,9.91,10.02,10.08,9.91,143345
2016-07-27 07:00:00+07:00,9.91,9.91,10.02,9.91,59291
2016-07-28 07:00:00+07:00,9.91,9.97,9.97,9.86,33402
2016-07-29 07:00:00+07:00,10.02,9.91,10.02,9.86,138157
2016-08-01 07:00:00+07:00,9.86,9.97,10.02,9.86,39056
2016-08-02 07:00:00+07:00,9.69,9.86,9.86,9.69,76750
2016-08-03 07:00:00+07:00,9.58,9.69,9.69,9.58,75348
2016-08-04 07:00:00+07:00,9.69,9.69,9.8,9.63,110262
2016-08-05 07:00:00+07:00,9.74,9.69,9.8,9.63,70318
2016-08-08 07:00:00+07:00,9.74,9.74,9.74,9.63,69544
2016-08-09 07:00:00+07:00,9.74,9.74,9.8,9.69,32488
2016-08-10 07:00:00+07:00,9.8,9.8,9.8,9.69,136283
2016-08-11 07:00:00+07:00,9.8,9.8,9.8,9.74,16038
2016-08-12 07:00:00+07:00,9.8,9.86,9.91,9.74,48499
2016-08-15 07:00:00+07:00,9.69,9.74,9.8,9.69,39933
2016-08-16 07:00:00+07:00,9.86,9.69,9.97,9.69,106540
2016-08-17 07:00:00+07:00,9.8,9.86,9.86,9.74,117280
2016-08-18 07:00:00+07:00,9.74,9.8,9.97,9.74,113815
2016-08-19 07:00:00+07:00,9.74,9.74,9.74,9.69,126316
2016-08-22 07:00:00+07:00,9.69,9.69,9.74,9.69,64989
2016-08-23 07:00:00+07:00,9.74,9.69,9.74,9.63,100523
2016-08-24 07:00:00+07:00,9.69,9.74,9.8,9.69,53493
2016-08-25 07:00:00+07:00,9.86,9.74,9.86,9.69,86057
2016-08-26 07:00:00+07:00,9.91,9.69,9.91,9.69,74750
2016-08-29 07:00:00+07:00,9.86,9.91,9.91,9.86,133815
2016-08-30 07:00:00+07:00,9.86,9.86,9.86,9.86,55861
2016-08-31 07:00:00+07:00,9.97,9.91,9.97,9.86,192835
2016-09-01 07:00:00+07:00,9.91,9.97,9.97,9.91,81398
2016-09-05 07:00:00+07:00,9.86,9.86,9.86,9.8,78738
