Date,Close,Open,High,Low,Volumn
2017-03-24 07:00:00+07:00,16.63,16.63,16.63,16.63,100
2017-03-27 07:00:00+07:00,18.28,18.28,18.28,18.28,100
2017-03-28 07:00:00+07:00,16.7,20.09,20.09,16.7,13800
2017-03-29 07:00:00+07:00,17.98,16.7,17.98,15.05,1200
2017-03-30 07:00:00+07:00,16.33,16.33,16.33,16.33,100
2017-03-31 07:00:00+07:00,14.75,14.75,14.75,14.75,2300
2017-04-03 07:00:00+07:00,14.75,14.75,14.75,14.75,0
2017-04-04 07:00:00+07:00,14.3,16.18,16.18,14.3,8800
2017-04-05 07:00:00+07:00,14.3,12.87,14.3,12.87,1500
2017-04-07 07:00:00+07:00,15.42,14.3,15.42,14.3,8400
2017-04-10 07:00:00+07:00,16.93,15.8,16.93,15.8,1400
2017-04-11 07:00:00+07:00,17.53,17.53,17.53,17.53,100
2017-04-12 07:00:00+07:00,16.93,16.93,16.93,16.93,3000
2017-04-13 07:00:00+07:00,15.27,15.27,15.27,15.27,300
2017-04-14 07:00:00+07:00,13.77,15.27,15.27,13.77,200
2017-04-17 07:00:00+07:00,15.05,15.05,15.05,15.05,300
2017-04-18 07:00:00+07:00,15.05,15.05,15.05,15.05,0
2017-04-19 07:00:00+07:00,15.05,15.05,15.05,15.05,0
2017-04-20 07:00:00+07:00,15.05,15.05,15.05,15.05,0
2017-04-21 07:00:00+07:00,14.37,14.37,14.37,14.37,100
2017-04-24 07:00:00+07:00,13.84,13.84,13.84,13.84,100
2017-04-25 07:00:00+07:00,14.45,14.45,14.45,14.45,100
2017-04-26 07:00:00+07:00,14.45,14.45,14.45,14.45,0
2017-04-27 07:00:00+07:00,15.88,14.82,15.88,14.82,800
2017-04-28 07:00:00+07:00,15.88,15.88,15.88,15.88,0
2017-05-03 07:00:00+07:00,15.88,15.88,15.88,15.88,0
2017-05-04 07:00:00+07:00,15.88,15.88,15.88,15.88,0
2017-05-05 07:00:00+07:00,15.88,15.88,15.88,15.88,0
2017-05-08 07:00:00+07:00,15.88,15.88,15.88,15.88,0
2017-05-09 07:00:00+07:00,14.75,14.75,14.75,14.75,100
2017-05-10 07:00:00+07:00,14.75,14.75,14.75,14.75,0
2017-05-11 07:00:00+07:00,15.05,15.05,15.05,15.05,6300
2017-05-12 07:00:00+07:00,15.05,15.05,15.05,15.05,200
2017-05-15 07:00:00+07:00,15.05,15.05,15.05,15.05,100
2017-05-16 07:00:00+07:00,15.05,15.05,15.05,15.05,0
2017-05-17 07:00:00+07:00,16.4,16.4,16.4,16.4,100
2017-05-18 07:00:00+07:00,16.4,16.4,16.4,16.4,0
2017-05-19 07:00:00+07:00,16.4,16.4,16.4,16.4,0
2017-05-22 07:00:00+07:00,16.93,16.4,16.93,16.4,500
2017-05-23 07:00:00+07:00,16.93,16.93,16.93,16.93,0
2017-05-24 07:00:00+07:00,16.93,16.93,16.93,16.93,0
2017-05-25 07:00:00+07:00,16.93,16.93,16.93,16.93,0
2017-05-26 07:00:00+07:00,16.93,16.93,16.93,16.93,0
2017-05-29 07:00:00+07:00,16.93,16.93,16.93,16.93,0
2017-05-30 07:00:00+07:00,17.99,17.99,17.99,17.99,100
2017-05-31 07:00:00+07:00,17.99,17.99,17.99,17.99,0
2017-06-01 07:00:00+07:00,17.99,17.99,17.99,17.99,0
2017-06-02 07:00:00+07:00,17.99,17.99,17.99,17.99,0
2017-06-05 07:00:00+07:00,17.99,17.99,17.99,17.99,0
2017-06-06 07:00:00+07:00,17.99,17.99,17.99,17.99,0
2017-06-07 07:00:00+07:00,18.14,18.14,18.14,18.14,1500
2017-06-08 07:00:00+07:00,18.14,18.14,18.14,18.14,0
2017-06-09 07:00:00+07:00,18.14,18.14,18.14,18.14,100
2017-06-12 07:00:00+07:00,18.14,18.14,18.14,18.14,0
2017-06-13 07:00:00+07:00,18.14,18.14,18.14,18.14,0
2017-06-14 07:00:00+07:00,18.14,18.14,18.14,18.14,0
2017-06-15 07:00:00+07:00,18.14,18.14,18.14,18.14,0
2017-06-16 07:00:00+07:00,18.14,18.14,18.14,18.14,0
2017-06-19 07:00:00+07:00,18.14,18.14,18.14,18.14,0
2017-06-20 07:00:00+07:00,17.76,17.76,17.76,17.76,1000
2017-06-21 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-06-22 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-06-23 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-06-26 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-06-27 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-06-28 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-06-29 07:00:00+07:00,16.1,16.1,16.1,16.1,100
2017-06-30 07:00:00+07:00,16.1,16.1,16.1,16.1,3500
2017-07-03 07:00:00+07:00,17.61,16.78,17.61,16.78,8400
2017-07-04 07:00:00+07:00,17.61,17.61,17.61,17.61,0
2017-07-05 07:00:00+07:00,17.61,17.61,17.61,17.61,0
2017-07-06 07:00:00+07:00,17.61,17.61,17.61,17.61,0
2017-07-07 07:00:00+07:00,17.61,17.61,17.61,17.61,0
2017-07-10 07:00:00+07:00,17.61,17.61,17.61,17.61,0
2017-07-11 07:00:00+07:00,17.61,17.61,17.61,17.61,0
2017-07-12 07:00:00+07:00,15.87,15.87,15.87,15.87,1000
2017-07-13 07:00:00+07:00,15.87,15.87,15.87,15.87,4000
2017-07-14 07:00:00+07:00,15.87,15.87,15.87,15.87,1500
2017-07-17 07:00:00+07:00,15.12,15.12,15.12,15.12,4100
2017-07-18 07:00:00+07:00,14.36,14.36,14.36,14.36,1000
2017-07-19 07:00:00+07:00,15.12,15.12,15.12,15.12,4000
2017-07-20 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-07-21 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-07-24 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-07-25 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-07-26 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-07-27 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-07-28 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-07-31 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-01 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-02 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-03 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-04 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-07 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-08 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-09 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-10 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-11 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-14 07:00:00+07:00,15.12,15.12,15.12,15.12,400
2017-08-15 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-16 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-17 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-18 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-21 07:00:00+07:00,15.12,13.6,15.12,13.6,1600
2017-08-22 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-23 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-24 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-08-25 07:00:00+07:00,15.12,15.12,15.12,15.12,400
2017-08-28 07:00:00+07:00,15.12,15.12,15.12,15.12,100
2017-08-29 07:00:00+07:00,14.96,14.96,14.96,14.96,100
2017-08-30 07:00:00+07:00,13.6,15.12,15.49,13.6,4300
2017-08-31 07:00:00+07:00,13.6,13.6,13.6,13.6,0
2017-09-01 07:00:00+07:00,14.96,14.96,14.96,14.96,100
2017-09-05 07:00:00+07:00,15.12,15.12,15.12,15.12,200
2017-09-06 07:00:00+07:00,15.12,15.12,15.12,15.12,100
2017-09-07 07:00:00+07:00,15.12,15.12,15.12,15.12,700
2017-09-08 07:00:00+07:00,15.12,15.12,15.12,15.12,800
2017-09-11 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-09-12 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-09-13 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-09-14 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-09-15 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-09-18 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-09-19 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-09-20 07:00:00+07:00,15.12,15.12,15.12,15.12,400
2017-09-21 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-09-22 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-09-25 07:00:00+07:00,14.74,14.74,14.74,14.74,100
2017-09-26 07:00:00+07:00,14.74,14.74,14.74,14.74,0
2017-09-27 07:00:00+07:00,14.74,14.74,14.74,14.74,0
2017-09-28 07:00:00+07:00,14.74,14.74,14.74,14.74,0
2017-09-29 07:00:00+07:00,14.74,14.74,14.74,14.74,0
2017-10-02 07:00:00+07:00,15.87,15.87,15.87,15.87,100
2017-10-03 07:00:00+07:00,16.63,16.63,16.63,16.63,100
2017-10-04 07:00:00+07:00,16.63,16.63,16.63,16.63,0
2017-10-05 07:00:00+07:00,16.63,16.63,16.63,16.63,0
2017-10-06 07:00:00+07:00,16.63,16.63,16.63,16.63,0
2017-10-09 07:00:00+07:00,16.63,16.63,16.63,16.63,0
2017-10-10 07:00:00+07:00,16.63,16.63,16.63,16.63,0
2017-10-11 07:00:00+07:00,16.63,16.63,16.63,16.63,0
2017-10-12 07:00:00+07:00,15.12,15.87,15.87,15.12,600
2017-10-13 07:00:00+07:00,15.12,15.12,15.12,15.12,4300
2017-10-16 07:00:00+07:00,16.25,16.25,16.25,16.25,400
2017-10-17 07:00:00+07:00,16.25,16.25,16.25,16.25,0
2017-10-18 07:00:00+07:00,17.76,17.76,17.76,17.76,200
2017-10-19 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-10-20 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-10-23 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-10-24 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-10-25 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-10-26 07:00:00+07:00,16.25,16.25,16.25,16.25,300
2017-10-27 07:00:00+07:00,16.25,16.25,16.25,16.25,0
2017-10-30 07:00:00+07:00,16.25,16.25,16.25,16.25,0
2017-10-31 07:00:00+07:00,16.25,16.25,16.25,16.25,0
2017-11-01 07:00:00+07:00,17.76,17.76,17.76,17.76,300
2017-11-02 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-11-03 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-11-06 07:00:00+07:00,17.76,17.76,17.76,17.76,0
2017-11-07 07:00:00+07:00,16.1,16.1,16.1,16.1,100
2017-11-08 07:00:00+07:00,16.1,16.1,16.1,16.1,0
2017-11-09 07:00:00+07:00,15.12,15.12,15.12,15.12,100
2017-11-10 07:00:00+07:00,14.81,16.63,16.63,14.81,2900
2017-11-13 07:00:00+07:00,13.6,13.6,13.6,13.6,100
2017-11-14 07:00:00+07:00,13.6,13.6,13.6,13.6,0
2017-11-15 07:00:00+07:00,14.96,14.96,14.96,14.96,600
2017-11-16 07:00:00+07:00,16.32,16.32,16.32,16.32,1300
2017-11-17 07:00:00+07:00,16.32,16.32,16.32,16.32,0
2017-11-20 07:00:00+07:00,16.32,16.32,16.32,16.32,0
2017-11-21 07:00:00+07:00,16.32,16.32,16.32,16.32,0
2017-11-22 07:00:00+07:00,16.32,16.32,16.32,16.32,0
2017-11-23 07:00:00+07:00,16.32,16.32,16.32,16.32,0
2017-11-24 07:00:00+07:00,15.19,15.19,15.19,15.19,100
2017-11-27 07:00:00+07:00,15.87,15.87,15.87,15.87,4000
2017-11-28 07:00:00+07:00,15.87,15.87,15.87,15.87,1000
2017-11-29 07:00:00+07:00,15.87,15.87,15.87,15.87,400
2017-11-30 07:00:00+07:00,15.12,15.12,15.12,15.12,3600
2017-12-01 07:00:00+07:00,15.12,15.87,15.87,15.12,14900
2017-12-04 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-12-05 07:00:00+07:00,15.12,15.12,15.12,15.12,5000
2017-12-06 07:00:00+07:00,15.12,15.12,15.12,15.12,400
2017-12-07 07:00:00+07:00,15.12,15.12,15.12,15.12,5000
2017-12-08 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-12-11 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-12-12 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-12-13 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-12-14 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-12-15 07:00:00+07:00,15.12,15.12,15.12,15.12,0
2017-12-18 07:00:00+07:00,15.12,15.12,15.12,15.12,7400
2017-12-19 07:00:00+07:00,15.27,15.12,15.27,15.12,4100
2017-12-20 07:00:00+07:00,15.27,15.27,15.27,15.27,0
2017-12-21 07:00:00+07:00,14.36,14.36,14.36,14.36,300
2017-12-22 07:00:00+07:00,15.12,15.12,15.12,15.12,1000
2017-12-25 07:00:00+07:00,15.49,15.49,15.49,15.49,100
2017-12-26 07:00:00+07:00,15.49,15.49,15.49,15.49,0
2017-12-27 07:00:00+07:00,15.49,15.49,15.49,15.49,0
2017-12-28 07:00:00+07:00,15.49,15.49,15.49,15.49,0
2017-12-29 07:00:00+07:00,15.49,15.49,15.49,15.49,0
