Date,Close,Open,High,Low,Volumn
2020-03-23 09:15:07+07:00,31.5,31.0,31.9,31.0,67110
2020-03-23 09:16:07+07:00,31.5,31.5,31.5,31.5,70
2020-03-23 09:17:14+07:00,31.5,31.5,31.5,31.5,1990
2020-03-23 09:18:03+07:00,31.1,31.5,31.5,31.1,6800
2020-03-23 09:19:14+07:00,31.05,31.1,31.1,31.05,18360
2020-03-23 09:20:04+07:00,31.0,31.1,31.1,31.0,5910
2020-03-23 09:21:02+07:00,30.9,31.0,31.05,30.9,59420
2020-03-23 09:22:12+07:00,30.9,31.0,31.0,30.9,18550
2020-03-23 09:23:11+07:00,30.85,30.85,30.9,30.85,6980
2020-03-23 09:24:01+07:00,30.8,30.85,30.9,30.8,35240
2020-03-23 09:25:00+07:00,30.8,30.85,30.85,30.8,18330
2020-03-23 09:26:02+07:00,30.85,30.85,30.85,30.8,12200
2020-03-23 09:27:10+07:00,30.85,30.9,30.9,30.85,5000
2020-03-23 09:28:04+07:00,30.85,30.9,30.9,30.85,27290
2020-03-23 09:29:16+07:00,30.85,30.85,30.9,30.85,5060
2020-03-23 09:30:02+07:00,30.9,30.9,30.9,30.85,4440
2020-03-23 09:31:03+07:00,30.85,30.9,30.9,30.85,3350
2020-03-23 09:32:03+07:00,30.9,30.85,30.9,30.85,1600
2020-03-23 09:33:08+07:00,30.9,30.85,30.9,30.85,12200
2020-03-23 09:34:15+07:00,30.9,30.85,30.9,30.85,1550
2020-03-23 09:35:04+07:00,30.9,30.9,30.9,30.85,3060
2020-03-23 09:36:21+07:00,30.9,30.85,30.9,30.85,12050
2020-03-23 09:37:20+07:00,30.9,30.9,30.9,30.9,3260
2020-03-23 09:38:24+07:00,30.85,30.85,30.85,30.85,900
2020-03-23 09:39:09+07:00,30.85,30.9,30.9,30.85,29930
2020-03-23 09:40:15+07:00,30.9,30.9,30.9,30.9,3100
2020-03-23 09:41:08+07:00,30.85,30.9,30.9,30.85,120
2020-03-23 09:42:21+07:00,30.9,30.9,30.9,30.85,1480
2020-03-23 09:43:24+07:00,30.9,30.9,30.9,30.9,3620
2020-03-23 09:44:01+07:00,31.05,30.9,31.05,30.9,3200
2020-03-23 09:45:26+07:00,31.0,31.05,31.05,31.0,590
2020-03-23 09:46:03+07:00,31.5,31.0,31.5,30.9,6610
2020-03-23 09:47:00+07:00,31.0,30.9,31.3,30.9,2020
2020-03-23 09:48:31+07:00,31.0,31.0,31.0,31.0,2080
2020-03-23 09:49:32+07:00,31.0,31.0,31.8,31.0,8100
2020-03-23 09:50:50+07:00,31.1,31.1,31.1,31.1,500
2020-03-23 09:51:12+07:00,31.2,31.75,31.8,31.2,800
2020-03-23 09:52:44+07:00,31.8,31.8,31.8,31.8,10000
2020-03-23 09:55:15+07:00,31.7,31.7,31.7,31.7,14100
2020-03-23 09:56:06+07:00,31.6,31.65,31.65,31.6,4380
2020-03-23 09:57:12+07:00,31.2,31.2,31.2,31.2,2940
2020-03-23 09:58:21+07:00,31.0,31.1,31.1,31.0,11480
2020-03-23 09:59:00+07:00,31.2,31.2,31.2,31.2,610
2020-03-23 10:00:13+07:00,31.0,31.2,31.3,31.0,820
2020-03-23 10:01:22+07:00,30.9,31.0,31.0,30.9,10830
2020-03-23 10:02:14+07:00,30.9,30.85,30.9,30.85,14350
2020-03-23 10:03:03+07:00,30.9,30.9,30.9,30.9,710
2020-03-23 10:04:05+07:00,31.0,30.9,31.0,30.9,600
2020-03-23 10:05:04+07:00,31.0,31.0,31.0,30.95,2860
2020-03-23 10:06:32+07:00,31.0,31.0,31.0,31.0,260
2020-03-23 10:07:05+07:00,31.0,31.0,31.0,31.0,2100
2020-03-23 10:08:17+07:00,31.0,31.0,31.0,31.0,260
2020-03-23 10:09:28+07:00,31.0,31.0,31.0,31.0,2900
2020-03-23 10:10:46+07:00,31.0,31.0,31.0,31.0,7440
2020-03-23 10:11:17+07:00,31.0,31.0,31.0,31.0,1100
2020-03-23 10:12:09+07:00,31.05,31.05,31.1,31.05,1710
2020-03-23 10:13:20+07:00,31.1,31.05,31.1,31.05,150
2020-03-23 10:14:11+07:00,31.1,31.1,31.1,31.1,500
2020-03-23 10:15:11+07:00,31.2,31.1,31.2,31.1,1170
2020-03-23 10:16:06+07:00,31.5,31.1,31.5,31.1,7390
2020-03-23 10:17:19+07:00,31.0,31.05,31.05,31.0,12890
2020-03-23 10:18:00+07:00,31.0,31.0,31.0,30.95,3530
2020-03-23 10:19:09+07:00,30.95,30.95,30.95,30.95,1460
2020-03-23 10:20:07+07:00,30.9,30.95,30.95,30.9,29000
2020-03-23 10:21:02+07:00,30.85,30.9,30.9,30.85,12190
2020-03-23 10:22:02+07:00,30.85,30.85,30.85,30.85,8010
2020-03-23 10:23:16+07:00,30.9,30.9,30.9,30.9,100
2020-03-23 10:24:03+07:00,30.85,30.85,30.85,30.85,9810
2020-03-23 10:25:01+07:00,30.85,30.85,30.85,30.8,99500
2020-03-23 10:26:02+07:00,30.8,30.8,30.8,30.8,20100
2020-03-23 10:27:39+07:00,30.8,30.8,30.8,30.8,1390
2020-03-23 10:28:20+07:00,30.8,30.8,30.8,30.8,20
2020-03-23 10:29:07+07:00,30.8,30.8,30.85,30.8,10010
2020-03-23 10:30:22+07:00,30.8,30.8,30.85,30.8,11480
2020-03-23 10:31:01+07:00,30.85,30.85,30.85,30.8,4470
2020-03-23 10:32:03+07:00,30.85,30.85,30.85,30.8,7310
2020-03-23 10:33:09+07:00,30.85,30.85,30.85,30.8,2760
2020-03-23 10:34:10+07:00,30.9,30.85,30.9,30.8,68290
2020-03-23 10:35:27+07:00,30.9,30.9,30.9,30.9,10400
2020-03-23 10:36:48+07:00,30.9,30.9,30.9,30.9,140
2020-03-23 10:37:18+07:00,30.9,30.9,30.9,30.9,1100
2020-03-23 10:38:11+07:00,30.85,30.9,30.9,30.85,3400
2020-03-23 10:39:27+07:00,30.8,30.85,30.85,30.8,30000
2020-03-23 10:40:14+07:00,30.85,30.85,30.85,30.8,12910
2020-03-23 10:41:02+07:00,30.85,30.85,30.85,30.85,3050
2020-03-23 10:42:10+07:00,30.95,30.95,30.95,30.95,370
2020-03-23 10:43:22+07:00,30.95,30.95,30.95,30.95,1010
2020-03-23 10:44:05+07:00,30.9,30.85,30.9,30.85,1110
2020-03-23 10:45:06+07:00,30.9,30.9,30.9,30.9,1500
2020-03-23 10:46:10+07:00,30.95,30.9,30.95,30.9,1400
2020-03-23 10:47:15+07:00,30.85,31.0,31.0,30.85,10710
2020-03-23 10:48:06+07:00,30.9,30.9,30.9,30.9,100
2020-03-23 10:49:10+07:00,30.9,30.9,30.9,30.9,6510
2020-03-23 10:50:05+07:00,30.9,30.9,30.9,30.9,910
2020-03-23 10:51:09+07:00,30.9,30.9,30.9,30.9,180
2020-03-23 10:52:59+07:00,30.95,30.95,30.95,30.95,160
2020-03-23 10:53:57+07:00,30.95,30.95,30.95,30.95,100
2020-03-23 10:54:14+07:00,30.9,30.95,30.95,30.9,130
2020-03-23 10:55:27+07:00,30.9,30.9,30.9,30.9,90
2020-03-23 10:56:08+07:00,30.9,30.9,30.9,30.9,250
2020-03-23 10:57:11+07:00,30.9,30.9,30.9,30.9,880
2020-03-23 10:58:33+07:00,30.9,30.85,30.9,30.85,100
2020-03-23 11:00:45+07:00,30.9,30.9,30.9,30.9,3770
2020-03-23 11:01:34+07:00,30.85,30.85,30.85,30.85,500
2020-03-23 11:02:05+07:00,30.85,30.9,30.9,30.85,5290
2020-03-23 11:03:26+07:00,30.9,30.9,30.9,30.9,200
2020-03-23 11:04:19+07:00,30.9,30.9,30.9,30.9,300
2020-03-23 11:05:11+07:00,30.85,30.9,30.9,30.85,490
2020-03-23 11:06:07+07:00,30.9,30.9,30.9,30.85,5530
2020-03-23 11:07:40+07:00,30.9,30.9,30.9,30.9,2500
2020-03-23 11:09:24+07:00,30.85,30.85,30.85,30.85,90
2020-03-23 11:10:04+07:00,30.85,30.85,30.85,30.85,15500
2020-03-23 11:11:12+07:00,30.85,30.85,30.85,30.85,1000
2020-03-23 11:12:21+07:00,30.85,30.85,30.85,30.85,530
2020-03-23 11:13:00+07:00,30.85,30.85,30.85,30.85,710
2020-03-23 11:15:09+07:00,30.85,30.9,30.9,30.85,3880
2020-03-23 11:16:12+07:00,30.85,30.85,30.85,30.85,1330
2020-03-23 11:17:18+07:00,30.85,30.9,30.9,30.85,14930
2020-03-23 11:18:12+07:00,30.85,30.85,30.85,30.85,15970
2020-03-23 11:19:01+07:00,30.85,30.8,30.85,30.8,6570
2020-03-23 11:20:14+07:00,30.85,30.8,30.85,30.8,2190
2020-03-23 11:21:18+07:00,30.8,30.8,30.8,30.8,4700
2020-03-23 11:22:32+07:00,30.8,30.8,30.8,30.8,20500
2020-03-23 11:23:00+07:00,30.8,30.85,30.85,30.8,1500
2020-03-23 11:24:48+07:00,30.8,30.8,30.8,30.8,1000
2020-03-23 11:26:48+07:00,30.8,30.8,30.8,30.8,100
2020-03-23 11:27:27+07:00,30.8,30.85,30.85,30.8,42030
2020-03-23 11:28:10+07:00,30.8,30.8,30.85,30.8,5630
2020-03-23 11:29:26+07:00,30.8,30.8,30.8,30.8,3000
2020-03-23 13:00:14+07:00,30.9,30.9,30.9,30.9,88030
2020-03-23 13:01:05+07:00,30.9,30.9,30.9,30.9,90
2020-03-23 13:03:28+07:00,30.95,30.9,30.95,30.9,1930
2020-03-23 13:04:42+07:00,30.9,30.9,30.9,30.9,150
2020-03-23 13:05:08+07:00,30.9,30.9,30.9,30.9,2000
2020-03-23 13:06:22+07:00,30.9,30.8,30.9,30.8,14980
2020-03-23 13:07:05+07:00,30.9,30.9,30.9,30.9,3420
2020-03-23 13:08:01+07:00,30.85,30.9,30.9,30.85,11900
2020-03-23 13:09:05+07:00,30.8,30.85,30.85,30.8,460
2020-03-23 13:11:01+07:00,30.8,30.85,30.85,30.8,5900
2020-03-23 13:12:16+07:00,30.85,30.85,30.85,30.8,2930
2020-03-23 13:13:57+07:00,30.85,30.85,30.85,30.85,210
2020-03-23 13:14:13+07:00,30.8,30.85,30.85,30.8,9620
2020-03-23 13:15:11+07:00,30.85,30.8,30.85,30.8,10700
2020-03-23 13:16:27+07:00,30.8,30.85,30.85,30.8,600
2020-03-23 13:17:09+07:00,30.8,30.8,30.8,30.8,650
2020-03-23 13:18:03+07:00,30.85,30.8,30.85,30.8,15800
2020-03-23 13:19:09+07:00,30.8,30.8,30.8,30.8,110
2020-03-23 13:21:29+07:00,30.8,30.8,30.85,30.8,16440
2020-03-23 13:22:02+07:00,30.8,30.85,30.85,30.8,11220
2020-03-23 13:23:06+07:00,30.85,30.85,30.85,30.8,21170
2020-03-23 13:24:01+07:00,30.85,30.85,30.85,30.85,10
2020-03-23 13:25:54+07:00,30.8,30.8,30.8,30.8,1930
2020-03-23 13:26:01+07:00,30.85,30.8,30.85,30.8,27570
2020-03-23 13:28:02+07:00,30.8,30.8,30.8,30.8,19680
2020-03-23 13:29:09+07:00,30.8,30.8,30.85,30.8,2790
2020-03-23 13:30:08+07:00,30.85,30.85,30.85,30.85,1800
2020-03-23 13:31:07+07:00,30.85,30.85,30.85,30.85,1050
2020-03-23 13:32:02+07:00,30.8,30.85,30.85,30.8,2100
2020-03-23 13:33:17+07:00,30.8,30.8,30.85,30.8,1220
2020-03-23 13:34:01+07:00,30.85,30.85,30.85,30.8,2550
2020-03-23 13:35:00+07:00,30.8,30.8,30.85,30.8,3730
2020-03-23 13:36:02+07:00,30.85,30.85,30.85,30.8,5160
2020-03-23 13:37:04+07:00,30.8,30.8,30.8,30.8,29700
2020-03-23 13:38:46+07:00,30.8,30.8,30.8,30.8,2000
2020-03-23 13:39:16+07:00,30.85,30.8,30.85,30.8,37750
2020-03-23 13:40:34+07:00,30.8,30.8,30.8,30.8,3590
2020-03-23 13:41:16+07:00,30.85,30.85,30.85,30.8,24810
2020-03-23 13:42:05+07:00,30.8,30.85,30.85,30.8,3650
2020-03-23 13:43:10+07:00,30.8,30.8,30.8,30.8,2360
2020-03-23 13:44:00+07:00,30.85,30.85,30.85,30.8,5790
2020-03-23 13:45:25+07:00,30.8,30.85,30.85,30.8,18790
2020-03-23 13:46:06+07:00,30.85,30.8,30.85,30.8,25050
2020-03-23 13:47:03+07:00,30.8,30.8,30.85,30.8,8230
2020-03-23 13:48:03+07:00,30.8,30.8,30.8,30.8,2090
2020-03-23 13:49:01+07:00,30.85,30.85,30.85,30.8,10220
2020-03-23 13:50:04+07:00,30.8,30.85,30.85,30.8,4280
2020-03-23 13:51:40+07:00,30.8,30.8,30.8,30.8,3170
2020-03-23 13:52:12+07:00,30.85,30.85,30.85,30.8,30060
2020-03-23 13:53:09+07:00,30.85,30.85,30.85,30.85,25100
2020-03-23 13:54:05+07:00,30.8,30.85,30.85,30.8,6810
2020-03-23 13:55:17+07:00,30.8,30.8,30.85,30.8,113130
2020-03-23 13:56:17+07:00,30.8,30.8,30.8,30.8,182880
2020-03-23 13:57:06+07:00,30.8,30.8,30.85,30.8,120330
2020-03-23 13:58:00+07:00,30.8,30.8,30.85,30.8,49960
2020-03-23 13:59:05+07:00,30.85,30.85,30.85,30.8,60900
2020-03-23 14:00:01+07:00,30.85,30.85,30.85,30.8,12140
2020-03-23 14:01:27+07:00,30.85,30.85,30.85,30.8,1270
2020-03-23 14:02:28+07:00,30.8,30.8,30.85,30.8,6790
2020-03-23 14:03:02+07:00,30.8,30.8,30.85,30.8,12650
2020-03-23 14:04:35+07:00,30.85,30.8,30.85,30.8,10500
2020-03-23 14:05:20+07:00,30.85,30.85,30.85,30.8,8710
2020-03-23 14:06:04+07:00,30.85,30.8,30.85,30.8,1490
2020-03-23 14:07:15+07:00,30.8,30.85,30.85,30.8,1050
2020-03-23 14:08:42+07:00,30.8,30.8,30.85,30.8,800
2020-03-23 14:09:02+07:00,30.8,30.8,30.85,30.8,2160
2020-03-23 14:10:00+07:00,30.8,30.8,30.85,30.8,43150
2020-03-23 14:11:04+07:00,30.8,30.8,30.8,30.8,35450
2020-03-23 14:12:00+07:00,30.8,30.8,30.8,30.8,4000
2020-03-23 14:13:11+07:00,30.8,30.8,30.85,30.8,36100
2020-03-23 14:14:03+07:00,30.8,30.85,30.85,30.8,38140
2020-03-23 14:15:00+07:00,30.8,30.8,30.8,30.8,21680
2020-03-23 14:16:00+07:00,30.8,30.8,30.85,30.8,11560
2020-03-23 14:17:32+07:00,30.8,30.8,30.8,30.8,8100
2020-03-23 14:18:03+07:00,30.8,30.8,30.8,30.8,4860
2020-03-23 14:19:01+07:00,30.8,30.8,30.8,30.8,6940
2020-03-23 14:20:24+07:00,30.8,30.8,30.8,30.8,6020
2020-03-23 14:21:06+07:00,30.85,30.8,30.85,30.8,14000
2020-03-23 14:22:04+07:00,30.8,30.8,30.85,30.8,3400
2020-03-23 14:23:20+07:00,30.8,30.8,30.8,30.8,1560
2020-03-23 14:24:00+07:00,30.8,30.8,30.8,30.8,10910
2020-03-23 14:25:06+07:00,30.8,30.8,30.8,30.8,27250
2020-03-23 14:26:05+07:00,30.8,30.85,30.85,30.8,1630
2020-03-23 14:27:00+07:00,30.85,30.8,30.85,30.8,43380
2020-03-23 14:28:10+07:00,30.85,30.85,30.85,30.85,8630
2020-03-23 14:29:12+07:00,30.8,30.8,30.85,30.8,25060
2020-03-23 14:46:02+07:00,30.8,30.8,30.8,30.8,220680
2020-03-24 09:15:07+07:00,31.0,31.0,31.5,31.0,60600
2020-03-24 09:16:05+07:00,31.05,31.05,31.05,31.05,1430
2020-03-24 09:17:00+07:00,31.5,31.5,31.5,31.0,14280
2020-03-24 09:18:43+07:00,31.5,31.1,31.5,31.1,400
2020-03-24 09:19:16+07:00,31.4,31.1,31.4,31.1,1430
2020-03-24 09:20:02+07:00,31.4,31.4,31.4,31.4,20
2020-03-24 09:21:27+07:00,31.2,31.2,31.2,31.2,7550
2020-03-24 09:22:04+07:00,31.2,31.2,31.2,31.05,6080
2020-03-24 09:23:17+07:00,31.2,31.2,31.2,31.2,5130
2020-03-24 09:24:19+07:00,31.3,31.2,31.3,31.2,1440
2020-03-24 09:25:18+07:00,31.2,31.2,31.3,31.2,6200
2020-03-24 09:26:12+07:00,31.2,31.05,31.2,31.05,8200
2020-03-24 09:27:31+07:00,31.2,31.2,31.2,31.2,840
2020-03-24 09:28:31+07:00,31.3,31.2,31.3,31.2,850
2020-03-24 09:29:04+07:00,31.2,31.3,31.3,31.2,2600
2020-03-24 09:30:37+07:00,31.2,31.2,31.2,31.2,3500
2020-03-24 09:31:00+07:00,31.2,31.2,31.2,31.2,3060
2020-03-24 09:32:06+07:00,31.05,31.1,31.1,31.05,16540
2020-03-24 09:33:01+07:00,31.05,31.1,31.1,31.05,2500
2020-03-24 09:34:04+07:00,31.0,31.05,31.05,31.0,7430
2020-03-24 09:35:01+07:00,30.9,31.05,31.05,30.9,15400
2020-03-24 09:36:02+07:00,30.8,30.9,31.0,30.8,8020
2020-03-24 09:37:09+07:00,30.8,30.9,30.9,30.8,17390
2020-03-24 09:38:00+07:00,30.8,30.7,30.8,30.7,2960
2020-03-24 09:39:27+07:00,30.7,30.8,30.8,30.7,500
2020-03-24 09:40:12+07:00,30.9,30.7,30.9,30.7,12020
2020-03-24 09:41:10+07:00,30.8,30.9,30.9,30.8,7200
2020-03-24 09:42:41+07:00,30.9,30.8,30.9,30.8,460
2020-03-24 09:43:10+07:00,30.8,30.8,30.8,30.8,780
2020-03-24 09:44:01+07:00,30.8,30.8,30.8,30.8,3700
2020-03-24 09:45:36+07:00,30.8,30.7,30.8,30.7,3800
2020-03-24 09:46:13+07:00,30.8,30.8,30.8,30.8,2770
2020-03-24 09:47:36+07:00,31.0,30.9,31.0,30.9,67890
2020-03-24 09:48:06+07:00,31.1,31.0,31.1,31.0,10610
2020-03-24 09:49:24+07:00,31.05,31.2,31.2,31.05,550
2020-03-24 09:50:13+07:00,31.1,31.1,31.1,31.1,1310
2020-03-24 09:51:12+07:00,31.1,31.2,31.2,31.1,3280
2020-03-24 09:52:04+07:00,31.05,31.1,31.1,31.0,18800
2020-03-24 09:53:08+07:00,31.2,31.2,31.2,31.2,12000
2020-03-24 09:54:30+07:00,31.2,31.2,31.2,31.2,800
2020-03-24 09:56:03+07:00,31.3,31.2,31.3,31.2,2830
2020-03-24 09:57:00+07:00,31.3,31.3,31.3,31.25,4260
2020-03-24 09:58:00+07:00,31.4,31.3,31.4,31.3,18130
2020-03-24 09:59:19+07:00,31.45,31.4,31.45,31.4,3070
2020-03-24 10:00:17+07:00,31.5,31.5,31.5,31.5,52470
2020-03-24 10:01:59+07:00,31.45,31.45,31.45,31.45,1000
2020-03-24 10:02:09+07:00,31.45,31.45,31.45,31.45,3120
2020-03-24 10:03:36+07:00,31.45,31.45,31.45,31.45,3870
2020-03-24 10:04:13+07:00,31.45,31.4,31.45,31.4,3030
2020-03-24 10:05:34+07:00,31.4,31.4,31.4,31.4,2000
2020-03-24 10:06:26+07:00,31.45,31.45,31.45,31.45,2050
2020-03-24 10:07:03+07:00,31.5,31.5,31.5,31.45,5560
2020-03-24 10:08:00+07:00,31.5,31.5,31.5,31.5,17430
2020-03-24 10:09:03+07:00,31.6,31.6,31.6,31.6,20000
2020-03-24 10:10:03+07:00,31.55,31.5,31.6,31.5,3710
2020-03-24 10:11:01+07:00,31.7,31.55,31.7,31.55,37420
2020-03-24 10:12:12+07:00,31.6,31.65,31.7,31.6,8440
2020-03-24 10:13:39+07:00,31.7,31.7,31.7,31.65,17600
2020-03-24 10:14:01+07:00,31.7,31.7,31.8,31.7,8920
2020-03-24 10:15:00+07:00,31.7,31.8,31.8,31.7,1160
2020-03-24 10:16:02+07:00,31.7,31.7,31.75,31.7,1960
2020-03-24 10:17:00+07:00,31.7,31.7,31.7,31.7,2140
2020-03-24 10:18:17+07:00,31.7,31.7,31.7,31.7,400
2020-03-24 10:19:17+07:00,31.8,31.8,31.85,31.8,26630
2020-03-24 10:20:13+07:00,31.8,31.8,31.8,31.8,5290
2020-03-24 10:21:08+07:00,31.8,31.8,31.8,31.8,1900
2020-03-24 10:22:24+07:00,31.9,31.8,31.9,31.8,21440
2020-03-24 10:23:06+07:00,31.9,31.9,31.9,31.9,4060
2020-03-24 10:24:07+07:00,31.8,31.9,31.9,31.8,1020
2020-03-24 10:25:15+07:00,31.85,31.8,31.85,31.8,1350
2020-03-24 10:26:10+07:00,31.8,31.85,31.85,31.8,120
2020-03-24 10:27:24+07:00,31.8,31.85,31.85,31.8,850
2020-03-24 10:28:02+07:00,31.85,31.85,31.85,31.85,600
2020-03-24 10:29:02+07:00,31.85,31.85,31.85,31.8,730
2020-03-24 10:30:11+07:00,31.85,31.9,31.9,31.85,1780
2020-03-24 10:31:03+07:00,31.9,31.9,31.9,31.85,7630
2020-03-24 10:32:22+07:00,31.9,31.9,31.9,31.85,4960
2020-03-24 10:33:00+07:00,31.9,31.9,31.9,31.85,16920
2020-03-24 10:34:32+07:00,31.95,31.95,31.95,31.95,600
2020-03-24 10:35:00+07:00,31.9,31.9,31.9,31.9,5560
2020-03-24 10:36:00+07:00,31.9,31.95,31.95,31.9,7670
2020-03-24 10:37:12+07:00,31.9,31.9,31.9,31.9,50
2020-03-24 10:38:09+07:00,31.95,31.95,31.95,31.9,1280
2020-03-24 10:39:07+07:00,31.9,31.95,31.95,31.9,1360
2020-03-24 10:40:17+07:00,31.9,31.95,31.95,31.9,1800
2020-03-24 10:41:02+07:00,31.9,31.95,31.95,31.9,1600
2020-03-24 10:42:10+07:00,31.9,31.9,31.95,31.9,1800
2020-03-24 10:43:13+07:00,31.85,31.95,31.95,31.85,9800
2020-03-24 10:44:35+07:00,31.8,31.85,31.85,31.8,3140
2020-03-24 10:45:15+07:00,31.8,31.8,31.8,31.8,770
2020-03-24 10:46:44+07:00,31.8,31.8,31.8,31.8,300
2020-03-24 10:47:33+07:00,31.8,31.8,31.8,31.8,2550
2020-03-24 10:48:34+07:00,31.8,31.8,31.8,31.8,320
2020-03-24 10:49:10+07:00,31.9,31.8,31.9,31.8,31610
2020-03-24 10:50:05+07:00,31.8,31.9,31.9,31.8,15500
2020-03-24 10:51:02+07:00,31.8,31.8,31.8,31.8,16550
2020-03-24 10:52:12+07:00,31.8,31.8,31.8,31.8,7050
2020-03-24 10:53:11+07:00,31.8,31.8,31.8,31.8,1560
2020-03-24 10:54:05+07:00,31.8,31.8,31.8,31.8,2230
2020-03-24 10:55:20+07:00,31.8,31.8,31.8,31.8,310
2020-03-24 10:56:10+07:00,31.8,31.8,31.8,31.7,3110
2020-03-24 10:57:01+07:00,31.7,31.7,31.8,31.7,4600
2020-03-24 10:58:15+07:00,31.75,31.7,31.75,31.7,800
2020-03-24 10:59:38+07:00,31.7,31.75,31.75,31.7,500
2020-03-24 11:00:08+07:00,31.75,31.7,31.75,31.7,1730
2020-03-24 11:01:09+07:00,31.75,31.75,31.75,31.75,660
2020-03-24 11:02:09+07:00,31.75,31.7,31.75,31.7,5840
2020-03-24 11:03:04+07:00,31.7,31.7,31.75,31.7,2530
2020-03-24 11:04:55+07:00,31.7,31.7,31.7,31.7,600
2020-03-24 11:06:04+07:00,31.6,31.7,31.7,31.6,4600
2020-03-24 11:07:05+07:00,31.6,31.65,31.65,31.6,3200
2020-03-24 11:08:03+07:00,31.6,31.6,31.7,31.6,12400
2020-03-24 11:09:15+07:00,31.5,31.6,31.6,31.5,5420
2020-03-24 11:10:00+07:00,31.5,31.5,31.5,31.35,11180
2020-03-24 11:11:26+07:00,31.3,31.45,31.45,31.2,2220
2020-03-24 11:12:14+07:00,31.5,31.3,31.5,31.3,430
2020-03-24 11:13:18+07:00,31.2,31.2,31.4,31.2,7460
2020-03-24 11:14:20+07:00,31.05,31.1,31.1,31.05,570
2020-03-24 11:15:46+07:00,31.1,31.1,31.1,31.1,950
2020-03-24 11:16:01+07:00,31.1,31.1,31.1,31.1,320
2020-03-24 11:17:00+07:00,31.4,31.1,31.4,31.1,6200
2020-03-24 11:18:37+07:00,31.4,31.4,31.4,31.4,1120
2020-03-24 11:19:19+07:00,31.2,31.4,31.4,31.2,1020
2020-03-24 11:20:07+07:00,31.5,31.5,31.5,31.5,590
2020-03-24 11:21:07+07:00,31.5,31.5,31.5,31.5,300
2020-03-24 11:22:17+07:00,31.5,31.5,31.5,31.5,590
2020-03-24 11:23:15+07:00,31.5,31.5,31.5,31.5,300
2020-03-24 11:24:27+07:00,31.5,31.5,31.5,31.5,590
2020-03-24 11:25:11+07:00,31.5,31.5,31.5,31.5,310
2020-03-24 11:26:37+07:00,31.5,31.5,31.5,31.5,590
2020-03-24 11:27:27+07:00,31.5,31.2,31.5,31.2,2300
2020-03-24 11:28:37+07:00,31.4,31.4,31.4,31.4,200
2020-03-24 11:29:42+07:00,31.5,31.5,31.5,31.5,300
2020-03-24 13:00:13+07:00,31.5,31.5,31.5,31.5,3480
2020-03-24 13:01:25+07:00,31.5,31.5,31.5,31.5,350
2020-03-24 13:02:04+07:00,31.5,31.5,31.5,31.5,170
2020-03-24 13:03:08+07:00,31.5,31.45,31.5,31.45,1790
2020-03-24 13:04:00+07:00,31.5,31.5,31.5,31.5,300
2020-03-24 13:05:18+07:00,31.5,31.5,31.5,31.5,590
2020-03-24 13:06:09+07:00,31.5,31.5,31.5,31.5,800
2020-03-24 13:07:25+07:00,31.6,31.5,31.6,31.5,1110
2020-03-24 13:08:18+07:00,31.6,31.6,31.6,31.6,300
2020-03-24 13:09:39+07:00,31.6,31.6,31.6,31.6,590
2020-03-24 13:10:07+07:00,31.6,31.6,31.6,31.6,560
2020-03-24 13:11:49+07:00,31.6,31.6,31.6,31.6,590
2020-03-24 13:12:06+07:00,31.6,31.5,31.6,31.5,400
2020-03-24 13:13:22+07:00,31.6,31.6,31.6,31.6,11190
2020-03-24 13:14:27+07:00,31.55,31.6,31.6,31.55,3110
2020-03-24 13:15:01+07:00,31.55,31.55,31.55,31.55,190
2020-03-24 13:16:09+07:00,31.6,31.55,31.6,31.55,2850
2020-03-24 13:18:09+07:00,31.6,31.6,31.6,31.6,5690
2020-03-24 13:19:02+07:00,31.5,31.6,31.6,31.5,1400
2020-03-24 13:20:23+07:00,31.55,31.5,31.55,31.5,1340
2020-03-24 13:21:07+07:00,31.6,31.6,31.6,31.6,940
2020-03-24 13:22:41+07:00,31.6,31.6,31.6,31.6,610
2020-03-24 13:23:20+07:00,31.6,31.6,31.6,31.6,300
2020-03-24 13:24:38+07:00,31.6,31.6,31.6,31.5,11860
2020-03-24 13:25:29+07:00,31.6,31.6,31.6,31.6,520
2020-03-24 13:26:13+07:00,31.6,31.6,31.6,31.6,50
2020-03-24 13:27:01+07:00,31.6,31.6,31.6,31.6,10890
2020-03-24 13:28:04+07:00,31.6,31.6,31.6,31.6,360
2020-03-24 13:29:11+07:00,31.5,31.6,31.6,31.5,1990
2020-03-24 13:31:22+07:00,31.55,31.6,31.6,31.55,1170
2020-03-24 13:33:31+07:00,31.6,31.6,31.6,31.6,14590
2020-03-24 13:34:05+07:00,31.6,31.6,31.6,31.6,4400
2020-03-24 13:35:41+07:00,31.6,31.6,31.6,31.6,590
2020-03-24 13:36:03+07:00,31.6,31.6,31.6,31.6,18150
2020-03-24 13:37:00+07:00,31.6,31.6,31.6,31.6,13420
