Date,Close,Open,High,Low,Volumn
2020-03-23 09:15:07+07:00,30.85,31.0,31.9,30.8,288310
2020-03-23 09:30:02+07:00,31.2,30.9,31.8,30.85,148070
2020-03-23 10:00:13+07:00,30.8,31.2,31.5,30.8,263160
2020-03-23 10:30:22+07:00,30.9,30.8,30.95,30.8,180820
2020-03-23 11:00:45+07:00,30.8,30.9,30.9,30.8,159740
2020-03-23 13:00:14+07:00,30.8,30.9,30.95,30.8,270290
2020-03-23 13:30:08+07:00,30.85,30.85,30.85,30.8,788260
2020-03-23 14:00:01+07:00,30.8,30.85,30.85,30.8,409380
2020-03-23 14:46:02+07:00,30.8,30.8,30.8,30.8,220680
2020-03-24 09:15:07+07:00,31.2,31.0,31.5,31.0,117050
2020-03-24 09:30:37+07:00,31.45,31.2,31.45,30.7,251560
2020-03-24 10:00:17+07:00,31.85,31.5,31.9,31.4,256270
2020-03-24 10:30:11+07:00,31.7,31.9,31.95,31.7,153710
2020-03-24 11:00:08+07:00,31.5,31.7,31.75,31.05,74520
2020-03-24 13:00:13+07:00,31.5,31.5,31.6,31.5,64320
2020-03-24 13:31:22+07:00,31.6,31.6,31.6,31.55,165680
2020-03-24 14:00:22+07:00,31.6,31.6,31.6,31.5,117350
2020-03-24 14:46:02+07:00,31.6,31.6,31.6,31.6,26560
2020-03-25 09:15:09+07:00,33.2,33.4,33.4,32.9,170290
2020-03-25 09:30:10+07:00,33.45,33.2,33.45,32.8,166700
2020-03-25 10:00:27+07:00,33.0,33.45,33.45,32.9,109720
2020-03-25 10:30:20+07:00,33.2,32.9,33.2,32.8,51740
2020-03-25 11:00:30+07:00,33.2,33.2,33.4,33.1,243930
2020-03-25 13:00:13+07:00,33.35,33.2,33.35,33.05,304690
2020-03-25 13:30:06+07:00,33.25,33.3,33.35,33.2,274110
2020-03-25 14:00:02+07:00,33.2,33.2,33.25,33.2,253420
2020-03-25 14:46:02+07:00,33.2,33.2,33.2,33.2,37380
2020-03-26 09:15:14+07:00,32.5,33.0,33.1,32.15,104870
2020-03-26 09:30:02+07:00,33.65,32.5,33.65,32.5,167710
2020-03-26 10:00:01+07:00,33.7,33.65,34.1,33.5,301780
2020-03-26 10:30:00+07:00,33.7,33.8,34.0,33.7,165680
2020-03-26 11:00:19+07:00,33.2,33.7,33.7,33.15,146560
2020-03-26 13:00:13+07:00,33.65,33.2,33.65,33.15,64410
2020-03-26 13:30:28+07:00,33.3,33.65,33.65,33.2,47270
2020-03-26 14:00:55+07:00,33.3,33.35,33.4,33.2,86460
2020-03-26 14:46:02+07:00,33.3,33.3,33.3,33.3,63840
2020-03-27 09:15:16+07:00,32.6,33.2,33.2,32.5,151330
2020-03-27 09:30:19+07:00,32.7,32.55,33.4,32.5,172640
2020-03-27 10:00:08+07:00,33.4,32.7,33.4,32.7,66670
2020-03-27 10:30:28+07:00,33.65,33.35,33.7,33.3,173250
2020-03-27 11:00:05+07:00,33.35,33.65,33.7,33.25,98950
2020-03-27 13:00:13+07:00,33.35,33.35,33.75,33.3,109430
2020-03-27 13:30:03+07:00,33.3,33.35,33.4,33.3,22570
