Date,Open,Close,High,Low,Volumn
2016-03-29 07:00:00+07:00,15.12,14.86,15.3,14.86,2291410
2016-04-01 07:00:00+07:00,14.95,15.57,16.01,13.79,27454340
2016-05-04 07:00:00+07:00,15.39,16.19,17.17,15.12,42398490
2016-06-01 07:00:00+07:00,16.01,15.57,16.9,15.03,25567500
2016-07-01 07:00:00+07:00,15.48,15.66,16.99,15.21,33100700
2016-08-01 07:00:00+07:00,15.84,14.59,15.84,14.32,24083860
2016-09-01 07:00:00+07:00,14.59,15.12,15.44,13.83,24349290
2016-10-03 07:00:00+07:00,15.12,14.86,15.92,14.59,36853390
2016-11-01 07:00:00+07:00,14.86,14.33,15.32,13.87,30076350
2016-12-01 07:00:00+07:00,14.43,13.3,14.43,13.12,37259980
2017-01-03 07:00:00+07:00,13.44,15.83,16.21,13.44,69828960
2017-02-02 07:00:00+07:00,15.83,15.41,16.44,15.32,58352570
2017-03-01 07:00:00+07:00,15.41,16.44,17.0,14.8,88991610
2017-04-03 07:00:00+07:00,16.35,15.55,16.44,15.13,56635230
2017-05-03 07:00:00+07:00,15.55,17.29,18.55,15.27,114588090
2017-06-01 07:00:00+07:00,17.33,19.11,19.3,16.82,108430780
2017-07-03 07:00:00+07:00,19.11,20.8,20.94,17.52,72789640
2017-08-01 07:00:00+07:00,20.61,20.01,21.55,18.18,71198450
2017-09-01 07:00:00+07:00,20.4,18.95,20.88,18.95,37180750
2017-10-02 07:00:00+07:00,18.95,21.12,21.56,18.95,49198960
2017-11-01 07:00:00+07:00,21.12,24.8,25.62,20.79,47545440
2017-12-01 07:00:00+07:00,24.75,24.65,25.33,21.61,28933560
2018-01-02 07:00:00+07:00,24.65,33.06,36.01,24.36,65360980
2018-02-01 07:00:00+07:00,33.35,37.71,38.19,28.23,39369680
2018-03-01 07:00:00+07:00,37.32,41.96,45.05,34.03,49403580
2018-04-02 07:00:00+07:00,42.35,34.9,45.25,34.32,44191180
2018-05-02 07:00:00+07:00,35.48,28.28,35.72,24.94,53368060
2018-06-01 07:00:00+07:00,28.04,25.14,31.13,24.56,61090790
2018-07-02 07:00:00+07:00,24.65,25.43,26.06,20.16,81885570
2018-08-01 07:00:00+07:00,25.43,33.26,33.84,24.46,80595030
2018-09-04 07:00:00+07:00,32.87,34.03,34.76,31.08,54353630
2018-10-01 07:00:00+07:00,34.03,28.52,35.58,26.68,64156440
2018-11-01 07:00:00+07:00,30.41,30.36,32.39,28.91,40266660
2018-12-03 07:00:00+07:00,30.94,33.26,33.79,30.65,36149840
2019-01-02 07:00:00+07:00,33.26,30.46,33.26,29.78,15338870
2019-02-01 07:00:00+07:00,30.41,31.42,33.74,30.36,20480590
2019-03-01 07:00:00+07:00,31.52,34.61,36.35,31.52,43705540
2019-04-01 07:00:00+07:00,34.61,33.65,35.1,32.82,17987360
2019-05-02 07:00:00+07:00,33.84,30.46,33.84,29.97,22553740
2019-06-03 07:00:00+07:00,30.36,30.65,31.9,29.54,13652060
2019-07-01 07:00:00+07:00,31.13,34.32,34.76,30.94,32511550
2019-08-01 07:00:00+07:00,34.32,37.46,37.51,32.92,29902990
2019-09-03 07:00:00+07:00,37.51,38.09,39.88,36.3,24842650
2019-10-01 07:00:00+07:00,38.09,39.25,40.56,38.0,21407180
2019-11-01 07:00:00+07:00,39.16,40.5,43.0,38.96,18558130
2019-12-02 07:00:00+07:00,40.3,46.15,47.15,39.0,17026670
2020-01-02 07:00:00+07:00,46.0,51.5,55.8,45.2,15444090
2020-02-03 07:00:00+07:00,49.8,45.5,55.2,45.0,20166190
2020-03-02 07:00:00+07:00,45.9,33.0,47.75,30.6,26598030
