Date,Close,Open,High,Low,Volumn
2020-03-20 09:15:17+07:00,3.55,3.56,3.61,3.53,2825710
2020-03-20 10:00:22+07:00,3.56,3.55,3.58,3.54,1164950
2020-03-20 11:00:18+07:00,3.54,3.56,3.57,3.53,800980
2020-03-20 13:00:18+07:00,3.52,3.54,3.55,3.45,3114650
2020-03-20 14:00:32+07:00,3.5,3.52,3.53,3.5,1270730
2020-03-23 09:15:27+07:00,3.3,3.33,3.4,3.26,5784900
2020-03-23 10:00:37+07:00,3.31,3.3,3.31,3.26,4149920
2020-03-23 11:00:19+07:00,3.28,3.3,3.31,3.27,1363010
2020-03-23 13:00:19+07:00,3.26,3.26,3.26,3.26,2890980
2020-03-23 14:00:23+07:00,3.26,3.26,3.26,3.26,361730
2020-03-24 09:15:09+07:00,3.18,3.35,3.35,3.05,6334300
2020-03-24 10:00:16+07:00,3.21,3.18,3.23,3.13,1350170
2020-03-24 11:00:50+07:00,3.12,3.21,3.21,3.12,728640
2020-03-24 13:00:19+07:00,3.16,3.11,3.19,3.11,1376740
2020-03-24 14:00:02+07:00,3.14,3.16,3.18,3.14,1255580
2020-03-25 09:15:11+07:00,3.21,3.25,3.27,3.2,2004130
2020-03-25 10:00:03+07:00,3.19,3.21,3.24,3.18,1208630
2020-03-25 11:00:03+07:00,3.21,3.19,3.23,3.19,314230
2020-03-25 13:00:19+07:00,3.27,3.21,3.28,3.21,1991230
2020-03-25 14:01:14+07:00,3.28,3.26,3.28,3.26,881730
2020-03-26 09:15:18+07:00,3.2,3.23,3.23,3.14,1358740
2020-03-26 10:00:14+07:00,3.19,3.2,3.21,3.18,1150520
2020-03-26 11:00:07+07:00,3.18,3.19,3.19,3.16,825820
2020-03-26 13:00:18+07:00,3.14,3.16,3.16,3.12,814400
2020-03-27 09:15:20+07:00,2.98,3.06,3.07,2.87,3564420
2020-03-27 10:00:09+07:00,2.95,2.98,3.0,2.93,1463420
2020-03-27 11:00:02+07:00,2.95,2.95,2.96,2.93,921390
