Date,Close,Open,High,Low,Volumn
2016-10-18 07:00:00+07:00,5.16,5.36,5.39,5.16,20557080
2016-10-19 07:00:00+07:00,5.2,5.17,5.31,5.03,14759790
2016-10-20 07:00:00+07:00,5.42,5.2,5.54,5.16,19961460
2016-10-21 07:00:00+07:00,5.48,5.45,5.59,5.42,13690230
2016-10-24 07:00:00+07:00,5.31,5.46,5.48,5.31,9812330
2016-10-25 07:00:00+07:00,5.26,5.27,5.42,5.21,11187540
2016-10-26 07:00:00+07:00,5.21,5.29,5.31,5.21,7498770
2016-10-27 07:00:00+07:00,5.18,5.24,5.28,5.18,5566640
2016-10-28 07:00:00+07:00,5.54,5.24,5.54,5.18,14939660
2016-10-31 07:00:00+07:00,5.77,5.93,5.93,5.77,30209100
2016-11-01 07:00:00+07:00,6.03,5.72,6.1,5.72,22086990
2016-11-02 07:00:00+07:00,6.03,5.89,6.1,5.82,42912390
2016-11-03 07:00:00+07:00,5.7,5.87,5.96,5.7,17824130
2016-11-04 07:00:00+07:00,5.64,5.7,5.89,5.57,11334120
2016-11-07 07:00:00+07:00,5.67,5.64,5.72,5.64,9716740
2016-11-08 07:00:00+07:00,5.69,5.72,5.74,5.66,6736320
2016-11-09 07:00:00+07:00,5.42,5.67,5.69,5.3,21354730
2016-11-10 07:00:00+07:00,5.79,5.58,5.79,5.54,15703410
2016-11-11 07:00:00+07:00,6.02,5.93,6.17,5.87,23536070
2016-11-14 07:00:00+07:00,6.02,6.02,6.23,5.95,25736660
2016-11-15 07:00:00+07:00,6.1,6.06,6.17,6.04,12135470
2016-11-16 07:00:00+07:00,6.06,6.18,6.21,6.06,13894790
2016-11-17 07:00:00+07:00,5.9,6.06,6.09,5.86,17131570
2016-11-18 07:00:00+07:00,5.93,5.93,6.02,5.88,8146020
2016-11-21 07:00:00+07:00,5.87,5.89,5.96,5.8,11264360
2016-11-22 07:00:00+07:00,5.84,5.85,5.9,5.8,10856030
2016-11-23 07:00:00+07:00,5.88,5.85,5.96,5.85,8585700
2016-11-24 07:00:00+07:00,5.6,5.88,5.91,5.56,18819680
2016-11-25 07:00:00+07:00,5.35,5.63,5.68,5.35,19384030
2016-11-28 07:00:00+07:00,5.29,5.37,5.4,5.26,8583580
2016-11-29 07:00:00+07:00,5.3,5.31,5.46,5.28,14272320
2016-11-30 07:00:00+07:00,5.07,5.36,5.36,5.05,16940900
2016-12-01 07:00:00+07:00,4.9,5.16,5.16,4.9,11195250
2016-12-02 07:00:00+07:00,4.77,4.9,4.91,4.72,12266660
2016-12-05 07:00:00+07:00,4.86,4.74,4.87,4.74,8454860
2016-12-06 07:00:00+07:00,4.52,4.88,4.89,4.52,12337680
2016-12-07 07:00:00+07:00,4.83,4.43,4.83,4.41,11620550
2016-12-08 07:00:00+07:00,4.88,5.07,5.11,4.88,10195800
2016-12-09 07:00:00+07:00,4.71,4.88,4.94,4.69,8236520
2016-12-12 07:00:00+07:00,4.38,4.64,4.7,4.38,12076010
2016-12-13 07:00:00+07:00,4.08,4.3,4.34,4.08,16170100
2016-12-14 07:00:00+07:00,4.37,4.15,4.37,4.15,12071160
2016-12-15 07:00:00+07:00,4.28,4.43,4.46,4.27,7083210
2016-12-16 07:00:00+07:00,4.31,4.28,4.36,4.27,5243600
2016-12-19 07:00:00+07:00,4.44,4.32,4.47,4.32,4931920
2016-12-20 07:00:00+07:00,4.36,4.42,4.46,4.36,5534970
2016-12-21 07:00:00+07:00,4.35,4.38,4.41,4.35,2741130
2016-12-22 07:00:00+07:00,4.21,4.37,4.37,4.19,5377360
2016-12-23 07:00:00+07:00,4.21,4.24,4.27,4.17,2753870
2016-12-26 07:00:00+07:00,4.21,4.28,4.28,4.21,2885110
2016-12-27 07:00:00+07:00,4.23,4.22,4.3,4.21,3373190
2016-12-28 07:00:00+07:00,4.52,4.28,4.52,4.26,9440330
2016-12-29 07:00:00+07:00,4.41,4.6,4.68,4.41,10777550
2016-12-30 07:00:00+07:00,4.47,4.43,4.5,4.4,5306050
2017-01-03 07:00:00+07:00,4.5,4.5,4.55,4.46,4809820
2017-01-04 07:00:00+07:00,4.41,4.5,4.5,4.4,4806460
2017-01-05 07:00:00+07:00,4.4,4.4,4.47,4.37,4960340
2017-01-06 07:00:00+07:00,4.42,4.4,4.45,4.4,3875490
2017-01-09 07:00:00+07:00,4.38,4.42,4.43,4.36,5412240
2017-01-10 07:00:00+07:00,4.42,4.4,4.44,4.38,3989240
2017-01-11 07:00:00+07:00,4.39,4.42,4.43,4.39,2012580
2017-01-12 07:00:00+07:00,4.37,4.38,4.41,4.35,3718480
2017-01-13 07:00:00+07:00,4.37,4.37,4.38,4.33,3834050
2017-01-16 07:00:00+07:00,4.26,4.38,4.38,4.26,4071360
2017-01-17 07:00:00+07:00,4.26,4.24,4.32,4.24,3871340
2017-01-18 07:00:00+07:00,4.28,4.26,4.31,4.26,1775220
2017-01-19 07:00:00+07:00,4.26,4.28,4.29,4.25,2501050
2017-01-20 07:00:00+07:00,4.29,4.26,4.37,4.24,3749750
2017-01-23 07:00:00+07:00,4.34,4.32,4.36,4.31,2790340
2017-01-24 07:00:00+07:00,4.42,4.38,4.46,4.34,6427980
2017-01-25 07:00:00+07:00,4.43,4.44,4.47,4.38,6142400
2017-02-02 07:00:00+07:00,4.43,4.45,4.45,4.39,4787610
2017-02-03 07:00:00+07:00,4.74,4.43,4.74,4.43,18790120
2017-02-06 07:00:00+07:00,4.94,4.81,5.02,4.75,14951170
2017-02-07 07:00:00+07:00,4.88,4.9,5.02,4.88,12696190
2017-02-08 07:00:00+07:00,4.74,4.82,4.88,4.7,16124980
2017-02-09 07:00:00+07:00,4.74,4.75,4.84,4.72,7771690
2017-02-10 07:00:00+07:00,4.8,4.74,4.84,4.71,10723910
2017-02-13 07:00:00+07:00,5.14,4.96,5.14,4.92,21007560
2017-02-14 07:00:00+07:00,5.2,5.23,5.32,5.14,18812150
2017-02-15 07:00:00+07:00,5.19,5.2,5.23,5.15,9740530
2017-02-16 07:00:00+07:00,5.25,5.22,5.53,5.21,19257140
2017-02-17 07:00:00+07:00,5.37,5.3,5.41,5.26,14897100
2017-02-20 07:00:00+07:00,5.74,5.45,5.74,5.42,24113890
2017-02-21 07:00:00+07:00,5.88,5.86,6.12,5.82,27413710
2017-02-22 07:00:00+07:00,6.02,5.96,6.05,5.78,27204170
2017-02-23 07:00:00+07:00,6.4,6.09,6.4,6.06,34472920
2017-02-24 07:00:00+07:00,6.7,6.52,6.85,6.49,44426080
2017-02-27 07:00:00+07:00,6.96,6.58,6.99,6.36,28281860
2017-02-28 07:00:00+07:00,7.02,7.05,7.29,7.02,26208580
2017-03-01 07:00:00+07:00,6.62,6.92,7.18,6.62,45383210
2017-03-02 07:00:00+07:00,6.19,6.7,6.78,6.19,42880940
2017-03-03 07:00:00+07:00,5.93,6.16,6.31,5.88,31280110
2017-03-06 07:00:00+07:00,6.34,6.1,6.34,6.02,17606550
2017-03-07 07:00:00+07:00,6.78,6.53,6.78,6.53,42440130
2017-03-08 07:00:00+07:00,7.03,6.88,7.13,6.77,43645810
2017-03-09 07:00:00+07:00,6.58,7.13,7.14,6.58,32625000
2017-03-10 07:00:00+07:00,6.83,6.65,6.91,6.6,42523250
2017-03-13 07:00:00+07:00,6.6,6.83,6.84,6.59,15989680
2017-03-14 07:00:00+07:00,6.62,6.49,6.7,6.48,17042450
2017-03-15 07:00:00+07:00,6.59,6.64,6.75,6.58,15048060
2017-03-16 07:00:00+07:00,6.55,6.52,6.61,6.43,20582660
2017-03-17 07:00:00+07:00,6.58,6.69,6.79,6.51,21915530
2017-03-20 07:00:00+07:00,6.63,6.69,6.74,6.63,11742790
2017-03-21 07:00:00+07:00,7.08,6.66,7.08,6.65,35810600
2017-03-22 07:00:00+07:00,7.08,7.3,7.51,7.07,54193180
2017-03-23 07:00:00+07:00,7.05,7.08,7.25,7.01,22624550
2017-03-24 07:00:00+07:00,7.0,7.11,7.18,6.91,23512300
2017-03-27 07:00:00+07:00,7.13,7.05,7.25,7.03,27613620
2017-03-28 07:00:00+07:00,7.21,7.26,7.33,7.15,15647340
2017-03-29 07:00:00+07:00,7.06,7.22,7.23,7.05,15064240
2017-03-30 07:00:00+07:00,6.99,7.08,7.12,6.97,12936970
2017-03-31 07:00:00+07:00,7.01,6.8,7.03,6.74,46220650
2017-04-03 07:00:00+07:00,7.17,7.08,7.24,7.04,17025130
2017-04-04 07:00:00+07:00,7.23,7.25,7.26,7.12,19332270
2017-04-05 07:00:00+07:00,7.08,7.21,7.27,7.07,30713450
2017-04-07 07:00:00+07:00,6.99,7.12,7.12,6.96,15103330
2017-04-10 07:00:00+07:00,7.01,7.11,7.13,7.01,10091310
2017-04-11 07:00:00+07:00,6.88,7.1,7.12,6.84,26707680
2017-04-12 07:00:00+07:00,6.5,6.88,6.95,6.49,30705220
2017-04-13 07:00:00+07:00,6.28,6.5,6.53,6.2,28391150
2017-04-14 07:00:00+07:00,6.52,6.24,6.58,6.02,27571490
2017-04-17 07:00:00+07:00,6.49,6.55,6.76,6.49,16132980
2017-04-18 07:00:00+07:00,6.7,6.47,6.7,6.41,21770760
2017-04-19 07:00:00+07:00,6.44,6.69,6.7,6.44,19433380
2017-04-20 07:00:00+07:00,6.46,6.37,6.52,6.3,12059620
2017-04-21 07:00:00+07:00,6.57,6.52,6.68,6.49,19179990
2017-04-24 07:00:00+07:00,6.45,6.73,6.73,6.45,11745680
2017-04-25 07:00:00+07:00,6.45,6.45,6.52,6.4,11654300
