Date,Open,High,Low,Close,Volumn
2019-01-02 09:15:00+07:00,41.8,42.15,41.8,42.15,87940
2019-01-02 09:20:00+07:00,42.15,42.15,42.0,42.0,3130
2019-01-02 09:25:00+07:00,42.1,42.1,42.0,42.1,3940
2019-01-02 09:30:00+07:00,42.1,42.1,42.0,42.1,2230
2019-01-02 09:35:00+07:00,42.1,42.15,42.1,42.15,3830
2019-01-02 09:40:00+07:00,42.1,42.1,42.0,42.1,2480
2019-01-02 09:45:00+07:00,42.0,42.0,42.0,42.0,19710
2019-01-02 09:50:00+07:00,41.95,41.95,41.95,41.95,500
2019-01-02 09:55:00+07:00,42.0,42.0,41.9,41.9,3510
2019-01-02 10:00:00+07:00,41.9,41.9,41.85,41.9,1430
2019-01-02 10:05:00+07:00,41.85,41.85,41.8,41.85,1730
2019-01-02 10:10:00+07:00,41.85,41.85,41.85,41.85,460
2019-01-02 10:15:00+07:00,41.9,41.9,41.85,41.85,2750
2019-01-02 10:20:00+07:00,41.8,41.85,41.8,41.85,2320
2019-01-02 10:30:00+07:00,41.9,41.9,41.9,41.9,100
2019-01-02 10:35:00+07:00,41.9,41.9,41.8,41.9,33980
2019-01-02 10:40:00+07:00,41.9,41.9,41.9,41.9,920
2019-01-02 10:45:00+07:00,41.9,41.9,41.9,41.9,1730
2019-01-02 10:50:00+07:00,41.95,42.1,41.95,42.1,6530
2019-01-02 10:55:00+07:00,42.0,42.0,42.0,42.0,610
2019-01-02 11:00:00+07:00,42.0,42.1,41.9,41.9,6650
2019-01-02 11:05:00+07:00,41.9,41.9,41.9,41.9,240
2019-01-02 11:10:00+07:00,42.0,42.0,42.0,42.0,1100
2019-01-02 11:15:00+07:00,41.9,41.9,41.9,41.9,3000
2019-01-02 11:20:00+07:00,41.9,41.95,41.9,41.95,20
2019-01-02 11:25:00+07:00,41.9,42.0,41.8,42.0,6710
2019-01-02 13:00:00+07:00,42.0,42.0,42.0,42.0,30
2019-01-02 13:05:00+07:00,42.0,42.0,42.0,42.0,280
2019-01-02 13:10:00+07:00,42.0,42.0,42.0,42.0,650
2019-01-02 13:15:00+07:00,42.0,42.0,41.8,41.8,11450
2019-01-02 13:25:00+07:00,41.8,41.9,41.8,41.9,13960
2019-01-02 13:30:00+07:00,41.8,41.8,41.8,41.8,5130
2019-01-02 13:40:00+07:00,41.8,41.9,41.8,41.9,4480
2019-01-02 13:45:00+07:00,41.85,41.9,41.8,41.8,6620
2019-01-02 13:50:00+07:00,41.8,41.8,41.75,41.8,21360
2019-01-02 13:55:00+07:00,41.75,41.8,41.75,41.8,140
2019-01-02 14:00:00+07:00,41.75,41.75,41.65,41.65,22380
2019-01-02 14:05:00+07:00,41.7,41.7,41.6,41.6,18680
2019-01-02 14:10:00+07:00,41.6,41.6,41.55,41.55,5170
2019-01-02 14:15:00+07:00,41.6,41.6,41.6,41.6,2000
2019-01-02 14:20:00+07:00,41.55,41.55,41.5,41.5,52960
2019-01-02 14:25:00+07:00,41.5,41.5,41.15,41.3,31420
2019-01-02 14:45:00+07:00,41.2,41.2,41.2,41.2,64860
2019-01-03 09:15:00+07:00,41.45,41.45,41.2,41.2,29170
2019-01-03 09:20:00+07:00,41.2,41.2,41.2,41.2,8010
2019-01-03 09:25:00+07:00,41.2,41.35,41.1,41.1,17450
2019-01-03 09:30:00+07:00,41.2,41.2,41.2,41.2,2030
2019-01-03 09:35:00+07:00,41.2,41.2,41.1,41.1,4010
2019-01-03 09:40:00+07:00,41.2,41.2,41.2,41.2,3020
2019-01-03 09:45:00+07:00,41.2,41.2,41.1,41.1,5050
2019-01-03 09:50:00+07:00,41.1,41.15,41.1,41.15,7140
2019-01-03 09:55:00+07:00,41.15,41.15,41.1,41.15,23440
2019-01-03 10:00:00+07:00,41.1,41.35,41.1,41.2,16310
2019-01-03 10:05:00+07:00,41.2,41.2,41.2,41.2,8380
