Date,Close,Open,High,Low,Volumn
2016-03-29 07:00:00+07:00,23.85,24.1,24.1,23.8,731100
2016-03-30 07:00:00+07:00,23.85,23.85,24.05,23.7,595920
2016-03-31 07:00:00+07:00,23.65,23.85,24.1,23.65,623130
2016-04-01 07:00:00+07:00,23.5,23.65,23.7,23.45,530180
2016-04-04 07:00:00+07:00,23.5,23.45,23.6,23.45,370410
2016-04-05 07:00:00+07:00,23.6,23.5,23.7,23.45,286440
2016-04-06 07:00:00+07:00,23.8,23.6,23.8,23.55,288080
2016-04-07 07:00:00+07:00,24.0,23.85,24.05,23.8,485800
2016-04-08 07:00:00+07:00,23.9,23.9,24.1,23.9,312220
2016-04-11 07:00:00+07:00,24.05,24.0,24.2,23.85,814800
2016-04-12 07:00:00+07:00,23.95,24.1,24.1,23.85,393630
2016-04-13 07:00:00+07:00,23.9,23.9,24.0,23.85,568090
2016-04-14 07:00:00+07:00,23.85,23.85,24.0,23.85,572360
2016-04-15 07:00:00+07:00,23.7,23.9,23.95,23.7,712110
2016-04-19 07:00:00+07:00,23.6,23.7,23.85,23.6,545970
2016-04-20 07:00:00+07:00,23.65,23.6,23.7,23.55,878290
2016-04-21 07:00:00+07:00,23.75,23.75,23.85,23.65,496340
2016-04-22 07:00:00+07:00,24.0,23.75,24.0,23.65,829700
2016-04-25 07:00:00+07:00,24.05,24.1,24.25,24.0,562230
2016-04-26 07:00:00+07:00,24.05,24.05,24.1,23.85,333520
2016-04-27 07:00:00+07:00,23.95,24.1,24.15,23.85,593060
2016-04-28 07:00:00+07:00,24.3,24.1,24.75,23.95,3007080
2016-04-29 07:00:00+07:00,24.4,24.3,24.45,24.25,614320
2016-05-04 07:00:00+07:00,24.15,24.2,24.25,23.95,771190
2016-05-05 07:00:00+07:00,24.0,24.05,24.3,24.0,908780
2016-05-06 07:00:00+07:00,23.85,24.0,24.1,23.85,693360
2016-05-09 07:00:00+07:00,23.7,23.9,24.0,23.7,605810
2016-05-10 07:00:00+07:00,23.75,23.65,23.85,23.6,465650
2016-05-11 07:00:00+07:00,23.95,23.95,24.0,23.75,290200
2016-05-12 07:00:00+07:00,23.8,24.05,24.05,23.8,412430
2016-05-13 07:00:00+07:00,23.8,23.85,23.9,23.7,393240
2016-05-16 07:00:00+07:00,23.75,23.8,23.85,23.7,310390
2016-05-17 07:00:00+07:00,23.9,23.8,24.0,23.75,354380
2016-05-18 07:00:00+07:00,23.95,24.1,24.3,23.95,692880
2016-05-19 07:00:00+07:00,23.95,24.1,24.1,23.9,186020
2016-05-20 07:00:00+07:00,24.05,23.95,24.05,23.95,485060
2016-05-23 07:00:00+07:00,24.0,24.25,24.25,24.0,345150
2016-05-24 07:00:00+07:00,23.95,24.05,24.1,23.95,369180
2016-05-25 07:00:00+07:00,23.95,24.0,24.05,23.9,598370
2016-05-26 07:00:00+07:00,23.85,24.0,24.05,23.85,1328870
2016-05-27 07:00:00+07:00,24.18,24.06,24.24,23.83,543580
2016-05-30 07:00:00+07:00,24.24,24.18,24.42,24.18,447160
2016-05-31 07:00:00+07:00,24.06,24.3,24.3,24.06,589350
2016-06-01 07:00:00+07:00,24.06,24.18,24.18,24.06,519620
2016-06-02 07:00:00+07:00,24.06,24.18,24.18,24.0,318100
2016-06-03 07:00:00+07:00,24.0,24.12,24.12,23.94,400290
2016-06-06 07:00:00+07:00,23.83,24.0,24.0,23.71,754110
2016-06-07 07:00:00+07:00,23.88,23.94,23.94,23.71,559610
2016-06-08 07:00:00+07:00,24.0,23.88,24.0,23.83,516630
2016-06-09 07:00:00+07:00,23.88,24.0,24.0,23.88,325390
2016-06-10 07:00:00+07:00,23.88,23.83,23.94,23.83,475190
2016-06-13 07:00:00+07:00,23.83,23.88,23.88,23.83,237230
2016-06-14 07:00:00+07:00,23.88,23.77,23.88,23.77,242560
2016-06-15 07:00:00+07:00,23.77,23.88,23.88,23.71,414560
2016-06-16 07:00:00+07:00,23.83,23.88,23.94,23.77,359320
2016-06-17 07:00:00+07:00,23.83,23.83,23.88,23.77,206120
2016-06-20 07:00:00+07:00,25.18,23.88,25.3,23.83,1877120
2016-06-21 07:00:00+07:00,25.18,25.3,25.83,25.12,1442710
2016-06-22 07:00:00+07:00,25.01,25.07,25.3,25.01,300480
2016-06-23 07:00:00+07:00,24.71,24.95,25.01,24.71,826170
2016-06-24 07:00:00+07:00,24.12,24.59,24.59,23.06,2562810
2016-06-27 07:00:00+07:00,24.3,24.12,24.42,23.71,587560
2016-06-28 07:00:00+07:00,24.3,24.3,24.42,24.18,328400
2016-06-29 07:00:00+07:00,24.77,24.24,25.07,24.24,1250570
2016-06-30 07:00:00+07:00,24.65,25.07,25.12,24.65,669690
2016-07-01 07:00:00+07:00,24.71,24.77,24.95,24.65,579110
2016-07-04 07:00:00+07:00,25.07,24.77,25.18,24.77,863920
2016-07-05 07:00:00+07:00,24.89,25.07,25.18,24.89,791050
2016-07-06 07:00:00+07:00,24.95,24.83,25.07,24.71,602040
2016-07-07 07:00:00+07:00,25.54,25.18,25.89,25.01,1592870
2016-07-08 07:00:00+07:00,25.71,25.6,26.18,25.6,1594930
