Date,Close,Open,High,Low,Volumn
2019-07-11 07:00:00+07:00,14.4,14.4,14.4,14.4,1305500
2019-07-12 07:00:00+07:00,15.4,15.4,15.4,15.35,1326000
2019-07-15 07:00:00+07:00,16.45,16.45,16.45,16.4,1031350
2019-07-16 07:00:00+07:00,15.3,15.35,15.8,15.3,504010
2019-07-17 07:00:00+07:00,14.25,14.25,14.25,14.25,29340
2019-07-18 07:00:00+07:00,13.3,13.3,13.3,13.3,8980
2019-07-19 07:00:00+07:00,12.4,12.4,12.4,12.4,42520
2019-07-22 07:00:00+07:00,11.55,11.55,11.55,11.55,180280
2019-07-23 07:00:00+07:00,11.0,10.75,11.5,10.75,1431110
2019-07-24 07:00:00+07:00,10.25,11.0,11.7,10.25,396700
2019-07-25 07:00:00+07:00,10.3,9.61,10.3,9.58,338650
2019-07-26 07:00:00+07:00,9.58,9.8,9.89,9.58,394470
2019-07-29 07:00:00+07:00,8.91,8.92,8.94,8.91,183100
2019-07-30 07:00:00+07:00,8.29,8.29,8.86,8.29,671050
2019-07-31 07:00:00+07:00,8.87,8.29,8.87,8.29,222070
2019-08-01 07:00:00+07:00,9.49,9.28,9.49,9.28,253790
2019-08-02 07:00:00+07:00,9.55,10.1,10.15,9.4,384230
2019-08-05 07:00:00+07:00,10.2,10.2,10.2,9.8,255240
2019-08-06 07:00:00+07:00,10.9,10.8,10.9,10.3,118850
2019-08-07 07:00:00+07:00,11.65,11.65,11.65,11.5,110250
2019-08-08 07:00:00+07:00,12.45,12.4,12.45,11.7,339980
2019-08-09 07:00:00+07:00,13.3,13.3,13.3,13.3,231980
2019-08-12 07:00:00+07:00,14.2,14.2,14.2,13.9,141360
2019-08-13 07:00:00+07:00,15.15,15.15,15.15,15.15,318490
2019-08-14 07:00:00+07:00,14.1,16.2,16.2,14.1,746820
2019-08-15 07:00:00+07:00,15.05,13.15,15.05,13.15,489240
2019-08-16 07:00:00+07:00,16.1,16.1,16.1,14.05,475980
2019-08-19 07:00:00+07:00,16.2,16.2,17.1,16.1,144100
2019-08-20 07:00:00+07:00,16.1,15.25,16.85,15.2,145560
2019-08-21 07:00:00+07:00,15.0,16.2,16.2,15.0,334230
2019-08-22 07:00:00+07:00,13.95,15.6,15.6,13.95,246960
2019-08-23 07:00:00+07:00,14.1,13.05,14.8,13.0,418240
2019-08-26 07:00:00+07:00,13.3,14.1,14.7,13.25,114060
2019-08-27 07:00:00+07:00,12.9,13.8,14.15,12.8,166090
2019-08-28 07:00:00+07:00,12.75,12.5,13.45,12.35,160640
2019-08-29 07:00:00+07:00,12.0,12.0,13.2,11.9,150310
