Date,Close,Open,High,Low,Volumn
2016-03-29 07:00:00+07:00,8.0,8.3,8.3,8.0,3202980
2016-03-30 07:00:00+07:00,8.1,8.0,8.2,8.0,2813820
2016-03-31 07:00:00+07:00,7.8,8.1,8.1,7.7,5684020
2016-04-01 07:00:00+07:00,7.7,7.8,7.9,7.6,3882560
2016-04-04 07:00:00+07:00,7.7,7.7,7.8,7.5,3164770
2016-04-05 07:00:00+07:00,7.8,7.6,7.8,7.5,2014150
2016-04-06 07:00:00+07:00,7.8,7.8,7.9,7.7,1757830
2016-04-07 07:00:00+07:00,7.7,7.8,7.9,7.6,1790190
2016-04-08 07:00:00+07:00,7.6,7.7,7.7,7.6,1747210
2016-04-11 07:00:00+07:00,7.4,7.6,7.7,7.4,3814640
2016-04-12 07:00:00+07:00,6.9,7.1,7.2,6.9,8947470
2016-04-13 07:00:00+07:00,6.7,6.5,6.9,6.5,8710280
2016-04-14 07:00:00+07:00,7.1,6.7,7.1,6.7,5745370
2016-04-15 07:00:00+07:00,6.9,7.2,7.2,6.9,2891620
2016-04-19 07:00:00+07:00,6.7,6.8,6.9,6.6,3314080
2016-04-20 07:00:00+07:00,6.7,6.7,6.8,6.6,2968590
2016-04-21 07:00:00+07:00,6.8,6.7,6.9,6.7,1657010
2016-04-22 07:00:00+07:00,7.0,6.8,7.0,6.7,2824490
2016-04-25 07:00:00+07:00,7.4,7.3,7.4,7.2,10176920
2016-04-26 07:00:00+07:00,7.9,7.7,7.9,7.6,7772800
2016-04-27 07:00:00+07:00,8.0,8.0,8.1,7.7,8241370
2016-04-28 07:00:00+07:00,7.9,7.9,8.0,7.7,5101910
2016-04-29 07:00:00+07:00,8.0,7.9,8.1,7.8,4477600
2016-05-04 07:00:00+07:00,7.5,7.9,7.9,7.5,6873730
2016-05-05 07:00:00+07:00,7.4,7.3,7.5,7.3,2929810
2016-05-06 07:00:00+07:00,7.5,7.4,7.6,7.3,1687740
2016-05-09 07:00:00+07:00,7.4,7.5,7.5,7.3,1542030
2016-05-10 07:00:00+07:00,7.4,7.3,7.4,7.2,1427350
2016-05-11 07:00:00+07:00,7.5,7.4,7.5,7.3,1166570
2016-05-12 07:00:00+07:00,7.5,7.5,7.6,7.4,981740
