Date,Open,Close,High,Low,Volumn
2016-03-28 07:00:00+07:00,8.2,7.8,8.3,7.7,14865310
2016-04-01 07:00:00+07:00,7.8,8.0,8.1,6.5,91000860
2016-05-04 07:00:00+07:00,7.9,7.8,8.9,7.2,52933030
2016-06-01 07:00:00+07:00,7.8,7.3,8.2,7.0,68080750
2016-07-01 07:00:00+07:00,7.3,6.4,7.5,6.3,50947890
2016-08-01 07:00:00+07:00,6.5,6.3,7.1,5.0,116386220
2016-09-01 07:00:00+07:00,6.2,5.25,6.2,4.93,64217000
2016-10-03 07:00:00+07:00,5.25,5.2,5.95,5.02,49393050
2016-11-01 07:00:00+07:00,5.1,5.91,6.58,4.95,85377020
2016-12-01 07:00:00+07:00,6.12,5.35,6.12,5.32,58979990
2017-01-03 07:00:00+07:00,5.38,5.6,5.9,4.9,77430060
2017-02-02 07:00:00+07:00,5.77,8.18,8.49,5.72,191544770
2017-03-01 07:00:00+07:00,8.0,9.15,10.35,7.67,209213490
2017-04-03 07:00:00+07:00,9.17,8.65,9.68,7.85,93704900
2017-05-03 07:00:00+07:00,8.61,8.7,9.57,8.2,116289770
2017-06-01 07:00:00+07:00,8.72,9.48,9.87,8.06,120844240
2017-07-03 07:00:00+07:00,9.49,9.41,9.7,8.72,82013120
2017-08-01 07:00:00+07:00,9.68,8.49,9.8,8.06,69439870
2017-09-01 07:00:00+07:00,8.5,8.4,8.96,8.16,46045840
2017-10-02 07:00:00+07:00,8.4,8.02,8.44,7.41,48364600
2017-11-01 07:00:00+07:00,8.02,7.73,8.18,7.0,85186550
2017-12-01 07:00:00+07:00,7.73,7.35,7.96,7.2,67674280
2018-01-02 07:00:00+07:00,7.35,8.2,8.73,7.23,195488870
2018-02-01 07:00:00+07:00,8.2,6.22,8.3,6.05,143826700
2018-03-01 07:00:00+07:00,6.22,6.61,7.59,6.19,141661850
2018-04-02 07:00:00+07:00,6.15,5.3,6.43,5.09,128570430
2018-05-02 07:00:00+07:00,5.15,4.46,5.4,4.27,67245030
2018-06-01 07:00:00+07:00,4.42,5.21,5.33,4.39,120389930
2018-07-02 07:00:00+07:00,5.28,7.62,8.09,4.72,270896590
2018-08-01 07:00:00+07:00,7.79,6.79,7.95,6.55,206751420
2018-09-04 07:00:00+07:00,6.73,6.13,6.91,5.76,103828300
2018-10-01 07:00:00+07:00,6.17,5.08,6.19,4.7,79958790
2018-11-01 07:00:00+07:00,5.18,5.15,5.65,4.95,61116670
2018-12-03 07:00:00+07:00,5.18,4.88,5.26,4.87,42888890
2019-01-02 07:00:00+07:00,4.89,5.0,5.25,4.57,43955100
2019-02-01 07:00:00+07:00,5.0,5.52,5.84,4.89,91055440
2019-03-01 07:00:00+07:00,5.52,5.56,6.29,5.2,125087340
2019-04-01 07:00:00+07:00,5.59,5.47,5.64,5.12,61948170
2019-05-02 07:00:00+07:00,5.48,5.07,5.49,5.04,43001940
2019-06-03 07:00:00+07:00,5.07,5.35,5.39,4.9,45523350
2019-07-01 07:00:00+07:00,5.42,5.08,5.75,5.04,85930360
2019-08-01 07:00:00+07:00,5.11,4.86,5.15,4.66,46975770
2019-09-03 07:00:00+07:00,4.86,4.49,4.87,4.46,28369620
2019-10-01 07:00:00+07:00,4.5,4.22,4.76,4.14,36237260
2019-11-01 07:00:00+07:00,4.24,3.85,4.33,3.85,25895250
2019-12-02 07:00:00+07:00,3.89,3.98,4.18,3.59,35905840
2020-01-02 07:00:00+07:00,3.96,3.64,4.19,3.64,26442940
2020-02-03 07:00:00+07:00,3.39,3.27,3.65,3.12,34665480
2020-03-02 07:00:00+07:00,3.26,2.68,3.6,2.6,56718620
