Date,Close,Open,High,Low,Volumn
2020-10-12 09:15:19+07:00,12.15,12.1,12.15,12.1,9290
2020-10-12 09:16:24+07:00,12.15,12.15,12.15,12.15,2000
2020-10-12 09:17:10+07:00,12.15,12.1,12.15,12.1,3110
2020-10-12 09:18:28+07:00,12.1,12.1,12.1,12.1,15320
2020-10-12 09:19:06+07:00,12.1,12.1,12.1,12.1,4400
2020-10-12 09:20:02+07:00,12.1,12.1,12.1,12.1,800
2020-10-12 09:21:02+07:00,12.05,12.05,12.05,12.05,2300
2020-10-12 09:22:17+07:00,12.05,12.05,12.05,12.05,690
2020-10-12 09:23:10+07:00,12.05,12.05,12.05,12.05,15590
2020-10-12 09:26:19+07:00,12.05,12.05,12.05,12.05,17730
2020-10-12 09:27:08+07:00,12.1,12.05,12.1,12.05,2200
2020-10-12 09:31:23+07:00,12.1,12.1,12.1,12.1,400
2020-10-12 09:32:40+07:00,12.05,12.05,12.05,12.05,10
2020-10-12 09:33:48+07:00,12.05,12.05,12.05,12.05,3500
2020-10-12 09:34:17+07:00,12.05,12.05,12.05,12.05,10690
2020-10-12 09:35:32+07:00,12.0,12.05,12.05,12.0,10310
2020-10-12 09:36:24+07:00,12.05,12.05,12.05,12.0,19000
2020-10-12 09:37:48+07:00,12.05,12.05,12.05,12.05,10
2020-10-12 09:38:18+07:00,12.05,12.05,12.05,12.05,5000
2020-10-12 09:40:04+07:00,12.05,12.05,12.05,12.05,10150
2020-10-12 09:41:33+07:00,12.05,12.05,12.05,12.05,1000
2020-10-12 09:43:52+07:00,12.05,12.05,12.05,12.05,1000
2020-10-12 09:44:02+07:00,12.05,12.05,12.05,12.05,2300
2020-10-12 09:45:26+07:00,12.05,12.05,12.05,12.05,10
2020-10-12 09:46:17+07:00,12.0,12.0,12.0,12.0,52000
2020-10-12 09:47:15+07:00,12.05,12.0,12.05,12.0,60600
2020-10-12 09:49:28+07:00,12.0,12.0,12.0,12.0,1000
2020-10-12 09:53:48+07:00,12.0,12.0,12.0,12.0,5000
2020-10-12 09:54:05+07:00,12.0,12.0,12.0,12.0,1830
2020-10-12 09:55:22+07:00,12.0,12.05,12.05,12.0,1960
2020-10-12 09:56:28+07:00,12.0,12.0,12.0,12.0,1000
2020-10-12 09:58:00+07:00,12.0,12.0,12.0,12.0,800
2020-10-12 10:00:13+07:00,12.0,12.0,12.0,12.0,27600
2020-10-12 10:01:25+07:00,12.0,12.0,12.0,12.0,500
2020-10-12 10:02:38+07:00,12.0,12.0,12.0,12.0,500
2020-10-12 10:03:19+07:00,12.0,12.0,12.0,12.0,2000
2020-10-12 10:04:38+07:00,12.0,12.0,12.0,12.0,10000
2020-10-12 10:05:17+07:00,12.0,12.0,12.0,12.0,1050
2020-10-12 10:07:20+07:00,12.0,12.0,12.0,12.0,2520
2020-10-12 10:08:25+07:00,12.0,12.0,12.0,12.0,200
2020-10-12 10:09:35+07:00,11.95,11.95,11.95,11.95,10
2020-10-12 10:10:10+07:00,11.95,11.95,11.95,11.95,30100
2020-10-12 10:11:04+07:00,11.95,11.95,11.95,11.95,55200
2020-10-12 10:12:06+07:00,11.95,11.95,12.0,11.95,52500
2020-10-12 10:13:20+07:00,11.95,11.95,11.95,11.95,15300
2020-10-12 10:14:06+07:00,11.95,11.95,11.95,11.95,8000
2020-10-12 10:15:47+07:00,11.95,11.95,11.95,11.95,2000
2020-10-12 10:16:22+07:00,11.95,11.95,11.95,11.95,3270
2020-10-12 10:17:57+07:00,11.95,11.95,11.95,11.95,10000
2020-10-12 10:18:56+07:00,11.95,11.95,11.95,11.95,2420
2020-10-12 10:20:07+07:00,11.95,11.95,11.95,11.95,500
2020-10-12 10:21:10+07:00,11.95,11.95,11.95,11.95,50
2020-10-12 10:22:24+07:00,11.95,12.0,12.0,11.95,50200
2020-10-12 10:24:45+07:00,12.0,12.0,12.0,12.0,10
2020-10-12 10:25:07+07:00,12.0,11.95,12.0,11.95,3560
2020-10-12 10:28:43+07:00,12.0,12.0,12.0,12.0,2000
2020-10-12 10:30:35+07:00,12.0,12.0,12.0,12.0,8000
2020-10-12 10:31:47+07:00,11.95,12.0,12.0,11.95,5030
2020-10-12 10:32:54+07:00,11.95,11.95,11.95,11.95,50000
2020-10-12 10:33:20+07:00,12.0,12.0,12.0,12.0,40
2020-10-12 10:34:27+07:00,11.95,12.0,12.0,11.95,109140
2020-10-12 10:35:03+07:00,12.0,11.9,12.0,11.9,89750
2020-10-12 10:36:44+07:00,11.95,11.95,11.95,11.95,3000
2020-10-12 10:41:43+07:00,12.0,12.0,12.0,12.0,10000
2020-10-12 10:42:07+07:00,12.0,12.0,12.0,12.0,5000
2020-10-12 10:43:50+07:00,11.95,11.95,11.95,11.95,4190
2020-10-12 10:44:30+07:00,11.95,11.95,11.95,11.95,1300
2020-10-12 10:46:25+07:00,11.95,11.95,11.95,11.95,10000
2020-10-12 10:48:39+07:00,11.95,11.95,11.95,11.95,100000
2020-10-12 10:50:33+07:00,12.0,12.0,12.0,12.0,200
