Date,Close,Open,High,Low,Volumn
2016-03-29 07:00:00+07:00,8.4,8.6,8.8,8.4,3444910
2016-03-30 07:00:00+07:00,8.4,8.4,8.5,8.2,2131960
2016-03-31 07:00:00+07:00,8.0,8.4,8.4,7.9,4126150
2016-04-01 07:00:00+07:00,7.8,8.0,8.0,7.7,3061510
2016-04-04 07:00:00+07:00,7.7,7.9,7.9,7.5,2193030
2016-04-05 07:00:00+07:00,7.9,7.7,7.9,7.6,1335910
2016-04-06 07:00:00+07:00,7.8,7.9,8.0,7.8,1035700
2016-04-07 07:00:00+07:00,7.7,7.9,7.9,7.5,2535140
2016-04-08 07:00:00+07:00,7.7,7.6,7.8,7.6,723240
2016-04-11 07:00:00+07:00,7.4,7.7,7.8,7.4,1958910
2016-04-12 07:00:00+07:00,6.9,7.1,7.1,6.9,4440480
2016-04-13 07:00:00+07:00,6.6,6.5,6.8,6.5,3886730
2016-04-14 07:00:00+07:00,7.0,6.7,7.0,6.7,915560
2016-04-15 07:00:00+07:00,7.0,7.2,7.3,6.9,1422060
2016-04-19 07:00:00+07:00,6.8,6.8,6.9,6.7,1419830
2016-04-20 07:00:00+07:00,6.8,6.8,6.9,6.7,735350
2016-04-21 07:00:00+07:00,6.8,6.8,6.9,6.7,620220
2016-04-22 07:00:00+07:00,6.9,6.9,7.0,6.8,1190950
2016-04-25 07:00:00+07:00,7.3,7.2,7.3,7.2,810750
2016-04-26 07:00:00+07:00,7.8,7.8,7.8,7.7,2168750
2016-04-27 07:00:00+07:00,8.2,8.2,8.3,7.9,4127030
2016-04-28 07:00:00+07:00,8.2,8.1,8.3,8.0,3061040
2016-04-29 07:00:00+07:00,8.5,8.1,8.6,8.1,3071920
2016-05-04 07:00:00+07:00,8.0,8.3,8.4,8.0,3168270
2016-05-05 07:00:00+07:00,7.7,7.7,7.9,7.6,3346800
2016-05-06 07:00:00+07:00,7.8,7.7,7.9,7.6,1729550
2016-05-09 07:00:00+07:00,7.5,7.8,7.8,7.4,1907640
2016-05-10 07:00:00+07:00,7.5,7.2,7.5,7.1,1202200
2016-05-11 07:00:00+07:00,7.7,7.5,7.7,7.4,654140
2016-05-12 07:00:00+07:00,7.5,7.7,7.8,7.5,742550
2016-05-13 07:00:00+07:00,7.3,7.5,7.5,7.3,1210850
2016-05-16 07:00:00+07:00,7.3,7.4,7.5,7.3,591720
2016-05-17 07:00:00+07:00,7.8,7.8,7.8,7.8,220600
2016-05-18 07:00:00+07:00,8.3,8.3,8.3,8.3,225800
2016-05-19 07:00:00+07:00,8.4,8.8,8.8,8.3,6423120
2016-05-20 07:00:00+07:00,8.1,8.5,8.5,8.1,1858480
2016-05-23 07:00:00+07:00,8.2,8.2,8.4,8.1,750250
2016-05-24 07:00:00+07:00,8.1,8.2,8.4,8.0,1464390
2016-05-25 07:00:00+07:00,8.2,8.2,8.3,8.0,442940
2016-05-26 07:00:00+07:00,7.8,8.2,8.2,7.8,1949040
2016-05-27 07:00:00+07:00,8.2,7.9,8.3,7.9,2481150
2016-05-30 07:00:00+07:00,8.4,8.2,8.4,8.2,1603890
2016-05-31 07:00:00+07:00,8.1,8.4,8.4,8.1,2298300
2016-06-01 07:00:00+07:00,8.3,8.1,8.3,8.0,1627700
2016-06-02 07:00:00+07:00,8.6,8.3,8.8,8.2,3378670
2016-06-03 07:00:00+07:00,8.6,8.6,8.7,8.5,1560750
2016-06-06 07:00:00+07:00,8.7,8.5,9.0,8.5,4242800
2016-06-07 07:00:00+07:00,8.5,8.8,8.8,8.5,1808070
2016-06-08 07:00:00+07:00,8.9,8.6,8.9,8.6,2191040
2016-06-09 07:00:00+07:00,8.9,8.9,9.0,8.7,1181670
2016-06-10 07:00:00+07:00,8.9,8.8,9.0,8.8,1744570
2016-06-13 07:00:00+07:00,8.5,8.7,8.8,8.4,2816890
2016-06-14 07:00:00+07:00,8.6,8.4,8.6,8.3,1003930
2016-06-15 07:00:00+07:00,8.6,8.6,8.6,8.4,809150
2016-06-16 07:00:00+07:00,8.6,8.6,8.8,8.6,1480020
2016-06-17 07:00:00+07:00,8.5,8.6,8.6,8.4,1097560
2016-06-20 07:00:00+07:00,8.5,8.6,8.6,8.3,742240
2016-06-21 07:00:00+07:00,8.2,8.5,8.5,8.1,1766280
2016-06-22 07:00:00+07:00,8.1,8.2,8.3,8.1,721250
2016-06-23 07:00:00+07:00,8.4,8.1,8.6,8.1,1656910
2016-06-24 07:00:00+07:00,8.2,8.4,8.5,7.9,4565510
2016-06-27 07:00:00+07:00,8.1,8.1,8.1,7.9,700090
2016-06-28 07:00:00+07:00,8.0,8.0,8.1,7.8,1096020
2016-06-29 07:00:00+07:00,8.0,8.1,8.3,8.0,1670760
2016-06-30 07:00:00+07:00,8.1,8.2,8.3,8.0,1945660
2016-07-01 07:00:00+07:00,8.1,8.1,8.2,8.0,554230
2016-07-04 07:00:00+07:00,8.1,8.1,8.2,8.0,944440
2016-07-05 07:00:00+07:00,8.0,8.1,8.2,8.0,1021870
2016-07-06 07:00:00+07:00,8.0,8.0,8.1,7.9,1019460
2016-07-07 07:00:00+07:00,8.0,7.9,8.0,7.8,1194580
2016-07-08 07:00:00+07:00,7.7,7.9,7.9,7.7,980530
2016-07-11 07:00:00+07:00,7.2,7.7,7.7,7.2,4974570
