Date,Close,Open,High,Low,Volumn
2020-03-20 09:15:06+07:00,19.25,19.25,19.3,19.25,1084670
2020-03-20 09:30:00+07:00,19.1,19.25,19.25,19.05,1630390
2020-03-20 10:00:26+07:00,19.1,19.1,19.2,19.05,1249040
2020-03-20 10:30:13+07:00,19.1,19.15,19.2,19.1,1224240
2020-03-20 11:00:32+07:00,19.1,19.1,19.15,19.05,889750
2020-03-20 13:00:20+07:00,18.85,19.1,19.1,18.85,1762200
2020-03-20 13:30:00+07:00,18.85,18.9,18.9,18.8,1587820
2020-03-20 14:00:15+07:00,19.05,18.85,19.05,18.8,1959380
2020-03-20 14:46:12+07:00,18.6,18.6,18.6,18.6,2013770
2020-03-23 09:15:09+07:00,17.4,17.4,17.8,17.35,2138310
2020-03-23 09:30:00+07:00,17.4,17.4,17.5,17.3,3055960
2020-03-23 10:00:02+07:00,17.3,17.4,17.4,17.3,2693700
2020-03-23 10:30:08+07:00,17.3,17.3,17.35,17.3,3739580
2020-03-23 11:00:20+07:00,17.3,17.3,17.35,17.3,986100
2020-03-23 13:00:21+07:00,17.3,17.3,17.3,17.3,153280
2020-03-23 13:30:45+07:00,17.3,17.3,17.3,17.3,92360
2020-03-23 14:00:38+07:00,17.3,17.3,17.3,17.3,25340
2020-03-23 14:46:12+07:00,17.3,17.3,17.3,17.3,62540
2020-03-24 09:15:09+07:00,16.8,17.0,17.1,16.7,2161240
2020-03-24 09:30:01+07:00,16.85,16.8,16.95,16.75,2794020
2020-03-24 10:00:26+07:00,17.0,16.85,17.0,16.85,1645380
2020-03-24 10:30:04+07:00,17.15,17.0,17.15,17.0,949130
2020-03-24 11:00:17+07:00,17.05,17.15,17.15,16.95,2063650
2020-03-24 13:00:20+07:00,17.25,17.0,17.25,17.0,1305680
2020-03-24 13:30:17+07:00,17.3,17.25,17.35,17.2,955470
2020-03-24 14:00:05+07:00,17.3,17.3,17.35,17.25,1171300
2020-03-24 14:46:12+07:00,17.1,17.1,17.1,17.1,785520
2020-03-25 09:15:26+07:00,17.65,17.85,17.85,17.6,834070
2020-03-25 09:30:01+07:00,17.65,17.65,17.7,17.5,567010
2020-03-25 10:00:16+07:00,17.45,17.65,17.7,17.45,1104000
2020-03-25 10:30:15+07:00,17.5,17.4,17.5,17.4,733670
2020-03-25 11:00:04+07:00,17.6,17.5,17.65,17.5,1215860
2020-03-25 13:00:21+07:00,17.8,17.65,17.8,17.6,1088680
2020-03-25 13:30:05+07:00,17.7,17.8,17.8,17.6,1171480
2020-03-25 14:00:08+07:00,17.85,17.7,17.85,17.7,849290
2020-03-25 14:46:12+07:00,17.8,17.8,17.8,17.8,194150
2020-03-26 09:15:19+07:00,17.4,17.55,17.55,17.2,937060
2020-03-26 09:30:12+07:00,17.5,17.4,17.55,17.4,1405350
2020-03-26 10:00:07+07:00,17.45,17.5,17.55,17.4,1040880
2020-03-26 10:30:07+07:00,17.5,17.45,17.5,17.45,618230
2020-03-26 11:00:03+07:00,17.35,17.45,17.45,17.3,516100
