Date,Close,Open,High,Low,Volumn
2016-03-29 07:00:00+07:00,8.62,8.67,8.79,8.62,2044410
2016-03-30 07:00:00+07:00,8.53,8.59,8.64,8.53,1579390
2016-03-31 07:00:00+07:00,8.53,8.53,8.73,8.5,2460570
2016-04-01 07:00:00+07:00,8.38,8.53,8.56,8.32,1523320
2016-04-04 07:00:00+07:00,8.44,8.38,8.53,8.35,986480
2016-04-05 07:00:00+07:00,8.47,8.44,8.5,8.41,536800
2016-04-06 07:00:00+07:00,8.73,8.47,8.73,8.47,1954970
2016-04-07 07:00:00+07:00,8.7,8.79,8.87,8.7,2701300
2016-04-08 07:00:00+07:00,8.9,8.7,8.99,8.67,7079970
2016-04-11 07:00:00+07:00,9.11,8.99,9.16,8.99,5057970
2016-04-12 07:00:00+07:00,9.16,9.11,9.19,9.08,2850420
2016-04-13 07:00:00+07:00,8.99,9.16,9.16,8.93,3106110
2016-04-14 07:00:00+07:00,9.08,8.99,9.19,8.99,2142460
2016-04-15 07:00:00+07:00,9.05,9.14,9.22,9.05,2734540
2016-04-19 07:00:00+07:00,8.93,9.08,9.08,8.93,3047720
2016-04-20 07:00:00+07:00,9.02,9.02,9.11,8.9,2813360
2016-04-21 07:00:00+07:00,9.11,9.08,9.25,9.08,3670790
2016-04-22 07:00:00+07:00,9.45,9.14,9.48,9.11,4327260
2016-04-25 07:00:00+07:00,9.54,9.54,9.68,9.51,3046090
2016-04-26 07:00:00+07:00,9.54,9.48,9.65,9.4,3019430
2016-04-27 07:00:00+07:00,9.45,9.54,9.54,9.36,2321780
2016-04-28 07:00:00+07:00,9.4,9.42,9.48,9.31,1669040
2016-04-29 07:00:00+07:00,9.68,9.36,9.68,9.36,3455190
2016-05-04 07:00:00+07:00,10.12,9.8,10.23,9.77,6404100
2016-05-05 07:00:00+07:00,10.12,10.15,10.64,9.97,7908200
2016-05-06 07:00:00+07:00,9.83,10.0,10.09,9.8,4098640
2016-05-09 07:00:00+07:00,9.8,9.94,10.03,9.8,3455700
2016-05-10 07:00:00+07:00,9.68,9.68,9.83,9.63,4939730
2016-05-11 07:00:00+07:00,9.97,9.83,9.97,9.8,2497620
2016-05-12 07:00:00+07:00,9.83,10.0,10.03,9.83,1742800
2016-05-13 07:00:00+07:00,9.63,9.77,9.8,9.57,3860220
2016-05-16 07:00:00+07:00,9.6,9.6,9.63,9.51,2259110
2016-05-17 07:00:00+07:00,9.71,9.63,9.77,9.63,1339920
2016-05-18 07:00:00+07:00,9.57,9.74,9.74,9.57,1773380
2016-05-19 07:00:00+07:00,9.6,9.57,9.71,9.54,1726020
2016-05-20 07:00:00+07:00,9.6,9.6,9.63,9.54,1426750
2016-05-23 07:00:00+07:00,9.74,9.6,9.8,9.57,1149830
2016-05-24 07:00:00+07:00,9.74,9.71,9.86,9.68,1526440
2016-05-25 07:00:00+07:00,9.74,9.77,9.89,9.71,1842560
2016-05-26 07:00:00+07:00,9.6,9.71,9.77,9.6,1851110
2016-05-27 07:00:00+07:00,9.63,9.57,9.68,9.54,1594940
2016-05-30 07:00:00+07:00,9.77,9.65,9.83,9.65,3173180
2016-05-31 07:00:00+07:00,9.77,9.83,9.89,9.74,3495250
2016-06-01 07:00:00+07:00,9.94,9.77,10.09,9.71,5684250
2016-06-02 07:00:00+07:00,10.18,9.94,10.2,9.89,5218950
2016-06-03 07:00:00+07:00,10.29,10.29,10.38,10.2,6462490
2016-06-06 07:00:00+07:00,10.23,10.35,10.61,10.2,7411920
2016-06-07 07:00:00+07:00,10.49,10.26,10.49,10.26,3047640
2016-06-08 07:00:00+07:00,10.67,10.61,10.81,10.55,3724890
2016-06-09 07:00:00+07:00,10.61,10.75,10.75,10.55,2965630
2016-06-10 07:00:00+07:00,10.7,10.64,10.84,10.61,2439340
2016-06-13 07:00:00+07:00,10.55,10.67,10.67,10.49,2928110
2016-06-14 07:00:00+07:00,10.96,10.52,10.96,10.46,3443200
2016-06-15 07:00:00+07:00,10.98,10.96,11.19,10.87,2129160
2016-06-16 07:00:00+07:00,11.01,10.98,11.19,10.98,2814140
2016-06-17 07:00:00+07:00,10.81,10.96,11.07,10.81,5659440
2016-06-20 07:00:00+07:00,11.1,10.98,11.1,10.9,1648120
2016-06-21 07:00:00+07:00,11.33,11.22,11.48,11.22,3610830
2016-06-22 07:00:00+07:00,11.45,11.33,11.53,11.27,2285990
2016-06-23 07:00:00+07:00,11.59,11.42,11.65,11.42,4020040
2016-06-24 07:00:00+07:00,11.22,11.53,11.56,10.78,12178690
2016-06-27 07:00:00+07:00,11.27,11.07,11.27,10.9,3206680
2016-06-28 07:00:00+07:00,11.19,11.16,11.36,11.13,1830580
2016-06-29 07:00:00+07:00,11.36,11.22,11.48,11.19,4457030
2016-06-30 07:00:00+07:00,11.45,11.5,11.65,11.42,3438530
2016-07-01 07:00:00+07:00,11.5,11.5,11.68,11.48,5658560
2016-07-04 07:00:00+07:00,11.53,11.56,11.62,11.48,4158970
2016-07-05 07:00:00+07:00,11.62,11.65,11.79,11.59,4927570
2016-07-06 07:00:00+07:00,11.85,11.59,11.85,11.5,4957280
2016-07-07 07:00:00+07:00,12.37,12.11,12.43,12.0,3680720
2016-07-08 07:00:00+07:00,12.34,12.43,12.49,12.11,5754320
2016-07-11 07:00:00+07:00,11.71,12.34,12.4,11.71,5163140
2016-07-12 07:00:00+07:00,11.88,11.79,11.97,11.62,5547040
2016-07-13 07:00:00+07:00,12.02,12.0,12.14,12.0,3746150
2016-07-14 07:00:00+07:00,11.62,12.06,12.08,11.62,5141750
