Date,Open,Close,High,Low,Volumn
2016-03-29 07:00:00+07:00,8.67,8.38,8.79,8.32,7607690
2016-04-04 07:00:00+07:00,8.38,8.9,8.99,8.35,13259520
2016-04-11 07:00:00+07:00,8.99,9.05,9.22,8.93,15891500
2016-04-19 07:00:00+07:00,9.08,9.45,9.48,8.9,13859130
2016-04-25 07:00:00+07:00,9.54,9.68,9.68,9.31,13511530
2016-05-04 07:00:00+07:00,9.8,9.83,10.64,9.77,18410940
2016-05-09 07:00:00+07:00,9.94,9.63,10.03,9.57,16496070
2016-05-16 07:00:00+07:00,9.6,9.6,9.77,9.51,8525180
2016-05-23 07:00:00+07:00,9.6,9.63,9.89,9.54,7964880
2016-05-30 07:00:00+07:00,9.65,10.29,10.38,9.65,24034120
2016-06-06 07:00:00+07:00,10.35,10.7,10.84,10.2,19589420
2016-06-13 07:00:00+07:00,10.67,10.81,11.19,10.46,16974050
2016-06-20 07:00:00+07:00,10.98,11.22,11.65,10.78,23743670
2016-06-27 07:00:00+07:00,11.07,11.5,11.68,10.9,18591380
2016-07-04 07:00:00+07:00,11.56,12.34,12.49,11.48,23478860
2016-07-11 07:00:00+07:00,12.34,11.74,12.4,11.36,23324230
2016-07-18 07:00:00+07:00,11.74,11.62,12.43,11.27,21231880
2016-07-25 07:00:00+07:00,11.74,12.86,12.95,11.59,28157290
2016-08-01 07:00:00+07:00,12.89,12.46,12.89,12.2,21949250
2016-08-08 07:00:00+07:00,12.49,13.24,13.64,12.34,18528700
2016-08-15 07:00:00+07:00,13.24,13.93,14.37,13.18,20644120
2016-08-22 07:00:00+07:00,13.9,14.61,14.78,13.88,20252930
2016-08-29 07:00:00+07:00,14.58,14.54,14.71,14.03,13292860
2016-09-05 07:00:00+07:00,14.61,15.19,15.5,14.37,20028730
2016-09-12 07:00:00+07:00,15.04,15.26,15.33,14.73,20098750
2016-09-19 07:00:00+07:00,15.43,15.74,16.02,15.4,17711340
2016-09-26 07:00:00+07:00,15.71,15.67,16.12,15.48,20174210
2016-10-03 07:00:00+07:00,15.67,14.1,15.78,13.89,42018870
2016-10-10 07:00:00+07:00,14.06,13.86,14.61,13.44,30143220
2016-10-17 07:00:00+07:00,13.79,14.06,14.37,13.58,14102590
2016-10-24 07:00:00+07:00,14.06,13.99,14.13,13.39,13850510
2016-10-31 07:00:00+07:00,14.1,13.58,14.11,13.32,11483260
2016-11-07 07:00:00+07:00,13.7,14.04,14.35,13.55,25414890
2016-11-14 07:00:00+07:00,13.99,14.16,14.63,13.98,18960670
2016-11-21 07:00:00+07:00,14.2,14.32,14.56,14.1,14286940
2016-11-28 07:00:00+07:00,14.3,14.47,14.58,13.79,21272170
2016-12-05 07:00:00+07:00,14.51,14.03,14.76,13.92,18524510
2016-12-12 07:00:00+07:00,14.01,14.33,14.44,13.82,13252260
2016-12-19 07:00:00+07:00,14.33,14.73,14.82,14.15,16542810
2016-12-26 07:00:00+07:00,14.88,14.8,15.06,14.8,15115170
2017-01-03 07:00:00+07:00,14.85,14.88,15.26,14.82,12614420
2017-01-09 07:00:00+07:00,14.92,14.82,15.16,14.73,11669740
2017-01-16 07:00:00+07:00,14.8,14.47,14.85,14.15,12605940
2017-01-23 07:00:00+07:00,14.44,14.51,14.59,14.39,3270240
2017-02-02 07:00:00+07:00,14.58,14.82,15.26,14.47,7115320
2017-02-06 07:00:00+07:00,14.92,15.21,15.48,14.82,26312290
2017-02-13 07:00:00+07:00,15.26,15.19,15.6,15.02,20514560
2017-02-20 07:00:00+07:00,14.68,13.87,14.71,13.72,32427450
2017-02-27 07:00:00+07:00,13.86,14.06,14.42,13.51,19803170
2017-03-06 07:00:00+07:00,14.06,14.44,14.75,13.99,16795110
2017-03-13 07:00:00+07:00,14.44,14.16,14.47,14.16,11599920
2017-03-20 07:00:00+07:00,14.33,14.76,14.78,14.27,12678390
2017-03-27 07:00:00+07:00,14.85,15.72,15.84,14.61,23563350
2017-04-03 07:00:00+07:00,15.79,16.38,17.13,15.77,21106490
