Date,Close,Open,High,Low,Volumn
2020-03-23 09:15:10+07:00,18.6,19.8,19.8,18.6,375060
2020-03-23 10:00:05+07:00,18.6,18.6,18.75,18.55,254450
2020-03-23 11:00:09+07:00,18.55,18.55,18.6,18.55,88990
2020-03-23 13:00:22+07:00,18.55,18.65,18.65,18.55,344580
2020-03-23 14:00:10+07:00,18.55,18.55,18.55,18.55,38850
2020-03-24 09:15:10+07:00,17.85,18.15,18.55,17.5,158180
2020-03-24 10:00:05+07:00,17.9,17.85,17.9,17.6,210900
2020-03-24 11:00:02+07:00,17.65,17.85,17.9,17.6,64950
2020-03-24 13:00:21+07:00,18.05,17.85,18.4,17.65,183810
2020-03-24 14:01:22+07:00,18.3,18.2,18.4,18.05,98240
2020-03-25 09:15:13+07:00,18.95,18.75,19.15,18.7,221150
2020-03-25 10:00:03+07:00,19.05,18.95,19.1,18.9,185900
2020-03-25 11:00:14+07:00,19.0,19.0,19.05,18.9,50540
2020-03-25 13:00:22+07:00,19.1,18.95,19.1,18.9,177870
2020-03-25 14:00:42+07:00,19.3,19.0,19.3,19.0,175420
2020-03-26 09:15:07+07:00,19.0,19.3,19.4,18.8,135470
2020-03-26 10:00:03+07:00,19.5,19.0,19.7,19.0,175680
2020-03-26 11:00:27+07:00,19.35,19.5,19.6,19.35,62970
2020-03-26 13:00:21+07:00,19.35,19.35,19.5,19.3,125990
2020-03-26 14:01:00+07:00,19.35,19.35,19.4,19.35,62200
2020-03-27 09:15:06+07:00,19.4,19.1,19.4,19.1,123560
2020-03-27 10:01:06+07:00,19.8,19.4,20.0,19.35,233940
2020-03-27 11:00:35+07:00,19.5,19.9,19.9,19.5,113620
2020-03-27 13:00:22+07:00,19.3,19.55,19.6,19.2,221540
2020-03-27 14:00:27+07:00,19.3,19.25,19.45,19.2,116120
