Date,Close,Open,High,Low,Volumn
2017-01-03 07:00:00+07:00,32.53,32.53,32.53,32.53,700
2017-01-04 07:00:00+07:00,37.34,37.34,37.34,37.34,8868
2017-01-05 07:00:00+07:00,40.91,42.91,42.91,38.17,764180
2017-01-06 07:00:00+07:00,36.52,43.32,43.32,36.52,250926
2017-01-09 07:00:00+07:00,34.69,38.34,38.34,34.03,159553
2017-01-10 07:00:00+07:00,35.69,34.69,36.6,32.62,129615
2017-01-11 07:00:00+07:00,36.1,35.1,36.52,34.86,91056
2017-01-12 07:00:00+07:00,35.27,35.85,36.1,35.27,113008
2017-01-13 07:00:00+07:00,35.02,35.19,35.35,34.86,168714
2017-01-16 07:00:00+07:00,34.03,34.86,34.86,33.28,111337
2017-01-17 07:00:00+07:00,33.11,33.61,33.78,32.78,163282
2017-01-18 07:00:00+07:00,32.37,32.78,33.11,31.54,115276
2017-01-19 07:00:00+07:00,32.37,32.2,32.78,31.78,67936
2017-01-20 07:00:00+07:00,31.62,31.95,32.2,31.37,172546
2017-01-23 07:00:00+07:00,31.62,31.54,31.7,31.37,95764
2017-01-24 07:00:00+07:00,31.78,31.54,31.95,31.54,92226
2017-01-25 07:00:00+07:00,31.95,31.62,32.12,31.54,144059
2017-02-02 07:00:00+07:00,32.28,32.37,32.45,31.62,35528
2017-02-03 07:00:00+07:00,32.12,32.62,32.86,32.03,191300
2017-02-06 07:00:00+07:00,32.03,32.37,32.37,31.78,86780
2017-02-07 07:00:00+07:00,31.7,31.95,31.95,31.54,131437
2017-02-08 07:00:00+07:00,32.2,31.54,32.53,31.54,95870
2017-02-09 07:00:00+07:00,32.12,32.28,32.28,31.95,76107
2017-02-10 07:00:00+07:00,35.6,32.12,35.69,32.12,440047
2017-02-13 07:00:00+07:00,36.6,35.69,37.18,35.27,281767
2017-02-14 07:00:00+07:00,35.1,36.68,36.93,35.1,239390
2017-02-15 07:00:00+07:00,34.44,34.94,35.44,34.28,364184
2017-02-16 07:00:00+07:00,32.95,34.52,34.52,32.7,583476
2017-02-17 07:00:00+07:00,32.78,32.62,32.95,32.28,765046
2017-02-20 07:00:00+07:00,34.77,33.28,35.19,32.78,2727835
2017-02-21 07:00:00+07:00,33.94,35.69,35.69,33.69,419088
2017-02-22 07:00:00+07:00,33.44,34.11,34.11,32.95,484550
2017-02-23 07:00:00+07:00,29.79,33.11,33.11,28.47,5427447
2017-02-24 07:00:00+07:00,27.39,30.54,30.54,25.98,6416518
2017-02-27 07:00:00+07:00,31.2,27.39,31.2,27.39,6787409
2017-02-28 07:00:00+07:00,29.05,33.2,33.2,27.39,4390004
2017-03-01 07:00:00+07:00,28.88,29.05,29.63,28.3,2181891
2017-03-02 07:00:00+07:00,28.8,29.05,29.54,28.38,1199643
2017-03-03 07:00:00+07:00,28.22,28.96,29.71,27.64,1844220
2017-03-06 07:00:00+07:00,26.89,28.22,28.3,26.81,2226822
2017-03-07 07:00:00+07:00,26.89,26.81,28.63,25.31,1606464
2017-03-08 07:00:00+07:00,27.8,26.81,28.22,26.56,850130
2017-03-09 07:00:00+07:00,27.22,27.8,28.13,27.06,697404
2017-03-10 07:00:00+07:00,26.72,27.06,27.39,26.47,1113605
2017-03-13 07:00:00+07:00,25.98,26.72,26.72,25.89,1126914
2017-03-14 07:00:00+07:00,25.39,26.06,26.14,25.23,1815647
2017-03-15 07:00:00+07:00,24.65,25.48,25.56,24.23,1514931
2017-03-16 07:00:00+07:00,25.56,24.07,25.64,24.07,837681
2017-03-17 07:00:00+07:00,25.64,25.48,26.31,25.31,888349
2017-03-20 07:00:00+07:00,25.64,25.89,25.89,25.06,722569
2017-03-21 07:00:00+07:00,25.64,25.39,25.98,25.31,707840
2017-03-22 07:00:00+07:00,25.48,25.64,25.98,25.39,801100
2017-03-23 07:00:00+07:00,25.23,25.56,25.89,24.9,723036
2017-03-24 07:00:00+07:00,25.31,25.23,25.56,25.06,515510
2017-03-27 07:00:00+07:00,24.98,25.23,25.31,24.81,714416
2017-03-28 07:00:00+07:00,24.65,24.98,24.98,24.4,670572
2017-03-29 07:00:00+07:00,24.07,24.73,24.81,23.98,981159
2017-03-30 07:00:00+07:00,23.49,24.23,24.23,23.15,1083200
2017-03-31 07:00:00+07:00,23.4,23.49,23.98,22.74,743160
2017-04-03 07:00:00+07:00,24.07,23.32,24.81,23.32,787730
2017-04-04 07:00:00+07:00,23.4,24.15,24.15,23.4,462781
2017-04-05 07:00:00+07:00,23.32,23.4,23.49,23.24,384033
2017-04-07 07:00:00+07:00,22.66,23.65,23.65,22.57,617184
2017-04-10 07:00:00+07:00,21.66,23.15,23.15,21.58,1163704
2017-04-11 07:00:00+07:00,21.16,21.66,21.66,21.08,643281
2017-04-12 07:00:00+07:00,20.58,21.08,21.33,20.5,707577
2017-04-13 07:00:00+07:00,20.83,20.58,21.58,20.08,704977
2017-04-14 07:00:00+07:00,21.0,20.83,21.16,20.75,265111
2017-04-17 07:00:00+07:00,21.99,21.16,22.74,21.16,856975
2017-04-18 07:00:00+07:00,22.57,22.08,22.74,21.74,807280
2017-04-19 07:00:00+07:00,23.07,22.57,23.24,22.57,688810
2017-04-20 07:00:00+07:00,22.57,23.07,23.15,22.41,354266
2017-04-21 07:00:00+07:00,21.83,22.57,22.57,21.74,514320
2017-04-24 07:00:00+07:00,21.08,22.08,22.08,21.08,694551
2017-04-25 07:00:00+07:00,21.24,21.16,21.66,21.0,297319
2017-04-26 07:00:00+07:00,21.66,21.33,21.83,21.33,311740
2017-04-27 07:00:00+07:00,21.5,21.74,21.83,21.33,251207
2017-04-28 07:00:00+07:00,21.41,21.58,21.66,21.24,287002
2017-05-03 07:00:00+07:00,21.5,21.58,21.74,21.41,331400
2017-05-04 07:00:00+07:00,21.58,21.5,21.66,21.33,395410
2017-05-05 07:00:00+07:00,21.33,21.66,21.66,21.33,249106
2017-05-08 07:00:00+07:00,22.08,21.58,22.32,21.58,799336
2017-05-09 07:00:00+07:00,21.91,22.24,22.24,21.83,430956
2017-05-10 07:00:00+07:00,22.32,21.91,22.41,21.66,794571
2017-05-11 07:00:00+07:00,23.32,22.24,23.65,22.08,1031512
2017-05-12 07:00:00+07:00,24.07,23.4,24.56,23.4,1075746
2017-05-15 07:00:00+07:00,23.65,24.23,24.23,23.49,734980
2017-05-16 07:00:00+07:00,23.4,23.57,23.65,23.07,1031675
2017-05-17 07:00:00+07:00,23.24,23.24,23.74,23.15,401570
2017-05-18 07:00:00+07:00,23.24,23.24,23.57,22.99,562076
2017-05-19 07:00:00+07:00,22.91,23.24,23.32,22.82,377214
2017-05-22 07:00:00+07:00,22.99,22.99,23.15,22.91,355166
2017-05-23 07:00:00+07:00,22.32,22.99,23.15,22.16,600933
2017-05-24 07:00:00+07:00,21.99,22.41,22.41,21.74,501970
2017-05-25 07:00:00+07:00,22.32,21.99,22.49,21.99,198959
2017-05-26 07:00:00+07:00,22.16,22.32,22.41,21.91,211820
2017-05-29 07:00:00+07:00,22.16,21.99,22.24,21.99,241491
