Date,Close,Open,High,Low,Volumn
2020-03-23 09:02:21+07:00,19.2,20.2,20.2,19.2,28900
2020-03-23 10:02:06+07:00,18.8,19.2,19.5,18.8,13700
2020-03-23 11:15:05+07:00,18.7,18.8,18.8,18.7,2900
2020-03-23 13:00:06+07:00,18.9,18.7,18.9,18.3,32500
2020-03-23 14:21:27+07:00,18.0,18.7,18.7,18.0,21300
2020-03-24 09:10:08+07:00,19.1,18.0,19.2,18.0,10900
2020-03-24 10:05:59+07:00,19.1,19.1,19.4,19.1,6400
2020-03-24 11:06:52+07:00,19.0,19.0,19.0,19.0,3400
2020-03-24 13:20:22+07:00,19.2,19.2,19.2,19.2,11000
2020-03-24 14:01:04+07:00,19.2,19.2,19.2,19.2,1000
2020-03-25 09:02:48+07:00,19.5,19.1,20.0,19.1,10800
2020-03-25 10:09:40+07:00,19.5,19.3,19.5,19.3,1800
2020-03-25 11:11:19+07:00,19.5,19.5,19.5,19.5,500
2020-03-25 13:11:57+07:00,19.5,19.5,19.5,19.5,7200
2020-03-25 14:22:01+07:00,19.6,19.5,19.9,19.5,5600
2020-03-26 09:05:38+07:00,19.2,19.6,19.6,19.2,1700
2020-03-26 10:01:02+07:00,19.4,19.5,19.5,19.4,3000
2020-03-26 11:00:10+07:00,19.4,19.4,19.4,19.4,100
2020-03-26 13:00:09+07:00,19.0,19.2,19.4,19.0,19900
2020-03-26 14:07:44+07:00,19.0,19.0,19.0,19.0,1000
2020-03-27 09:16:40+07:00,19.0,19.1,19.1,19.0,5200
2020-03-27 10:00:23+07:00,19.0,19.0,19.0,18.6,8600
2020-03-27 11:10:12+07:00,19.0,19.0,19.0,19.0,1000
2020-03-27 13:30:31+07:00,18.8,19.0,19.1,18.8,15900
2020-03-27 14:18:43+07:00,18.8,18.8,19.0,18.8,6600
