Date,Close,Open,High,Low,Volumn
2020-03-23 09:15:11+07:00,47.9,48.1,48.1,47.6,245770
2020-03-23 10:00:29+07:00,47.2,47.9,48.0,47.1,733920
2020-03-23 11:00:07+07:00,47.1,47.2,47.2,47.05,407240
2020-03-23 13:00:24+07:00,47.35,46.9,47.35,46.4,784890
2020-03-23 14:00:13+07:00,49.2,47.95,49.2,47.3,2853200
2020-03-24 09:15:21+07:00,48.6,48.5,49.0,48.3,251040
2020-03-24 10:00:02+07:00,48.55,48.45,48.85,48.45,487410
2020-03-24 11:00:37+07:00,48.55,48.55,48.7,48.5,71200
2020-03-24 13:00:23+07:00,48.6,48.55,48.65,48.4,479790
2020-03-24 14:00:35+07:00,49.1,48.65,49.1,48.6,2268910
2020-03-25 09:15:14+07:00,48.75,49.0,49.0,48.55,317010
2020-03-25 10:00:09+07:00,48.8,48.75,48.8,48.7,270900
2020-03-25 11:00:01+07:00,48.85,48.8,49.7,48.7,333680
2020-03-25 13:00:24+07:00,49.0,48.85,49.25,48.85,492330
2020-03-25 14:00:03+07:00,49.1,48.95,49.1,48.9,1443370
2020-03-26 09:15:20+07:00,49.15,49.0,49.2,48.55,218730
2020-03-26 10:00:12+07:00,49.0,49.15,49.15,48.75,376540
2020-03-26 11:00:01+07:00,48.95,49.0,49.0,48.85,146940
2020-03-26 13:00:22+07:00,48.85,48.95,48.95,48.8,306520
2020-03-26 14:00:13+07:00,49.0,48.85,49.0,48.8,1714760
2020-03-27 09:15:08+07:00,50.0,48.7,50.0,48.5,547090
2020-03-27 10:00:01+07:00,50.4,50.2,50.7,50.0,914000
2020-03-27 11:00:15+07:00,50.5,50.5,50.5,50.3,137700
