Date,Close,Open,High,Low,Volumn
2016-03-29 07:00:00+07:00,46.12,47.07,47.07,46.12,375020
2016-03-30 07:00:00+07:00,46.12,45.8,46.75,45.8,340720
2016-03-31 07:00:00+07:00,45.48,46.12,46.12,45.48,420860
2016-04-01 07:00:00+07:00,45.16,45.16,45.8,44.84,331930
2016-04-04 07:00:00+07:00,44.53,45.16,45.48,44.21,384220
2016-04-05 07:00:00+07:00,44.84,44.53,45.16,44.21,399050
2016-04-06 07:00:00+07:00,45.16,45.48,45.48,44.21,428160
2016-04-07 07:00:00+07:00,45.16,45.48,45.48,44.53,208440
2016-04-08 07:00:00+07:00,44.21,44.53,44.84,43.89,599800
2016-04-11 07:00:00+07:00,45.16,44.21,45.16,44.21,694480
2016-04-12 07:00:00+07:00,44.53,45.16,45.16,44.53,235220
2016-04-13 07:00:00+07:00,43.89,44.84,44.84,43.89,239340
2016-04-14 07:00:00+07:00,44.21,44.21,44.84,44.21,197410
2016-04-15 07:00:00+07:00,44.21,44.53,44.53,43.89,155690
2016-04-19 07:00:00+07:00,43.89,44.21,44.53,43.25,427350
2016-04-20 07:00:00+07:00,42.94,43.89,43.89,42.94,214480
2016-04-21 07:00:00+07:00,44.53,42.94,44.53,42.94,334330
2016-04-22 07:00:00+07:00,43.89,44.21,44.53,43.89,195010
2016-04-25 07:00:00+07:00,43.57,44.21,44.53,42.94,339790
2016-04-26 07:00:00+07:00,43.89,43.25,44.53,43.25,465120
2016-04-27 07:00:00+07:00,44.21,43.89,44.53,43.57,381930
2016-04-28 07:00:00+07:00,43.89,44.21,44.53,43.89,232460
2016-04-29 07:00:00+07:00,44.53,43.89,45.48,43.89,681090
2016-05-04 07:00:00+07:00,45.16,45.16,45.48,44.53,504510
2016-05-05 07:00:00+07:00,45.16,45.16,45.48,44.84,403090
2016-05-06 07:00:00+07:00,46.12,45.16,47.07,45.16,1012480
2016-05-09 07:00:00+07:00,45.48,46.12,47.07,45.48,232020
2016-05-10 07:00:00+07:00,45.48,45.16,45.8,44.53,380290
2016-05-11 07:00:00+07:00,45.8,45.8,45.8,44.84,353890
2016-05-12 07:00:00+07:00,45.8,45.8,46.12,45.48,229250
2016-05-13 07:00:00+07:00,44.84,45.8,45.8,44.84,272690
2016-05-16 07:00:00+07:00,45.16,45.16,45.48,44.84,287960
2016-05-17 07:00:00+07:00,45.16,45.48,45.8,45.16,201400
2016-05-18 07:00:00+07:00,45.48,45.48,45.8,45.16,134110
2016-05-19 07:00:00+07:00,44.53,45.48,45.8,44.53,294740
2016-05-20 07:00:00+07:00,44.21,44.53,44.53,43.89,413900
2016-05-23 07:00:00+07:00,44.21,44.21,44.53,43.89,150590
2016-05-24 07:00:00+07:00,45.16,44.53,45.16,44.21,353360
2016-05-25 07:00:00+07:00,44.53,44.84,45.16,44.53,219550
2016-05-26 07:00:00+07:00,43.89,44.21,44.53,43.89,114240
2016-05-27 07:00:00+07:00,43.89,44.53,44.53,43.57,184750
2016-05-30 07:00:00+07:00,43.89,43.89,43.89,43.57,157700
2016-05-31 07:00:00+07:00,44.21,43.89,44.21,43.57,254110
2016-06-01 07:00:00+07:00,43.89,44.21,44.21,43.57,147400
2016-06-02 07:00:00+07:00,43.89,43.89,44.21,43.57,39940
2016-06-03 07:00:00+07:00,43.89,43.89,44.21,43.89,184710
2016-06-06 07:00:00+07:00,43.57,43.89,43.89,43.57,153140
2016-06-07 07:00:00+07:00,43.89,43.57,43.89,43.25,174210
2016-06-08 07:00:00+07:00,44.53,43.89,44.53,43.57,279510
2016-06-09 07:00:00+07:00,44.21,44.21,44.53,43.89,114520
2016-06-10 07:00:00+07:00,44.53,44.21,44.53,43.89,405750
2016-06-13 07:00:00+07:00,43.89,44.53,44.53,43.89,232740
2016-06-14 07:00:00+07:00,43.89,43.89,44.21,43.57,116110
2016-06-15 07:00:00+07:00,43.57,43.89,43.89,43.25,84940
2016-06-16 07:00:00+07:00,43.57,43.57,44.21,43.57,201010
2016-06-17 07:00:00+07:00,45.16,43.89,45.16,43.25,1517950
2016-06-20 07:00:00+07:00,44.21,43.89,44.53,43.57,214630
2016-06-21 07:00:00+07:00,43.89,44.21,44.53,43.89,108620
2016-06-22 07:00:00+07:00,43.89,43.89,44.53,43.89,54550
2016-06-23 07:00:00+07:00,43.89,43.89,43.89,43.57,207350
2016-06-24 07:00:00+07:00,42.94,43.89,43.89,41.98,320530
2016-06-27 07:00:00+07:00,42.62,42.62,42.94,41.98,151140
2016-06-28 07:00:00+07:00,42.62,42.62,42.62,41.98,294500
2016-06-29 07:00:00+07:00,42.62,42.62,42.94,41.98,416170
2016-06-30 07:00:00+07:00,42.3,42.62,42.62,42.3,208640
2016-07-01 07:00:00+07:00,42.62,42.3,44.53,42.3,368120
2016-07-04 07:00:00+07:00,42.62,42.62,42.94,42.3,125960
2016-07-05 07:00:00+07:00,42.94,42.94,43.25,42.62,59940
2016-07-06 07:00:00+07:00,42.62,42.62,42.62,42.3,191960
2016-07-07 07:00:00+07:00,42.62,42.62,42.94,42.3,251200
2016-07-08 07:00:00+07:00,42.62,42.3,42.62,41.98,467620
2016-07-11 07:00:00+07:00,42.62,41.98,42.62,41.98,278680
2016-07-12 07:00:00+07:00,42.62,42.62,42.62,41.98,107970
2016-07-13 07:00:00+07:00,42.62,42.3,42.94,42.3,305500
2016-07-14 07:00:00+07:00,42.94,42.62,44.21,42.3,717250
2016-07-15 07:00:00+07:00,42.94,43.25,43.25,42.62,175870
2016-07-18 07:00:00+07:00,43.89,43.25,43.89,43.25,179580
2016-07-19 07:00:00+07:00,42.94,43.89,43.89,42.94,307780
2016-07-20 07:00:00+07:00,42.62,42.94,43.25,42.62,225340
2016-07-21 07:00:00+07:00,42.94,42.94,43.25,42.62,174010
2016-07-22 07:00:00+07:00,42.62,42.94,42.94,41.98,317090
2016-07-25 07:00:00+07:00,42.62,42.3,42.94,41.98,128060
2016-07-26 07:00:00+07:00,42.3,42.94,42.94,41.34,430300
2016-07-27 07:00:00+07:00,41.98,41.98,42.3,41.03,732260
2016-07-28 07:00:00+07:00,41.98,41.66,41.98,39.44,1894990
2016-07-29 07:00:00+07:00,40.71,41.03,41.98,40.71,726220
2016-08-01 07:00:00+07:00,40.71,41.34,41.34,40.39,242060
2016-08-02 07:00:00+07:00,39.12,40.39,40.39,39.12,548690
2016-08-03 07:00:00+07:00,39.12,38.8,39.44,38.48,236360
2016-08-04 07:00:00+07:00,39.44,38.48,39.44,38.48,71160
2016-08-05 07:00:00+07:00,39.12,39.12,39.12,37.53,835920
2016-08-08 07:00:00+07:00,37.85,38.8,38.8,37.53,312390
2016-08-09 07:00:00+07:00,38.48,37.53,38.48,37.53,298610
2016-08-10 07:00:00+07:00,38.48,38.16,38.48,38.16,282540
2016-08-11 07:00:00+07:00,38.8,38.48,39.44,38.16,582020
2016-08-12 07:00:00+07:00,38.48,38.8,39.12,37.85,383460
2016-08-15 07:00:00+07:00,38.16,38.16,38.16,38.16,111560
2016-08-16 07:00:00+07:00,37.85,38.16,38.16,37.53,404310
2016-08-17 07:00:00+07:00,37.85,38.16,38.16,37.21,1026130
2016-08-18 07:00:00+07:00,40.39,38.16,40.39,37.53,1965290
2016-08-19 07:00:00+07:00,42.94,42.62,42.94,42.3,2293940
2016-08-22 07:00:00+07:00,41.34,42.94,42.94,41.34,241270
2016-08-23 07:00:00+07:00,40.07,40.71,41.34,39.76,652530
2016-08-24 07:00:00+07:00,39.12,40.07,40.39,39.12,503710
2016-08-25 07:00:00+07:00,39.12,39.76,39.76,38.48,756480
2016-08-26 07:00:00+07:00,40.07,39.76,41.03,39.76,930460
2016-08-29 07:00:00+07:00,42.62,41.03,42.62,40.71,1259500
2016-08-30 07:00:00+07:00,44.53,42.3,45.16,41.98,820870
2016-08-31 07:00:00+07:00,43.89,44.53,44.84,43.25,1327980
2016-09-01 07:00:00+07:00,42.62,43.25,43.57,42.3,1706300
2016-09-05 07:00:00+07:00,42.62,43.25,43.89,42.3,837650
2016-09-06 07:00:00+07:00,43.25,43.25,43.57,42.62,503190
2016-09-07 07:00:00+07:00,43.25,43.25,43.57,42.94,714730
2016-09-08 07:00:00+07:00,43.57,43.25,43.57,42.62,1065400
2016-09-09 07:00:00+07:00,43.89,43.57,43.89,43.25,518600
2016-09-12 07:00:00+07:00,43.89,43.25,43.89,42.62,903520
2016-09-13 07:00:00+07:00,43.57,43.32,43.83,43.0,309120
2016-09-14 07:00:00+07:00,42.49,43.25,43.25,42.49,311860
2016-09-15 07:00:00+07:00,41.34,41.98,42.04,41.16,519390
2016-09-16 07:00:00+07:00,41.34,40.77,41.34,40.77,732710
2016-09-19 07:00:00+07:00,43.25,42.62,43.51,42.17,360510
2016-09-20 07:00:00+07:00,44.65,43.38,44.65,43.06,1047600
2016-09-21 07:00:00+07:00,44.84,44.53,44.91,44.02,416900
2016-09-22 07:00:00+07:00,45.16,44.65,45.29,44.53,278580
2016-09-23 07:00:00+07:00,45.16,44.78,45.16,43.95,634890
2016-09-26 07:00:00+07:00,45.1,44.27,45.1,44.27,357780
2016-09-27 07:00:00+07:00,44.91,44.53,44.91,44.27,554440
2016-09-28 07:00:00+07:00,42.94,44.53,44.78,42.94,494280
2016-09-29 07:00:00+07:00,43.38,43.57,43.7,43.13,549110
2016-09-30 07:00:00+07:00,44.72,43.25,44.72,43.19,556860
2016-10-03 07:00:00+07:00,44.53,44.53,44.53,43.25,580480
2016-10-04 07:00:00+07:00,44.46,43.89,44.46,43.64,532110
2016-10-05 07:00:00+07:00,44.46,44.4,44.46,43.89,539130
2016-10-06 07:00:00+07:00,44.02,44.46,44.53,44.02,239540
2016-10-07 07:00:00+07:00,43.57,44.4,44.4,43.57,167700
2016-10-10 07:00:00+07:00,43.44,43.57,44.14,43.32,147310
2016-10-11 07:00:00+07:00,43.44,43.76,43.76,43.25,177420
2016-10-12 07:00:00+07:00,43.25,43.32,43.57,43.25,48560
2016-10-13 07:00:00+07:00,43.25,43.25,43.32,43.19,148990
2016-10-14 07:00:00+07:00,43.38,43.25,43.57,43.19,136680
2016-10-17 07:00:00+07:00,42.43,43.38,43.44,42.43,251580
2016-10-18 07:00:00+07:00,42.43,42.04,42.87,42.04,97290
2016-10-19 07:00:00+07:00,42.3,42.3,42.43,42.3,125380
2016-10-20 07:00:00+07:00,42.3,43.19,43.19,41.98,68250
2016-10-21 07:00:00+07:00,42.17,42.3,42.3,42.11,86950
2016-10-24 07:00:00+07:00,41.98,41.41,41.98,40.39,137940
2016-10-25 07:00:00+07:00,41.98,41.03,41.98,40.77,306970
2016-10-26 07:00:00+07:00,41.79,41.34,41.79,40.84,179620
2016-10-27 07:00:00+07:00,41.66,41.03,41.79,40.77,263690
2016-10-28 07:00:00+07:00,41.79,41.03,41.79,40.71,211670
2016-10-31 07:00:00+07:00,41.79,41.6,43.44,41.54,464860
2016-11-01 07:00:00+07:00,41.66,41.98,42.11,41.34,119220
2016-11-02 07:00:00+07:00,41.66,41.6,41.86,41.03,74520
2016-11-03 07:00:00+07:00,41.54,41.66,41.66,40.65,407090
2016-11-04 07:00:00+07:00,41.41,41.54,41.54,40.84,98460
2016-11-07 07:00:00+07:00,41.34,41.41,41.41,40.9,83350
2016-11-08 07:00:00+07:00,41.34,41.03,41.34,41.03,198930
2016-11-09 07:00:00+07:00,41.34,40.9,41.34,40.39,297160
2016-11-10 07:00:00+07:00,41.34,41.34,41.34,40.9,586310
2016-11-11 07:00:00+07:00,41.03,41.34,41.66,41.03,53700
2016-11-14 07:00:00+07:00,39.44,40.96,40.96,39.12,651510
2016-11-15 07:00:00+07:00,40.07,40.07,40.07,39.63,57220
2016-11-16 07:00:00+07:00,40.14,40.07,40.52,40.07,79620
2016-11-17 07:00:00+07:00,40.26,40.26,40.39,40.07,222230
2016-11-18 07:00:00+07:00,40.33,40.26,40.77,40.14,241650
2016-11-21 07:00:00+07:00,40.33,40.39,40.39,40.07,73370
2016-11-22 07:00:00+07:00,40.65,40.33,40.84,40.33,135790
2016-11-23 07:00:00+07:00,43.38,40.71,43.44,40.71,2158820
2016-11-24 07:00:00+07:00,43.89,45.35,45.74,43.44,637070
2016-11-25 07:00:00+07:00,43.25,44.34,44.4,43.25,339930
2016-11-28 07:00:00+07:00,40.71,42.94,43.06,40.71,719490
2016-11-29 07:00:00+07:00,39.88,40.71,41.34,39.69,579550
2016-11-30 07:00:00+07:00,40.77,41.34,41.34,40.07,499010
2016-12-01 07:00:00+07:00,40.96,40.77,42.49,40.77,321970
2016-12-02 07:00:00+07:00,39.95,41.22,41.22,39.95,387740
2016-12-05 07:00:00+07:00,40.2,40.07,40.65,40.07,305290
2016-12-06 07:00:00+07:00,40.26,40.2,40.71,40.2,348710
2016-12-07 07:00:00+07:00,40.07,40.33,40.58,39.82,300040
2016-12-08 07:00:00+07:00,40.26,40.39,40.39,40.07,211860
2016-12-09 07:00:00+07:00,40.26,40.58,40.65,40.14,265730
2016-12-12 07:00:00+07:00,40.07,40.46,40.58,39.76,301240
2016-12-13 07:00:00+07:00,38.8,40.07,40.07,38.8,388540
2016-12-14 07:00:00+07:00,39.5,39.12,39.88,38.93,235790
2016-12-15 07:00:00+07:00,39.5,39.63,39.82,39.06,258880
2016-12-16 07:00:00+07:00,41.34,39.5,41.34,39.25,981560
2016-12-19 07:00:00+07:00,40.39,40.71,41.28,40.2,157330
2016-12-20 07:00:00+07:00,39.37,40.2,40.2,39.31,344130
2016-12-21 07:00:00+07:00,39.69,39.44,40.07,39.37,196240
2016-12-22 07:00:00+07:00,41.54,40.46,41.66,40.39,613300
2016-12-23 07:00:00+07:00,41.54,41.66,41.66,41.22,225270
2016-12-26 07:00:00+07:00,41.54,41.54,42.49,41.54,148910
2016-12-27 07:00:00+07:00,41.34,41.54,41.66,41.09,125060
2016-12-28 07:00:00+07:00,40.52,41.54,41.66,40.52,325410
2016-12-29 07:00:00+07:00,40.65,40.84,40.9,40.58,122990
2016-12-30 07:00:00+07:00,41.22,40.71,41.34,40.71,334620
2017-01-03 07:00:00+07:00,41.6,41.22,41.98,41.22,397760
2017-01-04 07:00:00+07:00,42.33,42.0,42.33,41.8,446480
2017-01-05 07:00:00+07:00,42.07,42.67,42.67,41.93,228380
2017-01-06 07:00:00+07:00,42.13,41.8,42.13,41.6,337680
2017-01-09 07:00:00+07:00,41.73,42.13,42.13,41.67,233660
2017-01-10 07:00:00+07:00,42.47,42.27,43.33,42.27,488910
2017-01-11 07:00:00+07:00,42.2,42.47,42.67,42.2,252010
2017-01-12 07:00:00+07:00,41.8,42.33,42.33,41.8,164770
2017-01-13 07:00:00+07:00,41.8,41.8,41.93,41.67,226450
2017-01-16 07:00:00+07:00,41.8,42.0,42.0,41.67,124960
2017-01-17 07:00:00+07:00,41.8,41.8,42.0,41.53,147390
2017-01-18 07:00:00+07:00,41.67,41.87,41.87,41.6,95680
2017-01-19 07:00:00+07:00,41.33,41.73,41.73,41.33,304740
2017-01-20 07:00:00+07:00,41.0,41.53,41.53,41.0,448800
2017-01-23 07:00:00+07:00,41.2,41.6,41.8,41.0,221960
2017-01-24 07:00:00+07:00,41.2,40.45,41.4,40.45,149750
2017-01-25 07:00:00+07:00,41.25,41.25,41.25,40.7,168360
2017-02-02 07:00:00+07:00,42.2,41.25,42.35,41.25,212950
2017-02-03 07:00:00+07:00,42.3,42.2,43.2,42.2,354630
2017-02-06 07:00:00+07:00,42.6,42.7,42.7,42.0,266640
2017-02-07 07:00:00+07:00,42.6,42.6,42.6,42.3,435880
2017-02-08 07:00:00+07:00,42.6,42.6,42.6,42.45,174120
2017-02-09 07:00:00+07:00,42.5,42.5,42.6,42.35,398110
2017-02-10 07:00:00+07:00,42.0,42.5,42.5,41.7,342780
2017-02-13 07:00:00+07:00,41.8,42.0,42.0,41.45,369880
2017-02-14 07:00:00+07:00,41.5,41.5,41.6,41.3,375630
2017-02-15 07:00:00+07:00,41.95,41.4,42.2,41.3,329800
2017-02-16 07:00:00+07:00,41.95,42.0,43.0,41.7,542230
2017-02-17 07:00:00+07:00,41.7,42.0,42.3,41.6,386090
2017-02-20 07:00:00+07:00,42.0,41.75,43.0,41.4,314390
2017-02-21 07:00:00+07:00,42.55,42.2,42.6,41.8,582730
2017-02-22 07:00:00+07:00,42.2,42.5,42.7,42.15,415910
2017-02-23 07:00:00+07:00,42.2,42.3,42.3,41.85,297310
2017-02-24 07:00:00+07:00,41.7,42.0,42.0,41.55,371930
2017-02-27 07:00:00+07:00,41.0,41.4,41.4,40.1,880600
2017-02-28 07:00:00+07:00,41.0,41.0,41.2,40.85,787290
2017-03-01 07:00:00+07:00,41.0,40.8,41.0,40.55,367950
2017-03-02 07:00:00+07:00,40.9,40.8,40.9,40.55,343710
2017-03-03 07:00:00+07:00,41.0,40.9,41.0,40.55,407300
2017-03-06 07:00:00+07:00,41.0,40.8,41.0,40.75,416780
2017-03-07 07:00:00+07:00,41.0,41.0,41.0,40.6,401910
2017-03-08 07:00:00+07:00,41.7,41.0,42.0,40.7,395320
2017-03-09 07:00:00+07:00,41.75,41.6,41.8,41.5,237350
2017-03-10 07:00:00+07:00,41.75,41.85,41.85,41.5,233160
