Date,Close,Open,High,Low,Volumn
2016-12-06 07:00:00+07:00,123.34,123.34,123.34,123.34,3010
2016-12-07 07:00:00+07:00,131.93,131.93,131.93,131.93,30
2016-12-08 07:00:00+07:00,141.09,141.09,141.09,141.09,1000
2016-12-09 07:00:00+07:00,150.9,141.09,150.9,141.09,3010
2016-12-12 07:00:00+07:00,161.46,161.46,161.46,161.46,35690
2016-12-13 07:00:00+07:00,172.67,172.67,172.67,172.67,96830
2016-12-14 07:00:00+07:00,184.72,184.72,184.72,184.72,154380
2016-12-15 07:00:00+07:00,197.62,197.62,197.62,196.21,380050
2016-12-16 07:00:00+07:00,210.23,211.44,211.44,186.87,387520
2016-12-19 07:00:00+07:00,198.08,198.08,210.23,198.08,168190
2016-12-20 07:00:00+07:00,184.26,197.15,197.62,184.26,399710
2016-12-21 07:00:00+07:00,187.62,184.26,190.14,172.86,241750
2016-12-22 07:00:00+07:00,189.67,196.12,196.12,189.67,52460
2016-12-23 07:00:00+07:00,186.87,189.67,189.67,184.16,54810
2016-12-26 07:00:00+07:00,186.87,187.82,187.82,180.23,169870
2016-12-27 07:00:00+07:00,187.82,186.87,189.53,183.17,69880
2016-12-28 07:00:00+07:00,188.67,189.53,189.53,186.97,28530
2016-12-29 07:00:00+07:00,186.87,187.82,187.82,183.08,98560
2016-12-30 07:00:00+07:00,187.53,187.82,187.82,185.45,96740
2017-01-03 07:00:00+07:00,186.87,187.53,187.53,185.83,63170
2017-01-04 07:00:00+07:00,186.87,186.87,188.39,184.97,87490
2017-01-05 07:00:00+07:00,186.97,186.87,187.82,185.92,27170
2017-01-06 07:00:00+07:00,195.41,187.72,199.11,187.06,212390
2017-01-09 07:00:00+07:00,194.46,195.41,197.31,194.46,31390
2017-01-10 07:00:00+07:00,193.99,196.26,196.26,191.14,44540
2017-01-11 07:00:00+07:00,199.2,193.51,199.2,191.61,228480
2017-01-12 07:00:00+07:00,199.77,202.05,202.05,199.2,55290
2017-01-13 07:00:00+07:00,200.91,199.87,201.29,199.77,37670
2017-01-16 07:00:00+07:00,198.25,200.15,200.15,197.31,33890
2017-01-17 07:00:00+07:00,205.37,197.78,206.22,197.4,113760
2017-01-18 07:00:00+07:00,212.29,204.23,213.43,204.23,103480
2017-01-19 07:00:00+07:00,212.29,213.43,213.43,208.69,40040
2017-01-20 07:00:00+07:00,212.29,211.53,213.53,211.53,77940
2017-01-23 07:00:00+07:00,210.59,212.29,212.29,209.16,44360
2017-01-24 07:00:00+07:00,210.59,208.69,212.48,208.69,137100
2017-01-25 07:00:00+07:00,212.29,210.59,212.29,208.69,18800
2017-02-02 07:00:00+07:00,207.74,212.39,212.39,207.74,18560
2017-02-03 07:00:00+07:00,205.84,206.22,211.44,205.27,51700
2017-02-06 07:00:00+07:00,203.94,208.21,208.21,200.63,50070
2017-02-07 07:00:00+07:00,204.89,203.94,208.69,202.05,76580
2017-02-08 07:00:00+07:00,204.23,204.89,205.84,203.94,36350
2017-02-09 07:00:00+07:00,200.15,204.23,204.23,197.31,150070
2017-02-10 07:00:00+07:00,202.24,200.15,203.0,200.15,35880
2017-02-13 07:00:00+07:00,202.43,202.24,203.66,199.2,25240
2017-02-14 07:00:00+07:00,204.89,202.43,205.75,202.14,72220
2017-02-15 07:00:00+07:00,202.9,204.89,204.89,201.86,84300
2017-02-16 07:00:00+07:00,204.32,203.0,204.89,203.0,44230
2017-02-17 07:00:00+07:00,203.66,203.94,203.94,203.0,34430
2017-02-20 07:00:00+07:00,206.79,202.33,206.79,202.24,103930
2017-02-21 07:00:00+07:00,208.31,206.41,208.69,206.41,34930
2017-02-22 07:00:00+07:00,212.77,208.21,212.96,208.21,100360
2017-02-23 07:00:00+07:00,215.33,213.34,215.33,212.48,130020
2017-02-24 07:00:00+07:00,215.33,216.28,218.17,214.38,107840
2017-02-27 07:00:00+07:00,213.53,212.96,216.18,212.48,61270
2017-02-28 07:00:00+07:00,213.53,213.91,214.57,213.53,50720
2017-03-01 07:00:00+07:00,214.28,214.38,214.38,213.43,69440
2017-03-02 07:00:00+07:00,213.34,215.33,215.33,207.93,30250
2017-03-03 07:00:00+07:00,213.81,211.53,213.81,209.64,20670
2017-03-06 07:00:00+07:00,212.96,213.43,213.91,210.59,32990
2017-03-07 07:00:00+07:00,211.15,213.34,213.43,211.15,35720
2017-03-08 07:00:00+07:00,207.64,211.15,211.15,207.17,14120
2017-03-09 07:00:00+07:00,204.89,204.99,209.64,201.1,56450
2017-03-10 07:00:00+07:00,200.15,204.89,204.89,200.15,17550
2017-03-13 07:00:00+07:00,196.36,200.15,200.15,195.79,30560
2017-03-14 07:00:00+07:00,203.0,196.36,205.84,192.75,54260
2017-03-15 07:00:00+07:00,200.72,203.0,203.94,200.15,13250
2017-03-16 07:00:00+07:00,201.95,200.72,203.0,194.93,7450
2017-03-17 07:00:00+07:00,197.31,201.95,201.95,197.31,14250
2017-03-20 07:00:00+07:00,198.25,197.31,199.11,197.31,7670
2017-03-21 07:00:00+07:00,194.65,198.25,198.25,194.27,61100
2017-03-22 07:00:00+07:00,192.56,194.65,195.31,190.19,42630
2017-03-23 07:00:00+07:00,191.61,191.9,194.27,190.19,20840
2017-03-24 07:00:00+07:00,189.72,191.61,191.71,188.86,101770
2017-03-27 07:00:00+07:00,189.72,189.72,190.19,188.77,25830
2017-03-28 07:00:00+07:00,188.77,190.67,191.61,188.77,55080
2017-03-29 07:00:00+07:00,189.72,187.91,194.46,187.82,35850
2017-03-30 07:00:00+07:00,191.61,189.72,191.61,189.72,11700
2017-03-31 07:00:00+07:00,189.72,191.61,191.61,189.72,10830
2017-04-03 07:00:00+07:00,190.1,189.72,191.52,189.72,20480
2017-04-04 07:00:00+07:00,190.1,189.15,190.1,189.15,11070
2017-04-05 07:00:00+07:00,192.56,192.09,192.56,190.29,24480
