Date,Close,Open,High,Low,Volumn
2016-03-29 07:00:00+07:00,17.98,18.41,18.41,17.81,4117880
2016-03-30 07:00:00+07:00,18.15,17.9,18.32,17.9,2057640
2016-03-31 07:00:00+07:00,17.98,18.15,18.32,17.9,2005320
2016-04-01 07:00:00+07:00,18.07,17.98,18.15,17.81,1877190
2016-04-04 07:00:00+07:00,18.15,18.07,18.24,17.9,1364350
2016-04-05 07:00:00+07:00,18.49,18.15,18.49,18.15,1810570
2016-04-06 07:00:00+07:00,18.58,18.49,18.66,18.49,1448590
2016-04-07 07:00:00+07:00,18.66,18.66,18.83,18.58,1745780
2016-04-08 07:00:00+07:00,18.49,18.58,18.75,18.49,2195720
2016-04-11 07:00:00+07:00,18.66,18.49,18.83,18.49,2214310
2016-04-12 07:00:00+07:00,18.58,18.66,18.75,18.58,1695110
2016-04-13 07:00:00+07:00,18.49,18.58,18.66,18.41,1777940
2016-04-14 07:00:00+07:00,18.49,18.49,18.66,18.41,1749110
2016-04-15 07:00:00+07:00,18.41,18.58,18.75,18.41,1525590
2016-04-19 07:00:00+07:00,18.15,18.41,18.49,17.98,2583780
2016-04-20 07:00:00+07:00,18.07,18.32,18.32,17.81,2188050
2016-04-21 07:00:00+07:00,18.07,18.32,18.32,17.98,1740550
2016-04-22 07:00:00+07:00,18.32,18.07,18.32,18.07,1503600
2016-04-25 07:00:00+07:00,18.83,18.49,18.92,18.49,4292840
2016-04-26 07:00:00+07:00,19.09,18.75,19.09,18.66,3508360
2016-04-27 07:00:00+07:00,18.66,19.09,19.09,18.66,1448130
2016-04-28 07:00:00+07:00,18.49,18.66,18.66,18.32,1138920
2016-04-29 07:00:00+07:00,18.24,18.49,18.49,18.24,1978300
2016-05-04 07:00:00+07:00,18.24,18.32,18.41,18.07,1398160
2016-05-05 07:00:00+07:00,18.24,18.24,18.41,18.15,1019120
2016-05-06 07:00:00+07:00,18.24,18.15,18.49,18.15,999080
2016-05-09 07:00:00+07:00,18.07,18.32,18.49,18.07,1094180
2016-05-10 07:00:00+07:00,17.73,17.9,17.98,17.73,1923510
2016-05-11 07:00:00+07:00,17.39,17.64,17.64,17.13,3356460
2016-05-12 07:00:00+07:00,17.39,17.39,17.56,17.21,1717150
2016-05-13 07:00:00+07:00,17.21,17.3,17.39,17.04,1717600
2016-05-16 07:00:00+07:00,17.56,17.21,17.64,17.04,2069630
2016-05-17 07:00:00+07:00,17.73,17.81,17.81,17.56,1380160
2016-05-18 07:00:00+07:00,17.64,17.73,17.81,17.47,988300
2016-05-19 07:00:00+07:00,17.56,17.56,17.64,17.47,632580
2016-05-20 07:00:00+07:00,17.64,17.47,17.64,17.39,772070
2016-05-23 07:00:00+07:00,17.73,17.64,17.73,17.47,541500
2016-05-24 07:00:00+07:00,17.64,17.56,17.73,17.47,577860
2016-05-25 07:00:00+07:00,17.56,17.56,17.9,17.56,1697240
2016-05-26 07:00:00+07:00,17.47,17.64,17.73,17.39,786180
2016-05-27 07:00:00+07:00,17.73,17.3,17.81,17.3,1666850
2016-05-30 07:00:00+07:00,18.41,17.81,18.41,17.73,3324320
2016-05-31 07:00:00+07:00,18.32,18.49,18.49,18.24,1434990
2016-06-01 07:00:00+07:00,18.15,18.24,18.75,18.15,1728430
2016-06-02 07:00:00+07:00,18.24,18.15,18.24,17.98,1334860
2016-06-03 07:00:00+07:00,18.15,18.32,18.49,18.15,1096410
2016-06-06 07:00:00+07:00,17.98,18.07,18.24,17.9,974990
2016-06-07 07:00:00+07:00,18.07,17.98,18.24,17.98,677330
2016-06-08 07:00:00+07:00,18.32,18.15,18.41,18.15,1455280
2016-06-09 07:00:00+07:00,18.58,18.32,18.92,18.24,3854420
2016-06-10 07:00:00+07:00,18.75,18.66,19.0,18.58,2808780
2016-06-13 07:00:00+07:00,18.41,18.49,18.66,18.32,1180020
2016-06-14 07:00:00+07:00,18.32,18.24,18.41,18.15,901450
2016-06-15 07:00:00+07:00,18.07,18.15,18.24,17.98,1385030
2016-06-16 07:00:00+07:00,18.07,18.07,18.32,17.98,1109590
2016-06-17 07:00:00+07:00,17.47,17.9,17.98,17.47,5363960
2016-06-20 07:00:00+07:00,17.81,17.9,17.9,17.64,1028350
2016-06-21 07:00:00+07:00,17.81,17.9,18.07,17.73,1059890
2016-06-22 07:00:00+07:00,17.73,17.81,17.9,17.64,1222010
2016-06-23 07:00:00+07:00,17.73,17.64,17.9,17.64,1274080
2016-06-24 07:00:00+07:00,17.3,17.9,17.9,16.53,2650420
2016-06-27 07:00:00+07:00,17.21,17.13,17.39,16.87,831540
2016-06-28 07:00:00+07:00,17.3,17.13,17.39,17.13,646550
2016-06-29 07:00:00+07:00,17.81,17.39,17.81,17.39,1542610
2016-06-30 07:00:00+07:00,17.73,17.81,17.98,17.47,1621390
2016-07-01 07:00:00+07:00,17.56,17.73,17.81,17.56,1189520
2016-07-04 07:00:00+07:00,18.75,17.81,18.75,17.81,4427420
2016-07-05 07:00:00+07:00,19.09,19.18,19.52,19.0,6599490
2016-07-06 07:00:00+07:00,19.09,18.92,19.26,18.83,2502190
2016-07-07 07:00:00+07:00,19.18,19.26,19.34,19.0,2820020
2016-07-08 07:00:00+07:00,19.34,19.18,19.6,19.09,4640490
2016-07-11 07:00:00+07:00,19.6,19.6,20.2,19.43,6262570
2016-07-12 07:00:00+07:00,19.94,19.94,20.11,19.6,3720810
2016-07-13 07:00:00+07:00,20.54,20.2,20.71,20.11,6090470
2016-07-14 07:00:00+07:00,20.11,20.62,20.62,20.11,4051720
2016-07-15 07:00:00+07:00,20.03,20.03,20.2,19.77,3453740
2016-07-18 07:00:00+07:00,20.2,19.94,20.28,19.94,2342070
2016-07-19 07:00:00+07:00,20.54,20.37,21.05,20.03,6465910
2016-07-20 07:00:00+07:00,20.2,20.62,20.71,20.11,2358760
2016-07-21 07:00:00+07:00,19.6,20.2,20.2,19.6,3986980
