Date,Close,Open,High,Low,Volumn
2016-10-18 07:00:00+07:00,3.49,3.64,3.64,3.34,65300
2016-10-19 07:00:00+07:00,3.49,3.44,3.49,3.44,25200
2016-10-20 07:00:00+07:00,3.39,3.44,3.44,3.34,59800
2016-10-21 07:00:00+07:00,3.34,3.39,3.39,3.34,52800
2016-10-24 07:00:00+07:00,3.34,3.34,3.34,3.29,54600
2016-10-25 07:00:00+07:00,3.34,3.34,3.44,3.29,54700
2016-10-26 07:00:00+07:00,3.24,3.29,3.34,3.24,55300
2016-10-27 07:00:00+07:00,3.29,3.24,3.34,3.24,58300
2016-10-28 07:00:00+07:00,3.24,3.24,3.29,3.24,56100
2016-10-31 07:00:00+07:00,3.39,3.24,3.44,3.24,53800
2016-11-01 07:00:00+07:00,3.34,3.34,3.34,3.29,56800
2016-11-02 07:00:00+07:00,3.44,3.29,3.49,3.29,59000
2016-11-03 07:00:00+07:00,3.59,3.44,3.59,3.44,61400
2016-11-04 07:00:00+07:00,3.54,3.54,3.54,3.49,42400
2016-11-07 07:00:00+07:00,3.59,3.54,3.64,3.54,52200
2016-11-08 07:00:00+07:00,3.59,3.59,3.59,3.54,54800
2016-11-09 07:00:00+07:00,3.74,3.59,3.74,3.49,68200
2016-11-10 07:00:00+07:00,3.74,3.68,3.78,3.68,53500
2016-11-11 07:00:00+07:00,3.74,3.74,3.78,3.68,56700
2016-11-14 07:00:00+07:00,3.74,3.74,3.74,3.64,54800
2016-11-15 07:00:00+07:00,3.74,3.74,3.74,3.68,41000
2016-11-16 07:00:00+07:00,3.68,3.74,3.78,3.68,50700
2016-11-17 07:00:00+07:00,3.74,3.68,3.74,3.68,54500
2016-11-18 07:00:00+07:00,3.74,3.68,3.78,3.68,52100
2016-11-21 07:00:00+07:00,3.78,3.74,3.78,3.74,53100
2016-11-22 07:00:00+07:00,3.74,3.68,3.78,3.68,51300
2016-11-23 07:00:00+07:00,3.74,3.74,3.78,3.74,51400
2016-11-24 07:00:00+07:00,3.74,3.68,3.78,3.68,52600
2016-11-25 07:00:00+07:00,3.78,3.74,3.83,3.68,57100
2016-11-28 07:00:00+07:00,3.74,3.68,3.78,3.68,49700
2016-11-29 07:00:00+07:00,3.74,3.74,3.74,3.68,50500
2016-11-30 07:00:00+07:00,3.74,3.74,3.78,3.68,51300
2016-12-01 07:00:00+07:00,3.78,3.74,3.78,3.68,52270
2016-12-02 07:00:00+07:00,3.64,3.78,3.78,3.64,46300
2016-12-05 07:00:00+07:00,3.64,3.64,3.68,3.59,53800
2016-12-06 07:00:00+07:00,3.74,3.68,3.78,3.68,52600
2016-12-07 07:00:00+07:00,3.83,3.74,3.88,3.74,51400
2016-12-08 07:00:00+07:00,3.78,3.83,4.03,3.78,53900
2016-12-09 07:00:00+07:00,3.78,3.83,3.83,3.78,54100
2016-12-12 07:00:00+07:00,3.78,3.78,3.78,3.78,100000
2016-12-13 07:00:00+07:00,3.78,3.78,3.78,3.78,100100
2016-12-14 07:00:00+07:00,3.74,3.74,3.74,3.74,20000
2016-12-15 07:00:00+07:00,3.68,3.68,3.68,3.68,20000
2016-12-16 07:00:00+07:00,3.64,3.68,3.68,3.64,23600
2016-12-19 07:00:00+07:00,3.59,3.74,3.74,3.49,300900
2016-12-20 07:00:00+07:00,3.49,3.49,3.49,3.49,100
2016-12-21 07:00:00+07:00,2.99,2.99,2.99,2.99,2400
2016-12-22 07:00:00+07:00,2.74,2.59,3.44,2.54,7200
2016-12-23 07:00:00+07:00,3.49,2.84,3.68,2.79,7100
2016-12-26 07:00:00+07:00,4.08,3.14,4.08,3.14,14300
2016-12-27 07:00:00+07:00,4.28,4.28,4.28,3.19,48500
2016-12-28 07:00:00+07:00,4.78,4.78,4.78,4.18,51100
2016-12-29 07:00:00+07:00,5.48,5.48,5.48,4.08,45700
2016-12-30 07:00:00+07:00,6.12,6.12,6.12,5.33,30700
2017-01-03 07:00:00+07:00,6.97,6.97,6.97,6.97,28300
2017-01-04 07:00:00+07:00,8.02,8.02,8.02,8.02,39600
2017-01-05 07:00:00+07:00,9.21,9.21,9.21,8.72,338100
2017-01-06 07:00:00+07:00,10.56,9.21,10.56,9.21,609300
2017-01-09 07:00:00+07:00,12.0,10.56,12.0,10.46,401200
2017-01-10 07:00:00+07:00,12.8,12.0,12.8,10.16,543300
2017-01-11 07:00:00+07:00,10.71,11.45,12.6,10.41,386800
2017-01-12 07:00:00+07:00,10.16,10.46,10.46,9.96,240000
2017-01-13 07:00:00+07:00,10.11,10.11,10.61,9.96,177000
2017-01-16 07:00:00+07:00,9.06,10.06,10.46,9.01,426800
2017-01-17 07:00:00+07:00,9.16,9.41,9.41,8.96,314700
2017-01-18 07:00:00+07:00,9.11,9.06,9.21,9.06,192600
2017-01-19 07:00:00+07:00,9.16,9.06,9.21,9.06,226500
2017-01-20 07:00:00+07:00,7.97,9.21,9.21,7.82,286400
2017-01-23 07:00:00+07:00,9.46,8.27,9.46,7.82,298900
2017-01-24 07:00:00+07:00,10.21,10.21,10.21,9.46,101000
2017-01-25 07:00:00+07:00,11.65,11.65,11.65,10.16,318700
2017-02-02 07:00:00+07:00,13.3,11.65,13.3,10.71,771400
2017-02-03 07:00:00+07:00,14.24,13.45,14.24,12.55,568800
2017-02-06 07:00:00+07:00,12.0,14.29,14.29,11.85,385100
2017-02-07 07:00:00+07:00,10.31,10.46,11.95,10.26,197400
2017-02-08 07:00:00+07:00,9.56,10.46,10.46,9.46,197600
2017-02-09 07:00:00+07:00,9.96,8.96,9.96,8.96,408000
2017-02-10 07:00:00+07:00,10.36,9.76,10.36,9.61,419800
2017-02-13 07:00:00+07:00,10.31,10.21,10.61,9.96,483600
2017-02-14 07:00:00+07:00,9.01,10.11,10.11,8.96,264300
2017-02-15 07:00:00+07:00,8.47,8.96,9.06,8.22,206800
2017-02-16 07:00:00+07:00,8.47,8.47,8.52,8.22,181500
2017-02-17 07:00:00+07:00,7.37,8.42,8.42,7.17,491300
2017-02-20 07:00:00+07:00,7.42,7.67,7.67,7.27,184400
2017-02-21 07:00:00+07:00,7.47,7.32,7.62,7.17,85700
2017-02-22 07:00:00+07:00,6.47,7.57,7.57,6.32,145600
2017-02-23 07:00:00+07:00,6.97,6.92,7.07,6.72,79200
2017-02-24 07:00:00+07:00,6.12,6.92,7.07,5.93,186000
2017-02-27 07:00:00+07:00,6.22,5.73,6.72,5.73,298700
2017-02-28 07:00:00+07:00,6.37,5.98,6.57,5.78,165300
2017-03-01 07:00:00+07:00,6.22,6.07,6.52,5.98,233500
2017-03-02 07:00:00+07:00,6.97,6.22,6.97,6.22,689000
2017-03-03 07:00:00+07:00,7.82,7.82,7.82,7.07,692400
2017-03-06 07:00:00+07:00,8.81,8.72,8.81,7.67,1277300
2017-03-07 07:00:00+07:00,7.92,8.72,9.01,7.32,843100
2017-03-08 07:00:00+07:00,7.22,7.87,7.92,6.47,617800
2017-03-09 07:00:00+07:00,7.57,7.02,7.72,6.82,654600
2017-03-10 07:00:00+07:00,7.37,7.22,7.92,7.12,756200
2017-03-13 07:00:00+07:00,7.12,7.32,7.32,6.92,574900
2017-03-14 07:00:00+07:00,7.07,7.22,7.47,6.97,363700
2017-03-15 07:00:00+07:00,6.92,7.07,7.07,6.92,232900
2017-03-16 07:00:00+07:00,6.22,6.97,7.32,5.93,1221900
2017-03-17 07:00:00+07:00,5.93,6.18,6.28,5.68,468100
2017-03-20 07:00:00+07:00,5.83,5.98,5.98,5.73,203500
2017-03-21 07:00:00+07:00,5.43,5.73,5.73,5.08,253600
2017-03-22 07:00:00+07:00,5.69,5.27,6.17,5.27,787700
2017-03-23 07:00:00+07:00,5.53,5.74,5.74,5.32,357200
2017-03-24 07:00:00+07:00,5.59,5.59,5.8,5.48,452800
2017-03-27 07:00:00+07:00,5.43,5.64,5.69,5.38,274400
2017-03-28 07:00:00+07:00,5.69,5.53,5.74,5.43,412800
2017-03-29 07:00:00+07:00,5.64,5.59,5.69,5.53,346500
2017-03-30 07:00:00+07:00,5.85,5.59,6.11,5.48,765600
2017-03-31 07:00:00+07:00,5.85,5.8,6.11,5.64,830000
2017-04-03 07:00:00+07:00,5.85,5.8,6.06,5.64,468500
2017-04-04 07:00:00+07:00,5.64,5.85,5.96,5.53,340200
2017-04-05 07:00:00+07:00,5.53,5.64,5.8,5.38,448420
2017-04-07 07:00:00+07:00,5.22,5.53,5.53,5.06,470600
2017-04-10 07:00:00+07:00,5.06,5.27,5.43,4.85,437700
2017-04-11 07:00:00+07:00,4.9,5.01,5.01,4.69,323400
2017-04-12 07:00:00+07:00,5.06,4.9,5.11,4.64,299700
2017-04-13 07:00:00+07:00,4.9,4.9,5.06,4.69,362300
2017-04-14 07:00:00+07:00,4.8,5.06,5.06,4.74,307600
2017-04-17 07:00:00+07:00,5.01,4.85,5.06,4.74,516400
2017-04-18 07:00:00+07:00,5.06,4.9,5.06,4.85,348810
2017-04-19 07:00:00+07:00,5.01,5.06,5.06,5.01,178500
2017-04-20 07:00:00+07:00,5.06,5.06,5.11,5.01,257610
2017-04-21 07:00:00+07:00,5.01,5.11,5.17,5.01,235300
2017-04-24 07:00:00+07:00,5.06,5.06,5.11,5.06,251500
2017-04-25 07:00:00+07:00,4.9,4.95,5.06,4.85,284500
2017-04-26 07:00:00+07:00,4.9,5.06,5.11,4.8,194300
2017-04-27 07:00:00+07:00,5.11,5.01,5.17,4.9,131300
2017-04-28 07:00:00+07:00,5.01,5.06,5.17,5.01,129500
2017-05-03 07:00:00+07:00,5.27,5.17,5.43,5.11,265300
2017-05-04 07:00:00+07:00,5.27,5.38,5.38,5.22,202500
2017-05-05 07:00:00+07:00,5.22,5.38,5.38,5.22,91100
2017-05-08 07:00:00+07:00,5.22,5.32,5.32,5.22,150300
2017-05-09 07:00:00+07:00,5.22,5.27,5.32,5.22,86100
2017-05-10 07:00:00+07:00,5.69,5.27,5.74,5.27,420200
2017-05-11 07:00:00+07:00,5.69,5.74,5.8,5.48,280400
2017-05-12 07:00:00+07:00,5.59,5.64,6.01,5.43,362500
2017-05-15 07:00:00+07:00,5.53,5.59,5.69,5.32,217600
2017-05-16 07:00:00+07:00,5.48,5.48,5.48,5.27,158300
2017-05-17 07:00:00+07:00,5.32,5.38,5.43,5.27,175100
2017-05-18 07:00:00+07:00,5.22,5.27,5.32,5.22,141800
2017-05-19 07:00:00+07:00,5.06,4.9,5.32,4.9,119700
2017-05-22 07:00:00+07:00,5.17,5.11,5.43,5.01,200500
2017-05-23 07:00:00+07:00,5.22,5.27,5.53,5.17,158100
2017-05-24 07:00:00+07:00,5.11,5.27,5.27,5.06,108000
2017-05-25 07:00:00+07:00,5.06,5.11,5.17,5.01,108800
2017-05-26 07:00:00+07:00,5.01,5.01,5.27,4.95,118300
2017-05-29 07:00:00+07:00,4.9,5.06,5.11,4.9,256400
2017-05-30 07:00:00+07:00,4.85,4.95,5.01,4.8,155600
2017-05-31 07:00:00+07:00,4.85,4.8,4.85,4.8,108800
2017-06-01 07:00:00+07:00,4.9,4.8,5.01,4.8,118600
2017-06-02 07:00:00+07:00,4.85,4.9,4.95,4.74,103300
2017-06-05 07:00:00+07:00,4.85,4.85,4.9,4.8,279700
