Date,Close,Open,High,Low,Volumn
2016-10-18 07:00:00+07:00,35.46,35.54,35.54,35.12,320680
2016-10-19 07:00:00+07:00,36.2,35.41,36.2,35.29,654870
2016-10-20 07:00:00+07:00,35.78,36.03,36.03,35.54,331270
2016-10-21 07:00:00+07:00,35.54,35.78,35.78,35.29,751380
2016-10-24 07:00:00+07:00,35.54,35.54,35.54,35.12,587640
2016-10-25 07:00:00+07:00,35.29,35.04,35.41,34.96,555710
2016-10-26 07:00:00+07:00,35.08,35.04,35.37,34.71,434490
2016-10-27 07:00:00+07:00,35.37,35.04,35.46,34.71,1053560
2016-10-28 07:00:00+07:00,35.41,35.37,35.7,35.21,711780
2016-10-31 07:00:00+07:00,35.12,35.12,35.74,34.96,980500
2016-11-01 07:00:00+07:00,35.33,35.12,35.41,35.12,207880
2016-11-02 07:00:00+07:00,34.96,35.37,35.7,34.96,481870
2016-11-03 07:00:00+07:00,35.04,34.79,35.37,34.59,488460
2016-11-04 07:00:00+07:00,35.04,34.71,35.29,34.71,166620
2016-11-07 07:00:00+07:00,35.33,35.04,35.41,34.96,195260
2016-11-08 07:00:00+07:00,35.37,35.29,35.46,35.21,351360
2016-11-09 07:00:00+07:00,35.12,35.46,35.46,34.71,846210
2016-11-10 07:00:00+07:00,35.37,35.37,35.54,35.21,254060
2016-11-11 07:00:00+07:00,36.36,35.37,36.36,35.0,1006070
2016-11-14 07:00:00+07:00,35.46,36.12,37.02,35.46,1412440
2016-11-15 07:00:00+07:00,35.33,35.54,35.95,35.16,404110
2016-11-16 07:00:00+07:00,35.29,35.33,35.78,35.21,465120
2016-11-17 07:00:00+07:00,35.29,35.21,35.37,34.75,993910
2016-11-18 07:00:00+07:00,35.21,35.54,35.54,34.96,376190
2016-11-21 07:00:00+07:00,35.21,35.12,35.21,34.88,326180
2016-11-22 07:00:00+07:00,35.21,35.04,35.29,35.04,261260
2016-11-23 07:00:00+07:00,35.29,35.21,35.37,35.16,286930
2016-11-24 07:00:00+07:00,35.12,35.29,35.29,34.75,619360
2016-11-25 07:00:00+07:00,35.12,34.96,35.12,34.3,1651400
2016-11-28 07:00:00+07:00,35.12,34.54,35.12,33.97,1107530
2016-11-29 07:00:00+07:00,34.3,35.12,35.12,34.3,986930
2016-11-30 07:00:00+07:00,34.71,33.93,34.71,33.39,1461410
2016-12-01 07:00:00+07:00,34.71,34.79,34.88,34.3,701120
2016-12-02 07:00:00+07:00,34.71,34.3,34.88,34.3,627590
2016-12-05 07:00:00+07:00,34.67,34.71,34.84,34.22,672940
2016-12-06 07:00:00+07:00,34.46,34.63,34.63,33.84,563020
2016-12-07 07:00:00+07:00,34.71,34.46,34.79,33.76,981090
2016-12-08 07:00:00+07:00,34.71,34.3,34.71,34.3,713700
2016-12-09 07:00:00+07:00,34.71,34.71,34.71,34.05,705920
2016-12-12 07:00:00+07:00,34.71,34.38,34.71,34.13,756230
2016-12-13 07:00:00+07:00,34.71,34.71,34.71,33.97,1231230
2016-12-14 07:00:00+07:00,35.08,34.71,35.12,34.38,830990
2016-12-15 07:00:00+07:00,34.71,34.96,35.04,34.59,388600
2016-12-16 07:00:00+07:00,35.12,34.71,35.12,34.17,3293250
2016-12-19 07:00:00+07:00,35.37,35.21,35.78,35.21,620190
2016-12-20 07:00:00+07:00,34.59,35.25,35.54,34.59,876460
2016-12-21 07:00:00+07:00,34.22,34.59,34.59,34.13,766850
2016-12-22 07:00:00+07:00,34.71,34.38,34.79,34.17,667670
2016-12-23 07:00:00+07:00,34.79,34.38,34.79,34.38,282360
2016-12-26 07:00:00+07:00,34.71,34.88,34.88,34.63,205460
2016-12-27 07:00:00+07:00,34.96,34.79,35.25,34.71,260080
2016-12-28 07:00:00+07:00,34.38,35.08,35.08,34.34,1112890
2016-12-29 07:00:00+07:00,34.63,34.38,34.75,34.38,386900
2016-12-30 07:00:00+07:00,34.71,34.38,34.71,34.38,704400
2017-01-03 07:00:00+07:00,34.38,34.71,34.71,34.38,321500
2017-01-04 07:00:00+07:00,34.75,34.38,34.75,34.38,314110
2017-01-05 07:00:00+07:00,34.96,34.63,35.04,34.63,359450
2017-01-06 07:00:00+07:00,35.62,35.04,35.95,35.0,850050
2017-01-09 07:00:00+07:00,35.7,35.78,35.95,35.7,459010
2017-01-10 07:00:00+07:00,35.46,35.7,35.78,35.41,432520
2017-01-11 07:00:00+07:00,35.54,35.46,35.91,35.21,415040
2017-01-12 07:00:00+07:00,35.54,35.7,35.78,35.41,518850
2017-01-13 07:00:00+07:00,35.78,35.58,35.91,35.5,506040
2017-01-16 07:00:00+07:00,35.41,35.78,35.78,35.41,249960
2017-01-17 07:00:00+07:00,35.25,35.54,35.54,34.96,662430
2017-01-18 07:00:00+07:00,34.79,34.96,35.25,34.79,743470
2017-01-19 07:00:00+07:00,34.71,34.79,34.96,34.54,1160620
2017-01-20 07:00:00+07:00,34.71,34.84,34.88,34.59,714290
2017-01-23 07:00:00+07:00,34.71,34.88,34.88,34.46,729750
2017-01-24 07:00:00+07:00,34.3,34.88,34.88,34.3,539560
2017-01-25 07:00:00+07:00,34.71,34.63,34.71,34.3,788030
2017-02-02 07:00:00+07:00,35.12,34.96,35.41,34.96,390520
2017-02-03 07:00:00+07:00,34.71,35.12,35.12,34.67,397270
2017-02-06 07:00:00+07:00,35.04,35.12,35.21,34.71,473180
2017-02-07 07:00:00+07:00,35.37,35.04,35.37,34.88,794850
2017-02-08 07:00:00+07:00,35.33,35.46,35.46,35.29,334800
2017-02-09 07:00:00+07:00,35.25,35.37,35.41,35.16,282170
2017-02-10 07:00:00+07:00,35.12,35.21,35.33,34.75,834560
2017-02-13 07:00:00+07:00,35.12,35.12,35.21,34.96,316160
2017-02-14 07:00:00+07:00,35.16,35.21,35.41,35.08,496140
2017-02-15 07:00:00+07:00,36.78,35.21,36.94,35.21,2270860
2017-02-16 07:00:00+07:00,36.36,36.78,36.94,36.36,871460
2017-02-17 07:00:00+07:00,36.36,36.45,36.45,36.03,692670
2017-02-20 07:00:00+07:00,37.44,36.2,37.52,35.78,804050
2017-02-21 07:00:00+07:00,38.39,37.44,38.84,37.44,1291740
2017-02-22 07:00:00+07:00,37.77,38.26,38.68,37.6,885490
2017-02-23 07:00:00+07:00,37.4,37.77,38.02,37.19,584670
2017-02-24 07:00:00+07:00,37.4,37.4,38.02,37.11,508290
2017-02-27 07:00:00+07:00,37.98,37.44,38.43,37.44,788600
2017-02-28 07:00:00+07:00,37.19,38.18,38.18,37.19,1009600
2017-03-01 07:00:00+07:00,36.94,36.94,37.48,36.61,651080
2017-03-02 07:00:00+07:00,36.45,36.86,37.15,36.36,794680
2017-03-03 07:00:00+07:00,36.78,36.74,37.11,36.61,290560
2017-03-06 07:00:00+07:00,36.98,37.11,37.52,36.86,366910
2017-03-07 07:00:00+07:00,37.07,36.98,37.44,36.86,238620
2017-03-08 07:00:00+07:00,36.78,37.07,37.07,36.36,554530
2017-03-09 07:00:00+07:00,36.53,36.78,36.78,36.53,271170
2017-03-10 07:00:00+07:00,36.53,36.4,36.94,36.36,841330
2017-03-13 07:00:00+07:00,36.53,36.86,36.94,36.53,362880
2017-03-14 07:00:00+07:00,36.4,36.53,36.78,36.4,370080
2017-03-15 07:00:00+07:00,35.95,36.45,36.53,35.78,557540
2017-03-16 07:00:00+07:00,36.36,35.7,36.36,35.7,192350
2017-03-17 07:00:00+07:00,36.2,36.53,37.02,36.2,1070220
2017-03-20 07:00:00+07:00,35.78,36.61,36.78,35.78,1170670
2017-03-21 07:00:00+07:00,34.26,36.2,36.2,33.88,6736840
2017-03-22 07:00:00+07:00,34.42,34.26,35.04,34.26,1495860
2017-03-23 07:00:00+07:00,35.12,34.42,35.21,34.42,1028940
2017-03-24 07:00:00+07:00,35.0,34.96,35.08,34.84,1562480
2017-03-27 07:00:00+07:00,35.0,34.79,35.04,34.71,1056690
2017-03-28 07:00:00+07:00,34.71,35.0,35.0,34.71,710950
2017-03-29 07:00:00+07:00,34.88,34.96,35.04,34.71,732520
2017-03-30 07:00:00+07:00,34.88,34.96,35.0,34.71,665180
2017-03-31 07:00:00+07:00,34.54,34.79,35.0,34.54,604220
2017-04-03 07:00:00+07:00,34.3,34.63,34.71,34.3,623430
2017-04-04 07:00:00+07:00,34.71,34.46,34.71,34.34,529490
2017-04-05 07:00:00+07:00,34.38,34.71,34.79,34.38,526530
2017-04-07 07:00:00+07:00,34.71,34.38,34.71,34.3,370920
2017-04-10 07:00:00+07:00,35.04,34.71,35.12,34.63,949330
2017-04-11 07:00:00+07:00,35.16,34.79,35.5,34.79,1211260
2017-04-12 07:00:00+07:00,34.75,35.16,35.46,34.71,660120
2017-04-13 07:00:00+07:00,35.04,34.75,35.33,34.75,860710
2017-04-14 07:00:00+07:00,34.5,34.88,35.0,34.46,700080
2017-04-17 07:00:00+07:00,34.5,34.5,34.71,33.68,1273790
2017-04-18 07:00:00+07:00,34.46,34.3,34.71,34.13,420640
2017-04-19 07:00:00+07:00,34.3,34.46,34.46,34.26,961170
2017-04-20 07:00:00+07:00,33.55,34.3,34.38,33.47,1169510
2017-04-21 07:00:00+07:00,33.47,33.22,34.09,33.22,473170
2017-04-24 07:00:00+07:00,33.06,33.31,33.8,32.77,422960
2017-04-25 07:00:00+07:00,33.35,33.06,33.47,33.06,291630
2017-04-26 07:00:00+07:00,33.39,33.39,33.47,33.14,418510
2017-04-27 07:00:00+07:00,33.8,33.39,33.88,33.39,532960
2017-04-28 07:00:00+07:00,33.8,33.47,33.8,33.39,868180
2017-05-03 07:00:00+07:00,33.47,33.97,33.97,33.31,330500
2017-05-04 07:00:00+07:00,33.31,33.51,33.51,33.14,695060
2017-05-05 07:00:00+07:00,33.39,33.31,33.39,33.14,518030
2017-05-08 07:00:00+07:00,33.39,33.39,33.51,33.18,457360
2017-05-09 07:00:00+07:00,33.68,33.39,33.8,33.31,579970
2017-05-10 07:00:00+07:00,33.43,33.51,33.72,33.39,722530
2017-05-11 07:00:00+07:00,33.47,33.47,33.76,33.43,861350
2017-05-12 07:00:00+07:00,33.47,33.39,33.55,33.31,372820
2017-05-15 07:00:00+07:00,33.8,33.47,34.13,33.31,655580
2017-05-16 07:00:00+07:00,34.3,33.88,34.3,33.72,1007010
2017-05-17 07:00:00+07:00,34.13,34.13,34.46,34.01,538140
2017-05-18 07:00:00+07:00,34.13,34.13,34.46,33.93,815460
2017-05-19 07:00:00+07:00,33.8,34.13,34.13,33.64,645030
2017-05-22 07:00:00+07:00,34.05,33.72,34.22,33.72,825830
2017-05-23 07:00:00+07:00,33.76,34.05,34.05,33.72,799020
2017-05-24 07:00:00+07:00,33.47,33.76,33.84,33.39,1407180
2017-05-25 07:00:00+07:00,33.1,33.31,33.47,33.02,1822220
2017-05-26 07:00:00+07:00,33.47,33.14,33.47,33.06,724620
2017-05-29 07:00:00+07:00,33.6,33.47,33.68,33.06,784880
2017-05-30 07:00:00+07:00,33.26,33.31,33.55,33.26,665930
2017-05-31 07:00:00+07:00,33.26,33.31,33.64,33.22,633970
2017-06-01 07:00:00+07:00,33.51,33.47,33.6,33.26,710890
2017-06-02 07:00:00+07:00,33.55,33.51,33.6,33.39,630520
2017-06-05 07:00:00+07:00,33.55,33.47,33.6,33.26,494100
2017-06-06 07:00:00+07:00,33.6,33.68,33.68,33.51,439540
